,title,link,source,topic
0,Ini 15 Poin Penting Penyelamatan Dunia dari Petinggi G20 ,https://www.cnbcindonesia.com/news/20221017071247-4-380145/ini-15-poin-penting-penyelamatan-dunia-dari-petinggi-g20,CNBC Indonesia,Internasional
1,Komitmen Presidensi G20 Indonesia Untuk Pulih Bersama Pulih Lebih Kuat ,https://www.kemenkeu.go.id/informasi-publik/publikasi/berita-utama/Asia-House-Business-Roundtable,Kementerian Keuangan,Internasional
2,Maudy Ayunda  Melalui G20 Anak Muda Mesti Tahu Konteks dalam Menghadapi Pandemi Berikutnya ,https://sehatnegeriku.kemkes.go.id/baca/rilis-media/20221017/4341281/maudy-ayunda-melalui-g20-anak-muda-mesti-tahu-konteks-dalam-menghadapi-pandemi-berikutnya/,Sehat Negeriku - Kementerian Kesehatan,Internasional
3,Lewat B20 Presidensi G20 Indonesia Wadahi Pengembangan UMKM ,https://www.republika.co.id/berita/rjwd4a349/lewat-b20-presidensi-g20-indonesia-wadahi-pengembangan-umkm,Republika Online,Internasional
4,G20 ancaman resesi global dan anomali zaman ,https://www.antaranews.com/berita/3185045/g20-ancaman-resesi-global-dan-anomali-zaman,ANTARA,Internasional
5,Kementerian Komunikasi dan Informatika ,https://www.kominfo.go.id/content/detail/44952/masyarakat-bali-siap-sukseskan-ktt-g20/0/artikel_gpr,Kementerian Komunikasi dan Informatika,Internasional
6,Hajatan Besar Mobil Listrik KTT G20 Sudah Tiba di RI ,https://www.cnbcindonesia.com/news/20221017171719-4-380357/hajatan-besar-mobil-listrik-ktt-g20-sudah-tiba-di-ri,CNBC Indonesia,Internasional
7,Menlu Retno KTT G20 Tidak Boleh Gagal ,https://video.kompas.com/watch/196386/menlu-retno-ktt-g20-tidak-boleh-gagal,Kompas.com,Internasional
8,Forkompimda Badung minta warga jaga situasi kamtibmas hingga KTT G20 ,https://bali.antaranews.com/berita/295725/forkompimda-badung-minta-warga-jaga-situasi-kamtibmas-hingga-ktt-g20,ANTARA Bali,Internasional
9,Digitalisasi dan Keterlibatan UMKM dalam Presidensi G20 Indonesia ,https://www.republika.co.id/berita/rjwibl484/digitalisasi-dan-keterlibatan-umkm-dalam-presidensi-g20-indonesia,Republika Online,Internasional
10,Ukraina Desak Rusia Didepak dari G20 Jelang KTT di Bali ,https://www.cnnindonesia.com/internasional/20221017172740-134-861715/ukraina-desak-rusia-didepak-dari-g20-jelang-ktt-di-bali,CNN Indonesia,Internasional
11,Terungkap Negara ,https://www.cnbcindonesia.com/tech/20221017085626-37-380164/terungkap-negara-negara-g20-antusias-soal-stablecoin,CNBC Indonesia,Internasional
12,Diskominfo,https://makassar.antaranews.com/berita/434301/diskominfo-sp-luwu-utara-minta-opd-sosialisasikan-ktt-g20-ke-masyarakat,ANTARA Sulawesi Utara,Internasional
13,Simulasi kesiapsiagaan bencana di Bali dilakukan jelang G20 ,https://www.antaranews.com/berita/3185105/simulasi-kesiapsiagaan-bencana-di-bali-dilakukan-jelang-g20,ANTARA,Internasional
14,Siapkah Pemerintah Indonesia Selenggarakan Presidensi G20 Tahun 2022 ,https://www.kompasiana.com/nurlailadebikristianingrum5624/634d777211407101cf011b33/siapkah-pemerintah-indonesia-selenggarakan-presidensi-g20-tahun-2022,Kompasiana.com - Kompasiana.com,Internasional
15,Indonesiagoid ,https://www.indonesia.go.id/kategori/kesehatan/6091/protokol-kesehatan-untuk-delegasi-ktt-g20?lang=1,Protokol Kesehatan untuk Delegasi KTT-G20 - Portal Informasi Indonesia,Internasional
16,Dukung Presidensi G20 Pemerintah Revitalisasi TMII ,https://www.suarasurabaya.net/kelanakota/2022/dukung-presidensi-g20-pemerintah-revitalisasi-tmii/,Suara Surabaya,Internasional
17,India Bakal Kembangkan SOP Kripto Selama Presidensi G20 ,https://www.liputan6.com/crypto/read/5099663/india-bakal-kembangkan-sop-kripto-selama-presidensi-g20,Liputan6.com,Internasional
18,Panglima TNI TNI Harus Bersinergi Sukseskan G20 ,https://tni-au.mil.id/panglima-tni-tni-harus-bersinergi-sukseskan-g20/,TNI AU,Internasional
19,Siap Dukung Penuh KTT G20 Lapas Besi Bentangkan Banner Presidensi G20 Indonesia ,https://kumparan.com/ezaagustyan19/siap-dukung-penuh-ktt-g20-lapas-besi-bentangkan-banner-presidensi-g20-indonesia-1z4CFMJeQ3J,kumparan.com - kumparan.com,Internasional
20,Wamen BUMN Pastikan SPKLU PLN Siap Sukseskan G20 ,https://www.cnnindonesia.com/ekonomi/20221017171957-90-861710/wamen-bumn-pastikan-spklu-pln-siap-sukseskan-g20,CNN Indonesia,Internasional
21,Indonesia Waspadai Perkembangan Situasi Global Jelang KTT G20 ,https://setkab.go.id/indonesia-waspadai-perkembangan-situasi-global-jelang-ktt-g20/,Sekretariat Kabinet,Internasional
22,3rd G20 GPFI Plenary Meeting Presidensi G20 Terbitkan Panduan Inklusi Keuangan Global ,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2426722.aspx,Bank Indonesia,Internasional
23,Jelang KTT G20 Polresta Gelar Operasi Cipkon ,"https://www.balipost.com/news/2022/10/17/298593/Jelang-KTT-G20,Polresta-Gelar...html",BALIPOST.com,Internasional
24,Menko Airlangga Pertumbuhan Ekonomi RI Tertinggi Kedua di G20 ,https://money.kompas.com/read/2022/10/15/191845126/menko-airlangga-pertumbuhan-ekonomi-ri-tertinggi-kedua-di-g20,Kompas.com - Kompas.com,Internasional
