title,link,source,topic
Pejuang Duafa Ikhwan Lubis Hadir dalam Program DPP Partai NasDem dari 100 Caleg DPR RI ,https://sentralberita.com/2022/10/pejuang-duafa-ikhwan-lubis-hadir-dalam-program-dpp-partai-nasdem-dari-100-caleg-dpr-ri/,Sentral Berita,Politik
Partai Nasdem Deklarasikan Capres di Pilpres 2024 Hari Ini ,https://nasional.okezone.com/read/2022/10/03/337/2679355/partai-nasdem-deklarasikan-capres-di-pilpres-2024-hari-ini?page=1,Okezone News,Politik
Kasihan Anabul Cacar Monyet Juga Bisa Menular ke Hewan ,https://www.cnnindonesia.com/gaya-hidup/20220830135118-255-840858/kasihan-anabul-cacar-monyet-juga-bisa-menular-ke-hewan,CNN Indonesia,Kesehatan
Kemenkes Lakukan Persiapan Menghadapi Cacar Monyet ,https://promkes.kemkes.go.id/kemenkes-lakukan-persiapan-menghadapi-cacar-monyet,Direktorat Promosi Kesehatan dan Pemberdayaan Masyarakat Kementerian Kesehatan,Kesehatan
Analisis Litbang Kompas Menguji Performa Partai Nasdem ,https://www.kompas.id/baca/riset/2022/08/09/analisis-litbang-kompas-menguji-performa-partai-nasdem,kompas.id,Politik
PBB Sebut 71 Juta Orang Jatuh Miskin Akibat Perang di Ukraina ,https://www.republika.co.id/berita/rjw0yy833221023/pbb-sebut-71-juta-orang-jatuh-miskin-akibat-perang-di-ukraina,Republika Online,Internasional
Wisata Labuan Bajo dari Kupang ke Kota Labuan Bajo dengan Pesawat Ada 3x Penerbangan Langsung Besok ,https://kupang.tribunnews.com/2022/10/18/wisata-labuan-bajo-dari-kupang-ke-kota-labuan-bajo-dengan-pesawat-ada-3x-penerbangan-langsung-besok,Pos-Kupang.com,Pariwisata
Meski Pernah Menemukan 5 Pasien Suspek Cacar Monyet Dinkes Kota Semarang Mengakui Sampai Saat Ini Kota Semarang Masih Zero Kasus Cacar Monyet ,"https://semarangkota.go.id/p/3827/meski_pernah_menemukan_5_pasien_suspek_cacar_monyet,_dinkes_kota_semarang_m",Pemerintah Kota Semarang,Kesehatan
AS Temukan Kasus Cacar Monyet Pertama Tahun Ini ,https://www.cnnindonesia.com/gaya-hidup/20220519092502-255-798384/as-temukan-kasus-cacar-monyet-pertama-tahun-ini,CNN Indonesia,Kesehatan
Rakernas Partai NasDem Bersifat Internal Tak Undang Parpol Lain ,https://news.detik.com/berita/d-6125352/rakernas-partai-nasdem-bersifat-internal-tak-undang-parpol-lain,detikNews,Politik
Awas Cacar Monyet Ini Cara Pencegahan Agar Tak Tertular ,https://www.cnbcindonesia.com/lifestyle/20220822141008-33-365606/awas-cacar-monyet-ini-cara-pencegahan-agar-tak-tertular,CNBC Indonesia,Kesehatan
Profil Steven Indra Wibowo Pendiri Mualaf Center Indonesia Tutup Usia Setelah Salat Isya ,https://seleb.tempo.co/read/1646319/profil-steven-indra-wibowo-pendiri-mualaf-center-indonesia-tutup-usia-setelah-salat-isya,Seleb Tempo,Pendidikan
Dua Hari Mogok Agen Travel di Labuan Bajo Kembali Sambut Tamu ,https://www.cnnindonesia.com/ekonomi/20220803143300-92-829791/dua-hari-mogok-agen-travel-di-labuan-bajo-kembali-sambut-tamu,CNN Indonesia,Pariwisata
Praktis Begini Cara Bayar Pajak Kendaraan,https://finance.detik.com/moneter/d-6352316/praktis-begini-cara-bayar-pajak-kendaraan-pbb-via-bni-mobile-banking,detikFinance,Internasional
M Taufik Pastikan Sampai Saat Ini Belum Pindah ke Partai Nasdem ,https://megapolitan.kompas.com/read/2022/06/21/15413961/m-taufik-pastikan-sampai-saat-ini-belum-pindah-ke-partai-nasdem,Kompas.com - Megapolitan Kompas.com,Politik
