title,link,source,topic
Blibli Akan IPO Saham BELI Apakah Prospektif Pahami Ini Sebelum Membeli ,https://investasi.kontan.co.id/news/blibli-akan-ipo-saham-beli-apakah-propspektif-pahami-ini-sebelum-membeli,Investasi Kontan,Bisnis
Blibli BELI IPO Pendapatan Terus Meningkat tapi Masih Rugi ,https://investor.id/ipo/309978/blibli-beli-ipo-pendapatan-terus-meningkat-tapi-masih-rugi,Investor.ID,Bisnis
Blibli BELI IPO Buka Harga Rp 410,https://investor.id/corporate-action/309963/blibli-beli-ipo-buka-harga-rp-410460-di-atas-goto-di-bawah-bukalapak,Investor.ID,Bisnis
Bakal Ada IPO Start,https://investor.id/ipo/309775/bakal-ada-ipo-startup-besar-sebentar-lagi-blibli,Investor.ID,Bisnis
BliBli Mulai Proses IPO di BEI Incar Dana Segar Rp 8 Triliun ,https://tekno.kompas.com/read/2022/10/17/09280067/blibli-mulai-proses-ipo-di-bei-incar-dana-segar-rp-8-triliun,Kompas.com - Tekno Kompas.com,Bisnis
Ekonom Nilai IPO Blibli di Momen Kurang Tepat  merdeka ,https://m.merdeka.com/teknologi/ekonom-nilai-ipo-blibli-di-momen-kurang-tepat.html,Merdeka.com,Bisnis
OJK Proses IPO Blibli Masih Berlanjut ,https://investasi.kontan.co.id/news/ojk-proses-ipo-blibli-masih-berlanjut,Investasi Kontan,Bisnis
IPO Blibli Resmi Dimulai Tawarkan Saham Rp 410 Ini Jadwalnya ,https://katadata.co.id/0/finansial/634c80026f021/ipo-blibli-resmi-dimulai-tawarkan-saham-rp-410-ini-jadwalnya,Katadata.co.id,Bisnis
IPO Blibli Incar Dana Rp817 Triliun ,https://economy.okezone.com/read/2022/10/17/278/2688370/ipo-blibli-incar-dana-rp8-17-triliun?page=1,Okezone Economy,Bisnis
Blibli Melantai di Bursa 7 November Tawarkan Harga Rp 410,https://tekno.kompas.com/read/2022/10/17/11030007/blibli-melantai-di-bursa-7-november-tawarkan-harga-rp-410-460-per-saham,Kompas.com - Tekno Kompas.com,Bisnis
Top 5 News BisnisIndonesiaid Perfect Storm Perbankan hingga Pemanis IPO Blibli ,https://finansial.bisnis.com/read/20221017/90/1588126/top-5-news-bisnisindonesiaid-perfect-storm-perbankan-hingga-pemanis-ipo-blibli,finansial.bisnis.com,Bisnis
Segera IPO Blibli Milik Grup Djarum Serius Saingi Tokopedia  Shopee ,https://www.msn.com/id-id/ekonomi/ekonomi/segera-ipo-blibli-milik-grup-djarum-serius-saingi-tokopedia-shopee/ar-AA132EHZ?li=AAfuAgL,MSN,Bisnis
List Inkubator  Akselerator Startup Blibli IPO PHK di Binar Academy dll ,https://id.techinasia.com/inkubator-akselerator-ipo-blibli-phk-binar-academy-dll,Tech in Asia Indonesia,Bisnis
IHSG Berbalik Rebound Saham GOTO dan RANC Terbang Sambut IPO Blibli ,https://market.bisnis.com/read/20221017/7/1588355/ihsg-berbalik-rebound-saham-goto-dan-ranc-terbang-sambut-ipo-blibli,Bisnis.com,Bisnis
Jelang IPO Blibli Masih Catatkan Rugi pada Kuartal II2022 ,https://dataindonesia.id/bursa-keuangan/detail/jelang-ipo-blibli-masih-catatkan-rugi-pada-kuartal-ii2022,Data Indonesia,Bisnis
IPO Startup di Tengah Ancaman Resesi Ini Kata Pengamat ,https://teknologi.bisnis.com/read/20221010/266/1586042/ipo-startup-di-tengah-ancaman-resesi-ini-kata-pengamat,"Teknologi - Berita Terbaru Harga dan Spesifikasi Handphone, Info Fitur Smartphone, Komputer dan Laptop",Bisnis
Perusahaan yang IPO Bertambah Kini Giliran Menthobi MKTR ,https://investor.id/market-and-corporate/309926/perusahaan-yang-ipo-bertambah-kini-giliran-menthobi-mktr,Investor.ID,Bisnis
Menilik Tren Perusahaan yang akan IPO pada Kuartal IV 2022 ,https://investasi.kontan.co.id/news/menilik-tren-perusahaan-yang-akan-ipo-pada-kuartal-iv-2022,Investasi Kontan,Bisnis
IPO saham Primaya Hospital Bidik Dana hingga Rp 28711 Miliar ,https://investor.id/market-and-corporate/309988/ipo-saham-primaya-hospital-bidik-dana-hingga-rp-28711-miliar,Investor.ID,Bisnis
Menanti Kembalinya IPO Jumbo Mengguyur Pasar ,https://www.cnbcindonesia.com/market/20221011111724-17-378756/menanti-kembalinya-ipo-jumbo-mengguyur-pasar,CNBC Indonesia,Bisnis
Blibli Masih Bersiap,https://www.msn.com/id-id/berita/other/blibli-masih-bersiap-siap-untuk-ipo-di-bursa-saham/ar-AA12wMbI?li=BB15J8Hi,MSN,Bisnis
Ditanya Soal IPO Blibli Sebut Tengah Tunggu Momentum Pasar ,https://www.cnbcindonesia.com/market/20220726015331-17-358493/ditanya-soal-ipo-blibli-sebut-tengah-tunggu-momentum-pasar,CNBC Indonesia,Bisnis
Hanya Bidik Rp 72 Triliun IPO Blibli Diprediksi Bisa Berhasil ,https://investor.id/market-and-corporate/296156/hanya-bidik-rp-72-triliun-ipo-blibli-diprediksi-bisa-berhasil,Investor.ID,Bisnis
Baru Diupdate Ini Daftar 13 Unicorn Kelahiran Indonesia ,https://www.cnbcindonesia.com/tech/20220922152800-37-374219/baru-diupdate-ini-daftar-13-unicorn-kelahiran-indonesia,CNBC Indonesia,Bisnis
Siap,https://investor.id/market-and-corporate/296097/siapsiap-blibli-ipo-juli-incar-dana-rp-72-triliun,Investor.ID,Bisnis
