title,link,source,topic
Serbu Garuda Food Produk di AladinMall Ada Diskon Menarik  Gratis Ongkir se,https://www.sportstars.id/read/serbu-garuda-food-produk-di-aladinmall-ada-diskon-menarik-gratis-ongkir-se-indonesia-cHK381,sportstars.id,Bisnis
Yuk Serbu Garuda Food Produk di AladinMall Ada Diskon Menarik Plus Gratis Ongkir se,https://www.inews.id/travel/kuliner/yuk-serbu-garuda-food-produk-di-aladinmall-ada-diskon-menarik-plus-gratis-ongkir-se-indonesia,iNews,Bisnis
Sudhamek AWS Pengusaha yang Masuk Jajaran Orang Kaya RI Berkat Jualan Camilan ,https://kumparan.com/profil-orang-sukses/sudhamek-aws-pengusaha-yang-masuk-jajaran-orang-kaya-ri-berkat-jualan-camilan-1z4N7HWY4pN,kumparan.com - kumparan.com,Bisnis
Waspada Penipuan Lowongan Kerja di PT Garuda Food Korban Disuruh Transfer Uang ,https://inisumedang.com/waspada-penipuan-lowongan-kerja-di-pt-garuda-food-korban-disuruh-transfer-uang/,IniSumedang.Com,Bisnis
Lowongan Kerja Management Trainee di PT Garudafood Putra Putri Jaya Tbk untuk Fresh Graduate Semua Jurusan ,https://www.genzdaily.com/news/pr-4085048685/lowongan-kerja-management-trainee-di-pt-garudafood-putra-putri-jaya-tbk-untuk-fresh-graduate-semua-jurusan,Gen Z Daily - Gen Z Daily,Bisnis
5 Fakta Sudhamek Agoeng Waspodo Soenjoto Bos GarudaFood yang jadi Sekretaris BRIN ,https://akurat.co/5-fakta-sudhamek-agoeng-waspodo-soenjoto-bos-garudafood-yang-jadi-sekretaris-brin,Akurat.co,Bisnis
Loker Jakarta PT Garudafood Putra Putri Jaya Buka Loker Sarjana Cek Syaratnya Disini ,https://www.bantenekspose.id/ekonomi/pr-2345059561/loker-jakarta-pt-garudafood-putra-putri-jaya-buka-loker-sarjana-cek-syaratnya-disini,Banten Ekspose - Banten Ekspose,Bisnis
Garuda Food GOOD Naikkan Harga Jual Laba Bersih Ikut Naik ,https://market.bisnis.com/read/20220713/192/1554412/garuda-food-good-naikkan-harga-jual-laba-bersih-ikut-naik,Bisnis.com,Bisnis
Terdampak Perang Laba Garuda Food Turun 8 Jadi Rp 21361 M ,https://www.cnbcindonesia.com/market/20220730022119-17-359773/terdampak-perang-laba-garuda-food-turun-8-jadi-rp-21361-m,CNBC Indonesia,Bisnis
Efek Perang Laba Garudafood Turun 24 di Kuartal I,https://www.cnbcindonesia.com/market/20220428131314-17-335749/efek-perang-laba-garudafood-turun-24-di-kuartal-i-2022,CNBC Indonesia,Bisnis
Banyak Ketidakpastian Ini Strategi Garudafood Hadapi 2022 ,https://www.cnbcindonesia.com/market/20220331153527-17-327691/banyak-ketidakpastian-ini-strategi-garudafood-hadapi-2022,CNBC Indonesia,Bisnis
Garudafood Milik Pengusaha Sudhamek Dapat Pinjaman Rp 1 T ,https://www.cnbcindonesia.com/market/20220609090213-17-345534/garudafood-milik-pengusaha-sudhamek-dapat-pinjaman-rp-1-t,CNBC Indonesia,Bisnis
Penghargaan Untuk CEO  Young Inspiration ,https://infosawit.com/berita/2022/10/penghargaan-untuk-ceo-young-inspiration/,InfoSAWIT,Bisnis
Garudafood GOOD Cetak Laba Bersih Rp 42482 Miliar di Tahun 2021 ,https://investasi.kontan.co.id/news/garudafood-good-cetak-laba-bersih-rp-42482-miliar-di-tahun-2021,Investasi Kontan,Bisnis
Laba Bersih Garudafood GOOD Melesat 6376 di 2021 ,https://investor.id/market-and-corporate/285893/laba-bersih-garudafood-good-melesat-6376-di-2021,Investor.ID,Bisnis
CVC Dikabarkan Akan Jual Saham Garudafood GOOD Potensi Transaksi Rp4 Triliun ,https://market.bisnis.com/read/20220823/192/1569722/cvc-dikabarkan-akan-jual-saham-garudafood-good-potensi-transaksi-rp4-triliun,Bisnis.com,Bisnis
Penjualan Domestik Tumbuh Garudafood Raup Rp518 Triliun di Semester I 2022 ,https://www.tribunnews.com/bisnis/2022/09/09/penjualan-domestik-tumbuh-garudafood-raup-rp518-triliun-di-semester-i-2022,Tribunnews.com,Bisnis
BNI Kasih Utangan Garuda Food Rp 1 Triliun Buat Apa Saja Ya ,https://www.cnbcindonesia.com/market/20211125095809-17-294268/bni-kasih-utangan-garuda-food-rp-1-triliun-buat-apa-saja-ya,CNBC Indonesia,Bisnis
Simak Strategi Bisnis Garudafood GOOD di Tahun 2022 ,https://investasi.kontan.co.id/news/simak-strategi-bisnis-garudafood-good-di-tahun-2022,Investasi Kontan,Bisnis
Garuda Food Buka Lowongan Kerja bagi Lulusan SMA,https://www.kompas.com/edu/read/2021/11/19/100211471/garuda-food-buka-lowongan-kerja-bagi-lulusan-sma-s1-ayo-daftar?page=all,Kompas.com - KOMPAS.com,Bisnis
Sambut Lebaran Garudafood GOOD Siapkan Produk Musiman dan Perluas Ekspor ,https://ekonomi.bisnis.com/read/20220222/257/1503453/sambut-lebaran-garudafood-good-siapkan-produk-musiman-dan-perluas-ekspor,Bisnis.com,Bisnis
Garudafood Teknologi Mempercepat Performance Analysis dan Decision Making ,https://swa.co.id/swa/trends/technology/garudafood-teknologi-mempercepat-performance-analysis-dan-decision-making,Swa,Bisnis
Transformasi HC di Garudafood Ciptakan Budaya Damai dan Dinamis yang Seimbang ,https://swa.co.id/swa/trends/transformasi-hc-di-garudafood-ciptakan-budaya-damai-dan-dinamis-yang-seimbang,Swa,Bisnis
India Setop Ekspor Gandum Garudafood GOOD Akui Tak Terimbas ,https://market.bisnis.com/read/20220517/192/1533938/india-setop-ekspor-gandum-garudafood-good-akui-tak-terimbas,Bisnis.com,Bisnis
Pabrik Garudafood di Gresik Raih 2 Penghargaan dari Menaker Ida Fauziyah ,https://www.jpnn.com/news/pabrik-garudafood-di-gresik-raih-2-penghargaan-dari-menaker-ida-fauziyah,JPNN.com,Bisnis
Garudafood Lagi Buka Lowongan Nih Lulusan SMA,https://www.detik.com/edu/edutainment/d-5861885/garudafood-lagi-buka-lowongan-nih-lulusan-sma-s1-bisa-daftar,detikcom,Bisnis
Pengeluaran Iklan dan Promosi Garudafood Putra Putri Jaya Menurun di Semester I,https://industri.kontan.co.id/news/pengeluaran-iklan-dan-promosi-garudafood-putra-putri-jaya-menurun-di-semester-i-2022,Industri Kontan,Bisnis
Kisah Sukses Sudhamek AWS Bos Garudafood yang Dulu Kerap Dibully ,https://www.idxchannel.com/inspirator/kisah-sukses-sudhamek-aws-bos-garudafood-yang-dulu-kerap-dibully,idxchannel,Bisnis
Lowongan Kerja Kendari Garuda Food Buka 2 Rekrutmen Admin Distribusi dan Kasir Syarat Daftar ,https://sultra.tribunnews.com/2022/09/18/lowongan-kerja-kendari-garuda-food-buka-2-rekrutmen-admin-distribusi-dan-kasir-syarat-daftar,Tribunnews Sultra,Bisnis
Garudafood Buka Lowongan Kerja untuk Lulusan SMA Hingga S1 ,https://money.kompas.com/read/2021/12/23/090000126/garudafood-buka-lowongan-kerja-untuk-lulusan-sma-hingga-s1,Kompas.com - Kompas.com,Bisnis
Garudafood GOOD Siapkan Produk Merek Garuda untuk Menyambut Imlek ,https://industri.kontan.co.id/news/garudafood-good-siapkan-produk-merek-garuda-untuk-menyambut-imlek,Industri Kontan,Bisnis
Catat Jadwal Pembagian Dividen Garudafood GOOD ,https://investasi.kontan.co.id/news/catat-jadwal-pembagian-dividen-garudafood-good,Investasi Kontan,Bisnis
Melesat 88 Laba Q3 Garudafood Milik Sudhamek Capai Rp 370 M ,https://www.cnbcindonesia.com/market/20211027164323-17-286992/melesat-88-laba-q3-garudafood-milik-sudhamek-capai-rp-370-m,CNBC Indonesia,Bisnis
Berharta Rp1422 triliun Ini yang Punya Garudafood ,https://www.idxchannel.com/milenomic/berharta-rp1422-triliun-ini-yang-punya-garudafood,idxchannel,Bisnis
Garudafood GOOD Raih Kredit Rp1 Triliun dari BTPN Buat 2 Hal ,https://market.bisnis.com/read/20220608/192/1541428/garudafood-good-raih-kredit-rp1-triliun-dari-btpn-buat-2-hal,Bisnis.com,Bisnis
BNI Kucurkan Kredit Investasi Rp 1 Triliun untuk Biayai Garudafood ,https://finance.detik.com/moneter/d-5834915/bni-kucurkan-kredit-investasi-rp-1-triliun-untuk-biayai-garudafood,detikFinance,Bisnis
Beasiswa dari Garudafood Langkah Nyata Cegah Anak Putus Sekolah ,https://www.jpnn.com/news/beasiswa-dari-garudafood-langkah-nyata-cegah-anak-putus-sekolah,JPNN.com,Bisnis
Garuda Food Buka Lowongan Kerja bagi S1 Fresh Graduate ,https://www.kompas.com/edu/read/2021/10/07/193100171/garuda-food-buka-lowongan-kerja-bagi-s1-fresh-graduate?page=all,Kompas.com - KOMPAS.com,Bisnis
Garudafood Siapkan Sejumlah Strategi untuk Antisipasi Lonjakan Harga Bahan Baku ,https://industri.kontan.co.id/news/garudafood-siapkan-sejumlah-strategi-untuk-antisipasi-lonjakan-harga-bahan-baku,Industri Kontan,Bisnis
