title,link,source,topic
Antam ANTM Buyback Saham yang Tak Setuju Spin,https://investor.id/market-and-corporate/309986/antam-antm-buyback-saham-yang-tak-setuju-spinoff-tambang-nikel,Investor.ID,Bisnis
DLH Kolaka Dukung Program Penanaman Mangrove PT Antam di Pomalaa ,https://bumisultra.com/daerah/read/7012-dlh-kolaka-dukung-program-penanaman-mangrove-pt-antam-di-pomalaa,Bumisultra.com,Bisnis
ANTAM Prestasi Cemerlang berkat Kinerja Mengkilap ,https://swa.co.id/business-champions/companies/swa100/antam-prestasi-cemerlang-berkat-kinerja-mengkilap,Swa,Bisnis
ANTAM,https://pontianakpost.jawapos.com/daerah/sanggau/17/10/2022/antam-ubpb-kalbar-bagikan-beras-untuk-dua-desa-terdampak-banjir-di-tayan/,Pontianak Post,Bisnis
Pengen Beli Emas Antam Pantau Dulu Pekan Ini ,https://www.cnbcindonesia.com/investment/20221010085330-21-378380/pengen-beli-emas-antam-pantau-dulu-pekan-ini,CNBC Indonesia,Bisnis
Antam ANTM Bidik Perusahaan Patungan CBL dan LG Diteken Kuartal IV,https://investor.id/market-and-corporate/307470/antam-antm-bidik-perusahaan-patungan-cbl-dan-lg-diteken-kuartal-iv2022,Investor.ID,Bisnis
Rambah Pasar Digital Antam ANTM Menggenjot Penjualan Emas Ritel ,https://investasi.kontan.co.id/news/rambah-pasar-digital-antam-antm-menggenjot-penjualan-emas-ritel,Investasi Kontan,Bisnis
ANTAM meraih penghargaan penerapan kaidah pertambangan yang baik 2022 ,https://sultra.antaranews.com/berita/429549/antam-meraih-penghargaan-penerapan-kaidah-pertambangan-yang-baik-2022,ANTARA Sulawesi Tenggara,Bisnis
Antam Bantu Tingkatkan Sarana Prasarana Konawe Utara ,https://nasional.tempo.co/read/1645420/antam-bantu-tingkatkan-sarana-prasarana-konawe-utara,Nasional Tempo,Bisnis
Prof Romli Atmasasmita Minta PT Antam Lakukan PK ,https://m.industry.co.id/read/113811/prof-romli-atmasasmita-minta-pt-antam-lakukan-pk,Industry,Bisnis
Antam ANTM Mau Bangun JV Buat Proyek Mobil Listrik dengan Pemain Kakap ,https://market.bisnis.com/read/20221011/192/1586537/antam-antm-mau-bangun-jv-buat-proyek-mobil-listrik-dengan-pemain-kakap,Bisnis.com,Bisnis
Klarifikasi Antam Soal Tudingan Isu Lingkungan di Mandiodo ,https://www.cnbcindonesia.com/news/20220927171458-4-375389/klarifikasi-antam-soal-tudingan-isu-lingkungan-di-mandiodo,CNBC Indonesia,Bisnis
MIND ID Dorong Inalum dan Antam Selesaikan Pembangunan Pabrik Smelter di Kalbar ,https://nasional.kompas.com/read/2022/09/20/18504231/mind-id-dorong-inalum-dan-antam-selesaikan-pembangunan-pabrik-smelter-di,Kompas.com - Nasional Kompas.com,Bisnis
Butik Emas Logam Mulia PT ANTAM di Balikpapan Pindah ke BSB ,https://www.niaga.asia/butik-emas-logam-mulia-pt-antam-di-balikpapan-pindah-ke-bsb/,Niaga Asia,Bisnis
Aneka Tambang ANTM Menilai Hilirisasi Bauksit Perlu Dipercepat ,https://industri.kontan.co.id/news/aneka-tambang-antm-menilai-hilirisasi-bauksit-perlu-dipercepat,Industri Kontan,Bisnis
Indika INDY hingga Antam ANTM Ramai,https://market.bisnis.com/read/20220925/192/1581050/indika-indy-hingga-antam-antm-ramai-ramai-bikin-joint-venture-bisa-tambah-cuan,Bisnis.com,Bisnis
KOMODITAS TAMBANG  Kilau Nikel Bagi Saham Antam ,https://koran.bisnis.com/read/20221018/442/1588414/komoditas-tambang-kilau-nikel-bagi-saham-antam,Koran Bisnis - Bisnis Indonesia Digital Paper,Bisnis
Ingin Dapat Cuan dari Logam Mulia Kenali Dulu Keuntungan dan Kerugian Investasi Emas Antam ,https://voi.id/ekonomi/205188/ingin-dapat-cuan-dari-logam-mulia-kenali-dulu-keuntungan-dan-kerugian-investasi-emas-antam,VOI.ID,Bisnis
Menimbang,https://finance.detik.com/berita-ekonomi-bisnis/d-6346873/menimbang-nimbang-investasi-emas-mini-untung-apa-buntung,detikFinance,Bisnis
Antam Laksanakanan TOT Kesehatan Kerja ,https://nasional.tempo.co/read/1639682/antam-laksanakanan-tot-kesehatan-kerja,Nasional Tempo,Bisnis
Komitmen MIND ID menuju pengurangan emisi 158 persen ,https://mataram.antaranews.com/berita/225949/komitmen-mind-id-menuju-pengurangan-emisi-158-persen,ANTARA Nusa Tenggara Barat,Bisnis
Emiten Nikel Tahan Inflasi Saham Antam ANTM Bisa ke Rp2500 ,https://market.bisnis.com/read/20220922/192/1580403/emiten-nikel-tahan-inflasi-saham-antam-antm-bisa-ke-rp2500,Bisnis.com,Bisnis
MIND ID Targetkan Penurunan Emisi Karbon sebesar 28 di tahun 2030 ,https://www.suara.com/news/2022/10/18/084016/mind-id-targetkan-penurunan-emisi-karbon-sebesar-28-di-tahun-2030,Suara.com,Bisnis
Hilirisasi Tambang Jadi Pintu Masuk RI Menggapai Negara Maju ,https://www.cnbcindonesia.com/news/20221012130240-4-379136/hilirisasi-tambang-jadi-pintu-masuk-ri-menggapai-negara-maju,CNBC Indonesia,Bisnis
PT Antam jajaki kerja sama global untuk bangun pabrik nikel kelas satu ,https://sultra.antaranews.com/berita/427889/pt-antam-jajaki-kerja-sama-global-untuk-bangun-pabrik-nikel-kelas-satu,ANTARA Sulawesi Tenggara,Bisnis
PT Antam fokus realisasikan kerja sama proyek baterai ,https://sultra.antaranews.com/berita/426305/pt-antam-fokus-realisasikan-kerja-sama-proyek-baterai,ANTARA Sulawesi Tenggara,Bisnis
PT Antam studi bersama mitra kembangkan proyek EV Battery ,https://sultra.antaranews.com/berita/426821/pt-antam-studi-bersama-mitra-kembangkan-proyek-ev-battery,ANTARA Sulawesi Tenggara,Bisnis
PT Antam bagikan 50 persen laba bersih untuk dividen ,https://sultra.antaranews.com/berita/418797/pt-antam-bagikan-50-persen-laba-bersih-untuk-dividen,ANTARA Sulawesi Tenggara,Bisnis
Antam Gandeng Perusahaan China Kembangkan Hilir Nikel ,https://www.cnbcindonesia.com/market/20220808125719-17-361927/antam-gandeng-perusahaan-china-kembangkan-hilir-nikel,CNBC Indonesia,Bisnis
Mantap Tahun 2022 Antam Targetkan Produksi 911 Kg Emas ,https://www.cnbcindonesia.com/market/20220603092932-17-343992/mantap-tahun-2022-antam-targetkan-produksi-911-kg-emas,CNBC Indonesia,Bisnis
PT Antam harapkan karyawan makin berdaya ,https://sultra.antaranews.com/berita/416609/pt-antam-harapkan-karyawan-makin-berdaya,ANTARA Sulawesi Tenggara,Bisnis
Korupsi Antam Rp 92 Miliar Bos Perusahaan Ini Dibui 8 Tahun ,https://news.detik.com/berita/d-6265050/korupsi-antam-rp-92-miliar-bos-perusahaan-ini-dibui-8-tahun,detikNews,Bisnis
Selain Budi Said Kasus Lain Jerat Antam KPK Turun Tangan ,https://www.cnbcindonesia.com/market/20220906105639-17-369624/selain-budi-said-kasus-lain-jerat-antam-kpk-turun-tangan,CNBC Indonesia,Bisnis
5 Aplikasi Emas Digital Terbaik Izin OJK Bappebti 2022 ,https://duwitmu.com/emas/aplikasi-emas-digital-terbaik-izin-ojk-bappebti,Duwitmu | Mengelola Keuangan Keluarga,Bisnis
Antam Wajib Serahkan 1 Ton Emas  Bayar Rp 92 M ke Budi Said ,https://www.cnbcindonesia.com/market/20220824165802-17-366341/antam-wajib-serahkan-1-ton-emas-bayar-rp-92-m-ke-budi-said,CNBC Indonesia,Bisnis
Putusan MA Antam Dihukum Rp 11 T ,https://www.cnbcindonesia.com/market/20220706123131-17-353385/putusan-ma-antam-dihukum-rp-11-t,CNBC Indonesia,Bisnis
PT ANTAM UBPN Kolaka meraih penghargaan dari BPS RI ,https://sultra.antaranews.com/berita/423965/pt-antam-ubpn-kolaka-meraih-penghargaan-dari-bps-ri,ANTARA Sulawesi Tenggara,Bisnis
Kontribusi Antam ke Negara Capai Rp 205 Triliun Pada 2021 ,https://www.cnbcindonesia.com/market/20220711115900-17-354594/kontribusi-antam-ke-negara-capai-rp-205-triliun-pada-2021,CNBC Indonesia,Bisnis
Terbukti Korupsi Rp 92 Miliar Eks Dirut Antam Dihukum 6 Tahun Penjara ,https://news.detik.com/berita/d-6216259/terbukti-korupsi-rp-92-miliar-eks-dirut-antam-dihukum-6-tahun-penjara,detikNews,Bisnis
