title,link,source,topic
Minyak Bangkit Setelah Ambrol 7 Harga BBM Naik Lagi ,https://www.cnbcindonesia.com/market/20221017002225-17-380127/minyak-bangkit-setelah-ambrol-7-harga-bbm-naik-lagi,CNBC Indonesia,Ekonomi
Harga Minyak Dunia Makin Sulit Ditebak Begini Skenarionya ,https://finance.detik.com/energi/d-6353439/harga-minyak-dunia-makin-sulit-ditebak-begini-skenarionya,detikFinance,Ekonomi
Harga Minyak Dunia Makin Mahal Alasan Tepat Tak Tunda Transisi Energi ,https://www.cnnindonesia.com/ekonomi/20221017175228-85-861733/harga-minyak-dunia-makin-mahal-alasan-tepat-tak-tunda-transisi-energi,CNN Indonesia,Ekonomi
Harga Minyak Dunia Naik Dekati US95 per Barel ,https://www.cnnindonesia.com/ekonomi/20221007080940-85-857455/harga-minyak-dunia-naik-dekati-us-95-per-barel,CNN Indonesia,Ekonomi
Harga Minyak Dunia Bangkit dari Level Terendahnya ke US86 per Barel ,https://www.cnnindonesia.com/ekonomi/20220928073809-85-853512/harga-minyak-dunia-bangkit-dari-level-terendahnya-ke-us-86-per-barel,CNN Indonesia,Ekonomi
Harga Minyak Dunia Diprediksi Terus Melonjak Harga BBM Bakal Naik Lagi  merdeka ,https://www.merdeka.com/uang/harga-minyak-dunia-diprediksi-terus-melonjak-harga-bbm-bakal-naik-lagi.html,Merdeka.com,Ekonomi
Alert Harga Minyak Dunia Ambruk ke Bawah US 90barel ,https://www.cnbcindonesia.com/market/20220922060918-17-374018/alert-harga-minyak-dunia-ambruk-ke-bawah-us--90-barel,CNBC Indonesia,Ekonomi
Harga Minyak Dunia Tinggi Negara Kantongi Penerimaan Hulu Migas Rp2148 Triliun  merdeka ,https://m.merdeka.com/uang/harga-minyak-dunia-tinggi-negara-kantongi-penerimaan-hulu-migas-rp2148-triliun.html,Merdeka.com,Ekonomi
Harga Minyak Dunia Melonjak ke USD 9182 per Barel Imbas OPEC Tak Mampu Capai Target Produksi ,https://www.liputan6.com/bisnis/read/5074711/harga-minyak-dunia-melonjak-ke-usd-9182-per-barel-imbas-opec-tak-mampu-capai-target-produksi,Liputan6.com,Ekonomi
Harga Minyak Dunia Terus Turun Pemerintah Diminta Evaluasi Harga BBM Bersubsidi ,https://www.dunia-energi.com/harga-minyak-dunia-terus-turun-pemerintah-diminta-evaluasi-harga-bbm-bersubsidi/,Dunia Energi,Ekonomi
Harga Minyak Dunia Bisa Tembus USD200 per Barel Jika Perang Nuklir Terjadi  merdeka ,https://www.merdeka.com/uang/harga-minyak-dunia-bisa-tembus-usd200-per-barel-jika-perang-nuklir-terjadi.html,Merdeka.com,Ekonomi
Ada Tren Penurunan Harga Minyak Dunia Muncul Desakan Harga Pertalite Kembali Jadi Rp7650 per Liter ,https://www.tribunnews.com/bisnis/2022/10/08/ada-tren-penurunan-harga-minyak-dunia-muncul-desakan-harga-pertalite-kembali-jadi-rp7650-per-liter,Tribunnews.com,Ekonomi
Aramco Naikkan Harga Minyak Mentah untuk Amerika ,https://dunia.tempo.co/read/1642778/aramco-naikkan-harga-minyak-mentah-untuk-amerika,Dunia Tempo,Ekonomi
Rupiah Makin Babak Belur Bye Harga Pertalite Turun ,https://www.cnbcindonesia.com/news/20221017093752-4-380180/rupiah-makin-babak-belur-bye-harga-pertalite-turun,CNBC Indonesia,Ekonomi
Harga minyak Asia naik tipis saat dolar melemah  kekhawatiran resesi ,https://www.antaranews.com/berita/3185605/harga-minyak-asia-naik-tipis-saat-dolar-melemah-kekhawatiran-resesi,ANTARA,Ekonomi
Heboh Pangeran Arab Ancam Amerika Sebut Jihad  Syahid ,https://www.cnbcindonesia.com/news/20221017092614-4-380173/heboh-pangeran-arab-ancam-amerika-sebut-jihad-syahid,CNBC Indonesia,Ekonomi
Harga Batu Bara Ambles Gegara Putin Minyak Dunia Malah Melesat ,https://economy.okezone.com/read/2022/10/14/320/2687332/harga-batu-bara-ambles-gegara-putin-minyak-dunia-malah-melesat,Okezone Economy,Ekonomi
Juragan Sawit Sabar Ya Harga CPO Masih Susah Terbang ,https://www.cnbcindonesia.com/news/20221017135407-4-380277/juragan-sawit-sabar-ya-harga-cpo-masih-susah-terbang,CNBC Indonesia,Ekonomi
