title,link,source,topic
Dapat Durian Runtuh Utang RI Dihapus 4 Negara Maju ,https://www.cnbcindonesia.com/news/20221013060043-4-379290/dapat-durian-runtuh-utang-ri-dihapus-4-negara-maju,CNBC Indonesia,Ekonomi
Wah 4 Negara Hapus Utang Indonesia Ada China ,https://www.cnbcindonesia.com/news/20221006092757-16-377626/wah-4-negara-hapus-utang-indonesia-ada-china,CNBC Indonesia,Ekonomi
Alasan Kenapa Empat Negara ini Hapus Utang Indonesia ,https://borobudurnews.com/alasan-kenapa-empat-negara-ini-hapus-utang-indonesia/,BorobudurNews - Borobudur News,Ekonomi
Muncul di Twitter Hacker Bjorka Ancam Hapus Data Pinjol ,https://www.metrosulteng.com/hukum-kriminal/pr-5194820162/muncul-di-twitter-hacker-bjorka-ancam-hapus-data-pinjol,Metro Sulteng - Metro Sulteng,Ekonomi
Daftar 10 Negara Pemberi Utang Terbesar RI Siapa Terbesar ,https://www.cnbcindonesia.com/market/20220902082857-17-368679/daftar-10-negara-pemberi-utang-terbesar-ri-siapa-terbesar,CNBC Indonesia,Ekonomi
Utang Indonesia Tembus Rp 7123 Triliun DPR Pertanyakan kemampuan Bayar Pemerintah ,https://www.liputan6.com/bisnis/read/5057590/utang-indonesia-tembus-rp-7123-triliun-dpr-pertanyakan-kemampuan-bayar-pemerintah,Liputan6.com,Ekonomi
Mengapa Rakyat Harus Menanggung Bunga Utang BLBI yang Dikorupsi Para Konglomerat ,https://money.kompas.com/read/2022/08/14/150249026/mengapa-rakyat-harus-menanggung-bunga-utang-blbi-yang-dikorupsi-para?page=all,Kompas.com - Kompas.com,Ekonomi
Boeing Tak Daftar PKPU Utang Garuda Rp 10 T Bisa Dihapus ,https://www.cnbcindonesia.com/market/20220617163044-17-348093/boeing-tak-daftar-pkpu-utang-garuda-rp-10-t-bisa-dihapus,CNBC Indonesia,Ekonomi
Rasio Utang Pemerintah per Juli 2022 Turun ,https://www.liputan6.com/bisnis/read/5042780/rasio-utang-pemerintah-per-juli-2022-turun,Liputan6.com,Ekonomi
Utang Capai Rp 138 Triliun Begini Cara Garuda Melunasinya ,https://www.cnbcindonesia.com/market/20220628143047-17-351066/utang-capai-rp-138-triliun-begini-cara-garuda-melunasinya,CNBC Indonesia,Ekonomi
Luhut Bilang Utang RI Terkecil di Dunia Ekonom Jawab Begini ,https://ekonomi.bisnis.com/read/20220809/9/1564732/luhut-bilang-utang-ri-terkecil-di-dunia-ekonom-jawab-begini,Bisnis.com,Ekonomi
Utang Luar Negeri Indonesia pada Juli 2022 Kembali Turun Jadi USD 4004 Miliar ,https://www.liputan6.com/bisnis/read/5070570/utang-luar-negeri-indonesia-pada-juli-2022-kembali-turun-jadi-usd-4004-miliar,Liputan6.com,Ekonomi
Utang Indonesia Rp 443 Triliun Jatuh Tempo Tahun Depan ,https://www.cnbcindonesia.com/market/20211214095057-17-299028/utang-indonesia-rp-443-triliun-jatuh-tempo-tahun-depan,CNBC Indonesia,Ekonomi
Said Didu Tweet Puji Sri Mulyani yang Akui Jika BBM Tak Naik Akan Sulit Bayar Utang Lalu Dihapus Setelah Dituding Sebar Hoaks ,https://fajar.co.id/2022/09/10/said-didu-tweet-puji-sri-mulyani-akui-jika-bbm-tak-naik-akan-sulit-bayar-utang-lalu-dihapus-setelah-dituding-sebar-hoaks/,FAJAR.CO.ID,Ekonomi
Lelang Surat Utang RI Sepi Pembeli Ini Alasannya ,https://www.cnbcindonesia.com/market/20220511091241-17-338002/lelang-surat-utang-ri-sepi-pembeli-ini-alasannya,CNBC Indonesia,Ekonomi
Warga Padang Gugat Jokowi Bayar Utang Pemerintah Rp 60 Miliar tapi Presiden Menolak Ini Duduk Perkaranya ,https://regional.kompas.com/read/2022/01/27/051600078/warga-padang-gugat-jokowi-bayar-utang-pemerintah-rp-60-miliar-tapi-presiden?page=all,Kompas.com - Kompas.com,Ekonomi
Laju Utang Pemerintah Pasca,https://katadata.co.id/ariayudhistira/infografik/624f9baddddb0/laju-utang-pemerintah-pasca-krisis-1998,Katadata.co.id,Ekonomi
IMF Hapus Utang Negara Miskin Rp 137 Triliun ,https://katadata.co.id/agustiyanti/finansial/61c2d3ed1db3c/imf-hapus-utang-negara-miskin-rp-13-7-triliun,Katadata.co.id,Ekonomi
Jala Hoaks Jakarta ,https://jalahoaks.jakarta.go.id/detail/HOAKS-Pemerintah-Akui-Jika-BBM-Tak-Naik-Maka-Negara-Akan-Sulit-Bayar-Utang,Jala Hoaks Jakarta,Ekonomi
Lagi Panen Besar Sri Mulyani Nggak Ngoyo Tambah Utang ,https://www.cnbcindonesia.com/market/20220325181826-17-326153/lagi-panen-besar-sri-mulyani-nggak-ngoyo-tambah-utang,CNBC Indonesia,Ekonomi
Bayar Utang Pemerintah Cadangan Devisa RI Anjlok US 23 M ,https://www.cnbcindonesia.com/market/20220407100115-17-329558/bayar-utang-pemerintah-cadangan-devisa-ri-anjlok-us--23-m,CNBC Indonesia,Ekonomi
Lega Golongan Listrik 450 VA Tidak Dihapus ,https://economy.okezone.com/read/2022/09/17/320/2669615/lega-golongan-listrik-450-va-tidak-dihapus,Okezone Economy,Ekonomi
Beri Subsidi BBM Dianggap Beban APBN Padahal Bayar Utang 400 T Setahun Tidak Mengeluh ,https://politik.rmol.id/read/2022/09/04/546145/beri-subsidi-bbm-dianggap-beban-apbn-padahal-bayar-utang-400-t-setahun-tidak-mengeluh,RMOL,Ekonomi
Pemerintah Tarik Utang Maksimal Rp 5967 Triliun di 2023 ,https://www.liputan6.com/bisnis/read/4944902/pemerintah-tarik-utang-maksimal-rp-5967-triliun-di-2023,Bisnis Liputan6.com - Liputan6.com,Ekonomi
Belanja Tembus Rp3000 Triliun Pemerintah Tarik Utang Rp69631 Triliun Tahun Depan ,https://ekonomi.bisnis.com/read/20220816/10/1567532/belanja-tembus-rp3000-triliun-pemerintah-tarik-utang-rp69631-triliun-tahun-depan,Bisnis.com,Ekonomi
Tahan Harga BBM Pemerintah Lunasi Utang ke Pertamina dan PLN ,https://money.kompas.com/read/2022/07/28/064913826/tahan-harga-bbm-pemerintah-lunasi-utang-ke-pertamina-dan-pln,Kompas.com - Kompas.com,Ekonomi
Utang Rp 20 Triliun Bagaimana Cara Sritex Buat Bayar ,https://www.cnbcindonesia.com/market/20220602160537-17-343829/utang-rp-20-triliun-bagaimana-cara-sritex-buat-bayar,CNBC Indonesia,Ekonomi
Utang Rp 7 T Krakatau Steel Mau Jatuh Tempo Gimana Bayarnya ,https://www.cnbcindonesia.com/market/20220630194654-17-351940/utang-rp-7-t-krakatau-steel-mau-jatuh-tempo-gimana-bayarnya,CNBC Indonesia,Ekonomi
Utang Luar Negeri Indonesia Turun Jadi USD 4164 Miliar pada November 2021 ,https://www.liputan6.com/bisnis/read/4861495/utang-luar-negeri-indonesia-turun-jadi-usd-4164-miliar-pada-november-2021,Liputan6.com,Ekonomi
Aksi Jual Massal Melanda Pasar Surat Utang Indonesia Aman ,https://www.cnbcindonesia.com/market/20220328134038-17-326569/aksi-jual-massal-melanda-pasar-surat-utang-indonesia-aman,CNBC Indonesia,Ekonomi
Pernyataan Lengkap Abramovich Chelsea Dijual Utang The Blues Dihapus Keuntungan Penjualan untuk Korban Perang Ukraina ,https://bola.kompas.com/read/2022/03/03/02213918/pernyataan-lengkap-abramovich-chelsea-dijual-utang-the-blues-dihapus-keuntungan?page=all,Kompas.com - Kompas.com,Ekonomi
Diskon Bayar Utang Up To 60 ke Negara Lanjut Sampai Kapan ,https://www.cnbcindonesia.com/market/20220523165054-17-341209/diskon-bayar-utang-up-to-60-ke-negara-lanjut-sampai-kapan,CNBC Indonesia,Ekonomi
Nah Lho Fitch Soroti Utang RI yang Meroket Bikin Khawatir ,https://www.cnbcindonesia.com/market/20211123150959-17-293761/nah-lho-fitch-soroti-utang-ri-yang-meroket-bikin-khawatir,CNBC Indonesia,Ekonomi
Benarkah Ada Negara Bangkrut Akibat Utang Ini Penjelasan Lengkapnya ,https://ekonomi.bisnis.com/read/20220621/9/1546238/benarkah-ada-negara-bangkrut-akibat-utang-ini-penjelasan-lengkapnya,Bisnis.com,Ekonomi
Garuda Bakal Bayar Utang Semua Kreditur Pakai Skema Ini ,https://www.cnbcindonesia.com/market/20220609172714-17-345796/garuda-bakal-bayar-utang-semua-kreditur-pakai-skema-ini,CNBC Indonesia,Ekonomi
Rasio Utang RI 2022 Diramal Tembus 43 PDB Aman Nggak Nih ,https://www.cnbcindonesia.com/market/20211213181924-17-298931/rasio-utang-ri-2022-diramal-tembus-43-pdb-aman-nggak-nih,CNBC Indonesia,Ekonomi
Daftar Utang Negara Berkembang di Dunia Indonesia Peringkat Berapa ,https://www.liputan6.com/bisnis/read/4871068/daftar-utang-negara-berkembang-di-dunia-indonesia-peringkat-berapa,Liputan6.com,Ekonomi
Bakrie Masih Nunggak Utang Lapindo Pemerintah Tagih Terus ,https://www.cnbcindonesia.com/market/20220408170959-17-330133/bakrie-masih-nunggak-utang-lapindo-pemerintah-tagih-terus,CNBC Indonesia,Ekonomi
Utang Masih Jadi Tumpuan Sembuhkan Ekonomi dari Pandemi ,https://www.cnnindonesia.com/ekonomi/20211228155405-532-739672/utang-masih-jadi-tumpuan-sembuhkan-ekonomi-dari-pandemi,CNN Indonesia,Ekonomi
Pemerintah Diminta Transparan soal Utang Negara ,https://www.harianterbit.com/ekonomi/pr-2743979893/pemerintah-diminta-transparan-soal-utang-negara,Harian Terbit - Harian Terbit,Ekonomi
Duh Utang Pemerintah dan BUMN Bisa Tembus Rp10000 Triliun di Akhir Era Jokowi ,https://ekonomi.bisnis.com/read/20210324/9/1372045/duh-utang-pemerintah-dan-bumn-bisa-tembus-rp10000-triliun-di-akhir-era-jokowi,Bisnis.com,Ekonomi
Utang pemerintah Italia capai rekor tertinggi pada pertengahan tahun ,https://www.antaranews.com/berita/3062657/utang-pemerintah-italia-capai-rekor-tertinggi-pada-pertengahan-tahun,ANTARA,Ekonomi
Setelah Lunasi Utang Pinjol Apakah Nasabah Boleh Minta Datanya Dihapus ,https://finance.detik.com/fintech/d-5803866/setelah-lunasi-utang-pinjol-apakah-nasabah-boleh-minta-datanya-dihapus,detikFinance,Ekonomi
Alarm Risiko Gagal Bayar Utang Sederet Negara Berkembang Berbunyi ,https://ekonomi.bisnis.com/read/20220422/620/1525856/alarm-risiko-gagal-bayar-utang-sederet-negara-berkembang-berbunyi,Bisnis.com,Ekonomi
Pemerintah Bayar Utang Kompensasi ke PLN Rp 24 T ,https://finance.detik.com/energi/d-6157373/pemerintah-bayar-utang-kompensasi-ke-pln-rp-24-t,detikFinance,Ekonomi
Erick Thohir Ungkap Rasio Utang Turun dan Keuangan BUMN Semakin Sehat ,https://katadata.co.id/syahrizalsidik/finansial/62c7e58c72bd5/erick-thohir-ungkap-rasio-utang-turun-dan-keuangan-bumn-semakin-sehat,Katadata.co.id,Ekonomi
Survei Mayoritas Responden Pilih Utang Negara Bertambah Asal Harga BBM Tak Naik  merdeka ,https://www.merdeka.com/uang/survei-mayoritas-responden-pilih-utang-negara-bertambah-asal-harga-bbm-tak-naik.html,Merdeka.com,Ekonomi
Jokowi Ditagih Utang Negara Rp 62 Miliar Pemerintah Ajukan Banding ,https://www.viva.co.id/berita/bisnis/1521795-jokowi-ditagih-utang-negara-rp-62-miliar-pemerintah-ajukan-banding,VIVA - VIVA.co.id,Ekonomi
Utang Luar Negeri Indonesia Turun Jadi USD 4223 Miliar di Oktober 2021 ,https://www.liputan6.com/bisnis/read/4747241/utang-luar-negeri-indonesia-turun-jadi-usd-4223-miliar-di-oktober-2021,Liputan6.com,Ekonomi
Hoaks Presiden Jokowi tagih utang Rp100 miliar ke Malaysia lewat Bank Dunia ,https://www.antaranews.com/berita/3079717/hoaks-presiden-jokowi-tagih-utang-rp100-miliar-ke-malaysia-lewat-bank-dunia,ANTARA,Ekonomi
Hoaks Bukti kuitansi utang Soekarno 400 kg emas dari pengusaha Aceh ,https://www.antaranews.com/berita/2966977/hoaks-bukti-kuitansi-utang-soekarno-400-kg-emas-dari-pengusaha-aceh,ANTARA,Ekonomi
Daftar Terbaru Pinjol Ilegal yang Ditutup OJK Awas Tertipu ,https://www.cnbcindonesia.com/tech/20220523143300-37-341144/daftar-terbaru-pinjol-ilegal-yang-ditutup-ojk-awas-tertipu,CNBC Indonesia,Ekonomi
Freeport Indonesia Utang Rp 45 Triliun untuk Bangun Smelter ,https://www.liputan6.com/bisnis/read/4961337/freeport-indonesia-utang-rp-45-triliun-untuk-bangun-smelter,Liputan6.com,Ekonomi
Realisasi Pembiayaan Utang RI Turun 624 Persen di April 2022 ,https://www.liputan6.com/bisnis/read/4969602/realisasi-pembiayaan-utang-ri-turun-624-persen-di-april-2022,Liputan6.com,Ekonomi
Sri Mulyani 3 negara minta keringanan utang ke G20 ,https://www.antaranews.com/berita/2713101/sri-mulyani-3-negara-minta-keringanan-utang-ke-g20,ANTARA,Ekonomi
Warning Analis Ini Sebut Krisis Utang Properti di China Baru Saja Dimulai ,https://ekonomi.bisnis.com/read/20220707/620/1552472/warning-analis-ini-sebut-krisis-utang-properti-di-china-baru-saja-dimulai,Bisnis.com,Ekonomi
Begini Syarat Lagu di YouTube Bisa Jadi Jaminan Utang ke Bank ,https://news.detik.com/berita/d-6191275/begini-syarat-lagu-di-youtube-bisa-jadi-jaminan-utang-ke-bank,detikNews,Ekonomi
Tanggapi Utang Freeport Refly Harun Sesungguhnya Siapa Sih yang Untung ,https://politik.rmol.id/read/2022/05/08/532827/tanggapi-utang-freeport-refly-harun-sesungguhnya-siapa-sih-yang-untung,RMOL,Ekonomi
Hari Ultah Jokowi Kontras Ingatkan soal Utang Selesaikan HAM Berat ,https://www.cnnindonesia.com/nasional/20220621181853-32-811804/hari-ultah-jokowi-kontras-ingatkan-soal-utang-selesaikan-ham-berat,CNN Indonesia,Ekonomi
Sebut Pemerintah Tak Jujur Said Didu Subsidi BBM Dihapus Untuk Bayar Utang ,https://mantrasukabumi.pikiran-rakyat.com/nasional/pr-205439915/sebut-pemerintah-tak-jujur-said-didu-subsidi-bbm-dihapus-untuk-bayar-utang,Mantra Sukabumi - Mantra Sukabumi,Ekonomi
Tembus Rp 6361 Triliun Posisi Utang Indonesia Masih Aman ,https://www.liputan6.com/bisnis/read/4532712/tembus-rp-6361-triliun-posisi-utang-indonesia-masih-aman,Liputan6.com,Ekonomi
Inggris Siap Beri Utang Indonesia Rp 223 Triliun ke Proyek MRT Jakarta ,https://www.liputan6.com/bisnis/read/4988885/inggris-siap-beri-utang-indonesia-rp-223-triliun-ke-proyek-mrt-jakarta,Liputan6.com,Ekonomi
Meneropong Kondisi Garuda Indonesia di 2022 Tengah Terhimpit Utang Triliunan Rupiah  merdeka ,https://www.merdeka.com/uang/meneropong-kondisi-garuda-indonesia-di-2022-tengah-terhimpit-utang-triliunan-rupiah.html,Merdeka.com,Ekonomi
Jokowi Teken PP Ekraf Film dan Lagu Bisa jadi Jaminan Utang ke Bank ,https://www.liputan6.com/bisnis/read/5017031/jokowi-teken-pp-ekraf-film-dan-lagu-bisa-jadi-jaminan-utang-ke-bank,Liputan6.com,Ekonomi
Gelembung Utang Negara G20 ,https://katadata.co.id/ariayudhistira/infografik/61fbc7593b4f2/gelembung-utang-negara-g20,Katadata.co.id,Ekonomi
Utang Tembus Rp 6000 Triliun BPK Khawatir Pemerintah Tak Bisa Bayar ,https://www.liputan6.com/bisnis/read/4589482/utang-tembus-rp-6000-triliun-bpk-khawatir-pemerintah-tak-bisa-bayar,Liputan6.com,Ekonomi
Top 3 Utang Pemerintah Sudah di Level Bahaya ,https://www.liputan6.com/bisnis/read/4590779/top-3-utang-pemerintah-sudah-di-level-bahaya,Bisnis Liputan6.com - Liputan6.com,Ekonomi
Punya Utang Pajak yang Tak Kunjung Dilunasi Awas Aset Dapat Disandera ,https://www.kompas.com/tren/read/2022/08/11/130400165/punya-utang-pajak-yang-tak-kunjung-dilunasi-awas-aset-dapat-disandera?page=all,Kompas.com - KOMPAS.com,Ekonomi
Laba Energi Mega ENRG Turun Tapi Utang Jadi Nihil di 2021 ,https://www.cnbcindonesia.com/market/20220411100535-17-330473/laba-energi-mega--enrg--turun-tapi-utang-jadi-nihil-di-2021,CNBC Indonesia,Ekonomi
Ahli Waris Lupa Bayar Hutang Berdosakah ,https://www.republika.co.id/berita/rbr3hp313/ahli-waris-lupa-bayar-hutang-berdosakah,Republika Online,Ekonomi
Penjelasan Garuda Indonesia Soal Utang Rp10 Triliun ke Boeing ,https://economy.okezone.com/read/2022/08/13/278/2647089/penjelasan-garuda-indonesia-soal-utang-rp10-triliun-ke-boeing,Okezone Economy,Ekonomi
Berapa Lama Catatan Kredit Jelek Bisa Bersih Lagi ,https://finance.detik.com/moneter/d-6152841/berapa-lama-catatan-kredit-jelek-bisa-bersih-lagi,detikFinance,Ekonomi
Kekayaan Intelektual Jadi Jaminan Utang Ini Respons Bank,https://money.kompas.com/read/2022/07/26/100400826/kekayaan-intelektual-jadi-jaminan-utang-ini-respons-bank-bank-?page=all,Kompas.com - Kompas.com,Ekonomi
