title,link,source,topic
Krisis 2023 Lebih Horor dari 2008 Ini Lho Alasannya ,https://www.cnbcindonesia.com/news/20221018060849-4-380438/krisis-2023-lebih-horor-dari-2008-ini-lho-alasannya,CNBC Indonesia,Ekonomi
Membuka Skenario Terburuk Resesi 2023 RI Bisa Selamat Asal ,https://www.cnbcindonesia.com/news/20221018072506-4-380452/membuka-skenario-terburuk-resesi-2023-ri-bisa-selamat-asal,CNBC Indonesia,Ekonomi
Makin Ngeri Sri Mulyani Blak,https://ekonomi.bisnis.com/read/20221012/9/1586655/makin-ngeri-sri-mulyani-blak-blakan-soal-ancaman-krisis-pangan-2023,Bisnis.com,Ekonomi
Ekonom Resesi Global 2023 Lebih Mirip Krisis 1970 Ketimbang 1998 ,https://bisnis.tempo.co/read/1642537/ekonom-resesi-global-2023-lebih-mirip-krisis-1970-ketimbang-1998,Bisnis Tempo.co,Ekonomi
Mbah Nun Ingatkan Krisis 2023 di Depan Mata ,https://surabayapost.id/mbah-nun-ingatkan-krisis-2023-di-depan-mata/,SurabayaPost,Ekonomi
Krisis 2023 Lebih Horor dari 2008 Ini Alasannya ,https://www.beritabali.com/news/read/krisis-2023-lebih-horor-dari-2008-ini-alasannya,Beritabali.com - Informasi Terkini dari Bali,Ekonomi
Resesi Global dan Krisis Keuangan 2023 Menghantui Ini Saran Bank Dunia ,https://ekonomi.bisnis.com/read/20220919/620/1578810/resesi-global-dan-krisis-keuangan-2023-menghantui-ini-saran-bank-dunia,Bisnis.com,Ekonomi
Krisis Pupuk Tahun Ini Berkaitan dengan Krisis Pangan 2023 Ini Antisipasi Pupuk Kaltim ,https://money.kompas.com/read/2022/10/17/203000126/krisis-pupuk-tahun-ini-berkaitan-dengan-krisis-pangan-2023-ini-antisipasi?page=all,Kompas.com - Kompas.com,Ekonomi
Lantik Heru Budi Hartono Mendagri Ingatkan Potensi Krisis 2023 dan Persiapan Pemilu 2024 ,https://nasional.kompas.com/read/2022/10/17/11184811/lantik-heru-budi-hartono-mendagri-ingatkan-potensi-krisis-2023-dan-persiapan,Kompas.com - Nasional Kompas.com,Ekonomi
Ancaman Resesi 2023 Asosiasi Marketing Indonesia Beberkan Sejumlah Strategi Menghadapinya ,https://bisnis.tempo.co/read/1643113/ancaman-resesi-2023-asosiasi-marketing-indonesia-beberkan-sejumlah-strategi-menghadapinya,Bisnis Tempo.co,Ekonomi
IMF Ekonomi Global 2023 Gelap Gulita Sejumlah Negara Masuk Resesi ,https://investor.id/international/309254/imf-ekonomi-global-2023-gelap-gulita-sejumlah-negara-masuk-resesi,Investor.ID,Ekonomi
Menkeu Prediksi Dunia Terjun ke Jurang Resesi 2023 Ini Sejarah Krisis Ekonomi The Great Depression ,https://www.kompas.tv/article/332402/menkeu-prediksi-dunia-terjun-ke-jurang-resesi-2023-ini-sejarah-krisis-ekonomi-the-great-depression,Kompas TV,Ekonomi
Ancaman Resesi 2023 Ekonom Sebut Sektor,https://bisnis.tempo.co/read/1644495/ancaman-resesi-2023-ekonom-sebut-sektor-sektor-ini-paling-bisa-bertahan,Bisnis Tempo.co,Ekonomi
