title,link,source,topic
Rupiah ke Rp 16000US Sepertinya Cuma Masalah Waktu ,https://www.cnbcindonesia.com/market/20221018071819-17-380450/rupiah-ke-rp-16000-us--sepertinya-cuma-masalah-waktu,CNBC Indonesia,Ekonomi
Rupiah menguat ke posisi Rp15468 per dolar AS ,https://jabar.antaranews.com/berita/410565/rupiah-menguat-ke-posisi-rp15468-per-dolar-as,ANTARA Jawa Barat,Ekonomi
Dolar AS Merosot Rupiah Berhasil Balik Arah ke Posisi Rp 15468 per Dolar AS ,https://investor.id/commodities/310095/dolar-as-merosot-rupiah-berhasil-balik-arah-ke-posisi-rp-15468-per-dolar-as,Investor.ID,Ekonomi
Daya Saing Rupiah ,https://insight.kontan.co.id/news/daya-saing-rupiah,Insight Kontan,Ekonomi
Rupiah awal pekan terus melemah di tengah surplus neraca perdagangan ,https://www.antaranews.com/berita/3184141/rupiah-awal-pekan-terus-melemah-di-tengah-surplus-neraca-perdagangan,ANTARA,Ekonomi
Rupiah Meningkat Hingga Kroger Beli Albertson ,https://www.cnbcindonesia.com/news/20221017192318-8-380401/rupiah-meningkat-hingga-kroger-beli-albertson,CNBC Indonesia,Ekonomi
Rupiah Hampir Sentuh 15500 per Dolar AS Subsidi BBM Semakin Bengkak ,https://www.liputan6.com/bisnis/read/5100020/rupiah-hampir-sentuh-15500-per-dolar-as-subsidi-bbm-semakin-bengkak,Liputan6.com,Ekonomi
Jelang RDG BI Besok Kurs Rupiah Rp 15480 Inflasi 005 CDS  Yield SBN Naik ,https://nasional.kontan.co.id/news/jelang-rdg-bi-besok-kurs-rupiah-rp-15480-inflasi-005-cds-yield-sbn-naik,Internasional Kontan,Ekonomi
Banyak Bukti Dunia Kacau Balau Rupiah Jeblok Lagi ,https://www.cnbcindonesia.com/market/20221007150759-17-378065/banyak-bukti-dunia-kacau-balau-rupiah-jeblok-lagi,CNBC Indonesia,Ekonomi
Rupiah Dekati Level Rp15500 per Dolar Cek Kurs di BCA BRI Bank Mandiri dan BNI Hari Ini 18102022 ,https://finansial.bisnis.com/read/20221018/90/1588643/rupiah-dekati-level-rp15500-per-dolar-cek-kurs-di-bca-bri-bank-mandiri-dan-bni-hari-ini-18102022,Bisnis.com,Ekonomi
Rupiah Balik Libas Dolar AS Jadi Terbaik di Asia ,https://www.cnbcindonesia.com/market/20220927145422-17-375352/rupiah-balik-libas-dolar-as-jadi-terbaik-di-asia,CNBC Indonesia,Ekonomi
Perkembangan Indikator Stabilitas Nilai Rupiah 23 September 2022 ,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2425522.aspx,Bank Indonesia,Ekonomi
Ini Jurus Sido Muncul SIDO Atasi Pelemahan Nilai Tukar Rupiah ,https://investasi.kontan.co.id/news/ini-jurus-sido-muncul-sido-atasi-pelemahan-nilai-tukar-rupiah,Investasi Kontan,Ekonomi
Rupiah Berpotensi Loyo pada Perdagangan Selasa 18 Oktober 2022 ,https://m.liputan6.com/bisnis/read/5099748/rupiah-berpotensi-loyo-pada-perdagangan-selasa-18-oktober-2022,Liputan6.com,Ekonomi
Awal Sesi IHSG dan Rupiah Masih Tertekan ,https://money.kompas.com/read/2022/10/17/093845426/awal-sesi-ihsg-dan-rupiah-masih-tertekan,Kompas.com - Kompas.com,Ekonomi
Rupiah Melemah Kadin Ingatkan Pelaku Usaha Perlu Hati,https://industri.kontan.co.id/news/rupiah-melemah-kadin-ingatkan-pelaku-usaha-perlu-hati-hati-lakukan-ekspansi,Industri Kontan,Ekonomi
Analisis Pertahanan Rupiah Mulai Runtuh ,https://indonews.id/artikel/328159/Analisis-Pertahanan-Rupiah-Mulai-Runtuh/,indonews.id,Ekonomi
Rupiah Anjlok Subsidi Bengkak  Barang Impor Makin Mahal ,https://www.cnbcindonesia.com/market/20220928085050-17-375508/rupiah-anjlok-subsidi-bengkak-barang-impor-makin-mahal,CNBC Indonesia,Ekonomi
The Fed dan BI Bikin Kaget Dolar Perkasa Rupiah Makin Merana ,https://www.cnbcindonesia.com/market/20220924122149-17-374645/the-fed-dan-bi-bikin-kaget-dolar-perkasa-rupiah-makin-merana,CNBC Indonesia,Ekonomi
