title,link,source,topic
SM Entertainment Akan Akhiri Kontrak dengan Lee Soo Man pada Akhir 2022 ,https://www.kompas.com/hype/read/2022/10/15/102348266/sm-entertainment-akan-akhiri-kontrak-dengan-lee-soo-man-pada-akhir-2022,Kompas.com - KOMPAS.com,Entertainment
Intip Manisnya Momen Para Artis SM Entertainment Saling Tuliskan Pesan Rahasia ,https://www.liputan6.com/citizen6/read/5098995/intip-manisnya-momen-para-artis-sm-entertainment-saling-tuliskan-pesan-rahasia,Liputan6.com,Entertainment
Daftar Artis SM Entertainment yang Diperkirakan Comeback dan Tour Tahun 2023 Ada EXO NCT hingga aespa ,https://kabarlumajang.pikiran-rakyat.com/hiburan/pr-425699527/daftar-artis-sm-entertainment-yang-diperkirakan-comeback-dan-tour-tahun-2023-ada-exo-nct-hingga-aespa,Kabar Lumajang - Kabar Lumajang,Entertainment
Lowongan Kerja SM Entertainment Indonesia ,https://www.lokernas.com/2022/10/lowongan-kerja-sm-entertainment.html,Lowongan Kerja BUMN Kementerian Swasta Medis Dosen Oktober 2022 - Lokernas.com,Entertainment
9 Lagu Idol SM Entertainment Dirilis untuk Konten Kampanye ,https://www.idntimes.com/korea/kpop/maisix-dela-desmita/lagu-sm-entertainment-untuk-kampanye-c1c2,IDN Times,Entertainment
Jadi Ayah Changmin TVXQ Sambut Kelahiran Putra Pertamanya ,https://www.liputan6.com/citizen6/read/5100248/jadi-ayah-changmin-tvxq-sambut-kelahiran-putra-pertamanya,Liputan6.com,Entertainment
Lisa BLACKPINK dan Hyun MQ pacaran Ini Kata Produser SM Entertainment ,https://www.harianterbit.com/selebritas/pr-2745142303/lisa-blackpink-dan-hyun-mq-pacaran-ini-kata-produser-sm-entertainment,Harian Terbit - Harian Terbit,Entertainment
SM Entertainment Buka Audisi Regional di Indonesia Bakal Ada di 4 Kota Ini ,https://yoursay.suara.com/entertainment/2022/09/28/072307/sm-entertainment-buka-audisi-regional-di-indonesia-bakal-ada-di-4-kota-ini,Yoursay.ID,Entertainment
Na Haeun Sosok Trainee SM Entertainment yang Visualnya Disebut Mirip Karina aespa ,https://www.jatimnetwork.com/hiburan/pr-435221716/na-haeun-sosok-trainee-sm-entertainment-yang-visualnya-disebut-mirip-karina-aespa,Jatim Network - Jatim Network Indonesia,Entertainment
Berkolaborasi dengan Everland SM Entertainment Akan Membuka EVER SMTOWN ,https://yoursay.suara.com/entertainment/2022/09/21/111710/berkolaborasi-dengan-everland-sm-entertainment-akan-membuka-ever-smtown,Yoursay.ID,Entertainment
Netizen Berdiskusi Mengapa Banyak Artis SM Entertainment yang Memilih Memperpanjang Kontrak dengan Agensi ,https://kalteng.pikiran-rakyat.com/entertainment/pr-2135601425/netizen-berdiskusi-mengapa-banyak-artis-sm-entertainment-yang-memilih-memperpanjang-kontrak-dengan-agensi,Portal Kalteng - Portal Kalteng,Entertainment
SM Dikritik Atas Dugaan Perlakuan Tak Adil ke Winter aespa ,https://www.wowkeren.com/berita/tampil/00455288.html,Wowkeren Media,Entertainment
SM Entertainment Minta Maaf Gegara Salah Cetak Album Baru NCT 127 ,https://www.suara.com/entertainment/2022/09/20/050000/sm-entertainment-minta-maaf-gegara-salah-cetak-album-baru-nct-127,Suara.com,Entertainment
Idol SM Jadi Pembahasan Usai BLACKPINK,https://www.wowkeren.com/berita/tampil/00455368.html,Wowkeren Media,Entertainment
BTS Wajib Militer Saham Hybe Tumbang ,https://www.cnbcindonesia.com/lifestyle/20221017151547-33-380312/bts-wajib-militer-saham-hybe-tumbang,CNBC Indonesia,Entertainment
SM Halloween Party 2022 Dikabarkan Diadakan Secara Langsung Kapan Ya ,https://www.intipseleb.com/korea/46548-sm-halloween-party-2022-dikabarkan-diadakan-secara-langsung-kapan-ya,IntipSeleb.com,Entertainment
9 Drakor Tahun 2022 yang Dibintangi Idol SM Entertainment ,https://www.idntimes.com/korea/kdrama/angela-calysta/drakor-yang-dibintangi-idol-sm-entertainment-c1c2,IDN Times,Entertainment
Bos New Jeans Bongkar Alasan Mengapa Ia Tinggalkan SM Entertainment Ternyata Gara,https://zonabanten.pikiran-rakyat.com/entertainment/pr-235562605/bos-new-jeans-bongkar-alasan-mengapa-ia-tinggalkan-sm-entertainment-ternyata-gara-gara-ini,Zona Banten - Zona Banten,Entertainment
BoA Dihujat Penonton Street Man Fighter SM Entertainment Siap Ambil Jalur Hukum ,https://seleb.tempo.co/read/1637148/boa-dihujat-penonton-street-man-fighter-sm-entertainment-siap-ambil-jalur-hukum,Seleb Tempo,Entertainment
