title,link,source,topic
YG Entertainment Buka Audisi Lagi di Indonesia ,https://www.cnnindonesia.com/hiburan/20220923082119-227-851557/yg-entertainment-buka-audisi-lagi-di-indonesia,CNN Indonesia,Entertainment
7 Lagu Idol YG Entertainment yang Di,https://www.idntimes.com/korea/kpop/ade-oktiana/lagu-idol-yg-entertainment-yang-di-banned-c1c2,IDN Times,Entertainment
YG Entertainment Tempuh Jalur Hukum bagi Pelaku Penyebar Foto Pribadi Jennie Blackpink ,https://www.republika.co.id/berita/rj8m1x463/yg-entertainment-tempuh-jalur-hukum-bagi-pelaku-penyebar-foto-pribadi-jennie-blackpink,Republika Online,Entertainment
Komentar Gurumi Haribo soal Ancaman YG Entertainment untuk Penyebar Foto Jennie BLACKPINK dan V BTS ,https://www.harianterbit.com/selebritas/pr-2745156622/komentar-gurumi-haribo-soal-ancaman-yg-entertainment-untuk-penyebar-foto-jennie-blackpink-dan-v-bts,Harian Terbit - Harian Terbit,Entertainment
Pantas BLACKPINK dan BIGBANG Tahan Banting Ruangan YG Entertainment Ternyata Dipenuhi Mantra Mujarab ,https://jaktimnews.pikiran-rakyat.com/infotainment/pr-895649978/pantas-blackpink-dan-bigbang-tahan-banting-ruangan-yg-entertainment-ternyata-dipenuhi-mantra-mujarab,Jaktim News - Jaktim News,Entertainment
Ini Alasan YG Entertainment Tetap Diam di Tengah Kebocoran Privasi Jennie BLACKPINK ,https://zonabanten.pikiran-rakyat.com/entertainment/pr-235593447/ini-alasan-yg-entertainment-tetap-diam-di-tengah-kebocoran-privasi-jennie-blackpink,Zona Banten - Zona Banten,Entertainment
Mantan Manager JYP Entertainment BLACKPINK Tak Bisa Dibandingkan Girl Group Lainnya di K,https://kabarwonosobo.pikiran-rakyat.com/entertainment/pr-1565689314/mantan-manager-jyp-entertainment-blackpink-tak-bisa-dibandingkan-girl-group-lainnya-di-k-pop,Kabar Wonosobo - Kabar Wonosobo,Entertainment
YG Entertainment Buka Audisi di Indonesia Apa Saja Syaratnya ,https://20.detik.com/e-flash/20220923-220923078/yg-entertainment-buka-audisi-di-indonesia-apa-saja-syaratnya,20Detik,Entertainment
YG Entertainment Bocorkan Lagu Konser World Tour Born Pink BLACKPINK di Korea Selatan Berikut Daftarnya ,https://kabartegal.pikiran-rakyat.com/gaya-hidup/pr-935686007/yg-entertainment-bocorkan-lagu-konser-world-tour-born-pink-blackpink-di-korea-selatan-berikut-daftarnya,Kabar Tegal - Kabar Tegal,Entertainment
Rumor Girl Group Baru Sita Perhatian Staf YG Entertainment Beri Bocoran ,https://indeksnews.com/rumor-girl-group-baru-sita-perhatian-staf-yg-entert/,Indeks News,Entertainment
