title,link,source,topic
Terungkap Alasan Kai EXO BamBam GOT7 hingga Jeon Somi Batal Tampil di Festival KAMP Los Angeles 2022 ,https://mediajawatimur.pikiran-rakyat.com/entertainment/pr-1695687340/terungkap-alasan-kai-exo-bambam-got7-hingga-jeon-somi-batal-tampil-di-festival-kamp-los-angeles-2022,Media Jawa Timur - Media Jawa Timur,Entertainment
Daftar Line Up Konser Lets Love Indonesia We All Are One 2022 di Jakarta Ada CHEN EXO hingga ASTRO ,https://www.innalar.com/hiburan/pr-3674973573/daftar-line-up-konser-lets-love-indonesia-we-all-are-one-2022-di-jakarta-ada-chen-exo-hingga-astro,Innalar - Innalar,Entertainment
Cara Beli Tiket Nonton Konser We All Are One K,https://mediajawatimur.pikiran-rakyat.com/entertainment/pr-1695622965/cara-beli-tiket-nonton-konser-we-all-are-one-k-pop-concert-yang-dimeriahkan-chen-exo-hingga-nmixx,Media Jawa Timur - Media Jawa Timur,Entertainment
Suho EXO Tampil Memukau di Konser Jepang Dia Mendukung Drama Hip yang Menceritakan Desa Pertanian ,https://zonapriangan.pikiran-rakyat.com/entertainment/pr-465613991/suho-exo-tampil-memukau-di-konser-jepang-dia-mendukung-drama-hip-yang-menceritakan-desa-pertanian,Zona Priangan - Zona Priangan,Entertainment
Xiumin Ungkap Momen Terbaik Sepanjang Karier sebagai Member EXO ,https://www.insertlive.com/korea/20221005121804-191-292312/xiumin-ungkap-momen-terbaik-sepanjang-karier-sebagai-member-exo,InsertLive,Entertainment
Daftar Artis SM Entertainment yang Diperkirakan Comeback dan Tour Tahun 2023 Ada EXO NCT hingga aespa ,https://kabarlumajang.pikiran-rakyat.com/hiburan/pr-425699527/daftar-artis-sm-entertainment-yang-diperkirakan-comeback-dan-tour-tahun-2023-ada-exo-nct-hingga-aespa,Kabar Lumajang - Kabar Lumajang,Entertainment
Deretan Nama Fandom K,https://seleb.tempo.co/read/1646310/deretan-nama-fandom-k-pop-beserta-maknanya-anda-bts-army-atau-blink,Seleb Tempo,Entertainment
Chen EXO Akan Ikut Ramaikan We All Are One K,https://www.cnnindonesia.com/hiburan/20220830115100-227-840784/chen-exo-akan-ikut-ramaikan-we-all-are-one-k-pop-concert-di-jakarta,CNN Indonesia,Entertainment
Bagikan Foto Teaser Aneh Sebelum ke Jakarta Chen EXO akan Beri Kejutan Comeback Dengan Mini Album Terbaru ,https://jaktimnews.pikiran-rakyat.com/infotainment/pr-895662210/bagikan-foto-teaser-aneh-sebelum-ke-jakarta-chen-exo-akan-beri-kejutan-comeback-dengan-mini-album-terbaru,Jaktim News - Jaktim News,Entertainment
BTS Kembali ke Panggung di Konser Gratis Yet to Come in Busan ,https://www.radiowebindo.com/musik/pr-805208322/bts-kembali-ke-panggung-di-konser-gratis-yet-to-come-in-busan,Radio Web Indo - Radio Web Indo,Entertainment
