title,link,source,topic
Siapa Pemilik KUY Entertainment Sering Tampilkan Artis Ternama ,https://entertainment.kompas.com/read/2022/10/17/131743466/siapa-pemilik-kuy-entertainment-sering-tampilkan-artis-ternama?page=all,Kompas.com - Kompas.com,Entertainment
Sabtu KUY Entertainment dan RANS Entertainment Helat Media Clash di Mahaka Square ,https://www.republika.co.id/berita/rjk80b414/sabtu-kuy-entertainment-dan-rans-entertainment-helat-media-clash-di-mahaka-square,Republika Online,Entertainment
Siapa Pemilik KUY Entertainment Sebenarnya Akun Youtube yang Memiliki Penghasilan Ratusan Juta Per Bulan ,https://kendalku.pikiran-rakyat.com/hiburan/pr-1185696921/siapa-pemilik-kuy-entertainment-sebenarnya-akun-youtube-yang-memiliki-penghasilan-ratusan-juta-per-bulan,Kendalku - Kendalku,Entertainment
Denny Sumargo Diam,https://m.liputan6.com/showbiz/read/5099661/denny-sumargo-diam-diam-ingin-gading-marten-dan-gisella-anastasia-rujuk,Liputan6.com,Entertainment
Selebritas RANS Entertainment,https://republika.co.id/berita/rjub37414/selebritas-rans-entertainmentkuy-media-group-ikut-sportainment-match-siapa-menang,Republika Online,Entertainment
Gading Marten dan Gisella Anastasia Nyaris Mesra Lagi saat Tanding di Lapangan Pakai Baju Nomor Punggung Sama ,https://m.liputan6.com/showbiz/read/5098589/gading-marten-dan-gisella-anastasia-nyaris-mesra-lagi-saat-tanding-di-lapangan-pakai-baju-nomor-punggung-sama,Liputan6.com,Entertainment
Ketika Gading Gisel dan Wijin Bertemu dalam Sebuah Pertandingan Basket ,https://www.kompas.com/hype/read/2022/10/17/073530266/ketika-gading-gisel-dan-wijin-bertemu-dalam-sebuah-pertandingan-basket,Kompas.com - KOMPAS.com,Entertainment
Fakta Pertemuan Gading dan Gisel di Pertandingan Basket KUY vs RANS Pakai Nomor Punggung Sama hingga Beri Bola Khusus ,https://star.grid.id/read/453527550/fakta-pertemuan-gading-dan-gisel-di-pertandingan-basket-kuy-vs-rans-pakai-nomor-punggung-sama-hingga-beri-bola-khusus,GridStar,Entertainment
Tanding Basket Interaksi Gading Marten dan Gisella Anastasia Buat Gemas Netizen ,https://m.fimela.com/entertainment/read/5098509/tanding-basket-interaksi-gading-marten-dan-gisella-anastasia-buat-gemas-netizen,Fimela.com,Entertainment
Dicengin Denny Sumargo Anya Geraldine ke Wendy Walters Keep Strong ,https://www.intipseleb.com/lokal/46779-dicengin-denny-sumargo-anya-geraldine-ke-wendy-walters-keep-strong,IntipSeleb.com,Entertainment
Sering Dikira Jomblo Ardhito Pramono Pamerkan Sosok Anak Perempuannya ,https://www.intipseleb.com/lokal/46821-sering-dikira-jomblo-ardhito-pramono-pamerkan-sosok-anak-perempuannya,IntipSeleb.com,Entertainment
Viral Hari Ini Fahri Hamzah Larang Rakyat Berkelahi karena Itu Tugas Pejabat Fakta di Sidang Ferdy Sambo ,https://jogja.suara.com/read/2022/10/18/111704/viral-hari-ini-fahri-hamzah-larang-rakyat-berkelahi-karena-itu-tugas-pejabat-fakta-di-sidang-ferdy-sambo,SuaraJogja.ID,Entertainment
Tiket Final Party Sold Out 7 Jam Sejak Dibuka Nobar Yuk di KUY Entertainment ,https://www.dbl.id/r/10844/tiket-final-party-sold-out-7-jam-sejak-dibuka-nobar-yuk-di-kuy-entertainment,DBL,Entertainment
Ngerumpi Kasus Rizky Billar Sule Dicibir Kalau Ngomongin Orang Pinter Kesenggol Dikit Baper ,https://www.suara.com/entertainment/2022/10/10/093212/ngerumpi-kasus-rizky-billar-sule-dicibir-kalau-ngomongin-orang-pinter-kesenggol-dikit-baper,Suara.com,Entertainment
Aduh Dimas Ahmad Terekam Kamera Pegang Dada Vey Ruby Jane ,https://www.dawainusa.com/aduh-dimas-ahmad-terekam-kamera-pegang-dada-vey-ruby-jane/,Dawainusa.com,Entertainment
CEK FAKTA Apa Benar Ada Konser Lesti dan Billar Bersemi Kembali di Indosiar Minggu 23 Oktober 2022 ,https://kendalku.pikiran-rakyat.com/hiburan/pr-1185698662/cek-fakta-apa-benar-ada-konser-lesti-dan-billar-bersemi-kembali-di-indosiar-minggu-23-oktober-2022,Kendalku - Kendalku,Entertainment
Kehabisan Tiket Terpaksa Streaming Neuville Jangan Lupa Defense ,https://www.dbl.id/r/10865/kehabisan-tiket-terpaksa-streaming-neuville-jangan-lupa-defense,DBL,Entertainment
Sukses Bikin Marshel dan Kiky Terbahak Livy Renata Syahrini Itu dari Idol Bukan ,https://manado.tribunnews.com/2022/09/26/sukses-bikin-marshel-dan-kiky-terbahak-livy-renata-syahrini-itu-dari-idol-bukan,Tribun Manado,Entertainment
Parah Banget Jeje Slebew Ngaku Dimanfaatkan Teman Sendiri ,https://www.intipseleb.com/lokal/45350-parah-banget-jeje-slebew-ngaku-dimanfaatkan-teman-sendiri,IntipSeleb.com,Entertainment
Boris Bokir dan Sarah Keihl Akui Aura Nagita Slavina Mahal Udah Cakep Attitude Juga Oke ,https://www.suara.com/entertainment/2022/09/27/081155/boris-bokir-dan-sarah-keihl-akui-aura-nagita-slavina-mahal-udah-cakep-attitude-juga-oke,Suara.com,Entertainment
Semua Final Party Honda DBL with KFC Tayang Eksklusif di KUY Entertainment ,https://www.dbl.id/r/10039/semua-final-party-honda-dbl-with-kfc-tayang-eksklusif-di-kuy-entertainment,DBL,Entertainment
Genap 1 Tahun Gading Marten Bersyukur KUY Entertainment Mampu Berkembang Dalam Waktu Cepat ,https://www.kapanlagi.com/showbiz/selebriti/genap-1-tahun-gading-marten-bersyukur-kuy-entertainment-mampu-berkembang-dalam-waktu-cepat-e0dd3b.html,Kapanlagi.com - KapanLagi.com,Entertainment
Jakarta Barat Punya Siapa Tonton Livestreaming Final Party di KUY Entertainment ,https://www.dbl.id/r/10279/jakarta-barat-punya-siapa-tonton-livestreaming-final-party-di-kuy-entertainment,DBL,Entertainment
Kuy Entertainment Raffi Ahmad ,https://www.tabloidbintang.com/berita/polah/read/158486/kuy-entertainment-raffi-ahmad-gading-marten-raup-2-5-juta-subscriber-dalam-setahun,"Gading Marten Raup 2,5 Juta Subscriber Dalam Setahun - Tabloidbintang.com",Entertainment
9 Potret Soraya Rasyid Bermain Basket di Media Clash Keren ,https://www.idntimes.com/hype/entertainment/nandini/soraya-rasyid-bermain-basket-c1c2,IDN Times,Entertainment
Raffi Ahmad Bertekad Menang atas Tim Gading Marten Hadiah untuk Nagita Slavina ,https://www.kompas.com/hype/read/2022/10/10/230547966/raffi-ahmad-bertekad-menang-atas-tim-gading-marten-hadiah-untuk-nagita?page=all,Kompas.com - KOMPAS.com,Entertainment
Beda KUY Entertainment dengan Channel YouTube Gading dan Raffi Ahmad ,https://hot.detik.com/celeb/d-4977897/beda-kuy-entertainment-dengan-channel-youtube-gading-dan-raffi-ahmad,detikHot,Entertainment
Fachri Albar jadi Investor Ketiga KUY Entertainment Setelah Raffi Ahmad dan Gading Marten ,https://www.liputan6.com/showbiz/read/4241262/fachri-albar-jadi-investor-ketiga-kuy-entertainment-setelah-raffi-ahmad-dan-gading-marten,Liputan6.com,Entertainment
Perkuat Pasar Kuy Media Group Kolaborasi dengan RANS Entertainment ,https://investor.id/lifestyle/246086/perkuat-pasar-kuy-media-group-kolaborasi-dengan-rans-entertainment,Investor.ID,Entertainment
Selebrasi Setahun Berdiri KUY Entertaiment Siaran Streaming 12 Jam di YouTube ,https://www.tribunnews.com/seleb/2021/04/25/selebrasi-setahun-berdiri-kuy-entertaiment-siaran-streaming-15-jam-di-youtube,Tribunnews.com,Entertainment
Raffi Ahmad Gading Marten Fachry Albar Bikin KUY Entertainment ,https://seleb.tempo.co/read/1337143/raffi-ahmad-gading-marten-fachry-albar-bikin-kuy-entertainment,Seleb Tempo,Entertainment
Foto  Dikabarkan Dekat Intip Potret Kebersamaan Gisella Anastasia dan Rino Soedarjo  merdeka ,https://www.merdeka.com/foto/sumut/1482666/20221017132124-potret-kebersamaan-gisella-anastasia-dan-rino-soedarjo-dekat-dan-diduga-berpacaran-001-.html,Merdeka.com,Entertainment
7 Potret Anya Geraldine Jadi Kasir Resto Ayam Buat Pelanggan Betah ,https://www.fimela.com/entertainment/read/4990747/7-potret-anya-geraldine-jadi-kasir-resto-ayam-buat-pelanggan-betah,Fimela.com,Entertainment
KUY Entertainment Survive Menghibur Selama Pandemi ,https://merahputih.com/post/read/kuy-entertainment-survive-menghibur-selama-pandemi,Merah Putih,Entertainment
Simak Biodata Nadif Nahiruddin Kekasih Anya Geraldine Penasehat KUY Entertainment hingga Direktur Perusahaan ,https://mediablitar.pikiran-rakyat.com/infotainment/pr-324288958/simak-biodata-nadif-nahiruddin-kekasih-anya-geraldine-penasehat-kuy-entertainment-hingga-direktur-perusahaan,Media Blitar - Media Blitar,Entertainment
Beli Cincin Kawin Rp 25 Juta untuk Astrid Tiar Gading Marten Pinjam Duit ke Ivan Gunawan ,https://www.suara.com/entertainment/2022/08/13/164859/beli-cincin-kawin-rp-25-juta-untuk-astrid-tiar-gading-marten-pinjam-duit-ke-ivan-gunawan,Suara.com,Entertainment
Ternyata Ini Motivasi Gading Marten dan Raffi Bikin KUY Entertainment ,https://hot.detik.com/celeb/d-4977748/ternyata-ini-motivasi-gading-marten-dan-raffi-bikin-kuy-entertainment,detikHot,Entertainment
Dikira Sama Gading Marten Sebut Kuy Entertainment Beda Dengan Channel YouTube Miliknya dan Raffi ,https://www.wowkeren.com/berita/tampil/00306400.html,Wowkeren Hiburan,Entertainment
Bebaskan Jam Kerja Karyawan RANS Entertainment Raffi Ahmad Yang Penting Beres ,https://www.kompas.com/hype/read/2022/03/25/140812466/bebaskan-jam-kerja-karyawan-rans-entertainment-raffi-ahmad-yang-penting?page=all,Kompas.com - KOMPAS.com,Entertainment
Diduga selingkuh Dengan Salshabilla Adriani 8 Potret Ibrahim Risyad yang Ternyata Lebih Milih Diselingkuhi ,https://www.kapanlagi.com/showbiz/selebriti/diduga-selingkuh-dengan-salshabilla-adriani-8-potret-ibrahim-risyad-yang-ternyata-lebih-milih-diselingkuhi-enzy-this-or-that-kali-ini-emang-tali-kasih-421ce4.html,Enzy: This or That Kali Ini Emang Tali Kasih - Kapanlagi.com - KapanLagi.com,Entertainment
Akui Tak Akan Selamanya Jadi Artis Raffi Ahmad Ungkap Keinginan di Usia 40 Nanti  merdeka ,https://www.merdeka.com/jateng/akui-tak-akan-selamanya-jadi-artis-raffi-ahmad-ungkap-masa-santainya.html,Merdeka.com,Entertainment
8 Potret Ariel Tatum Pamer Sop Iga Buatannya Terenak Se,https://www.kapanlagi.com/foto/berita-foto/indonesia/8-potret-ariel-tatum-pamer-sop-iga-buatannya-terenak-se-indonesia-kedipan-matanya-bikin-meleyot.html,Kapanlagi.com - KapanLagi.com,Entertainment
Kartu Merah buat Influencer Octa FX,https://www.cnbcindonesia.com/investment/20220310080556-21-321544/kartu-merah-buat-influencer-octa-fx-binomo-cs-ini-daftarnya,CNBC Indonesia,Entertainment
