title,link,source,topic
Apa yang Terjadi jika China Kalahkan AS Jadi Negara Adidaya ,https://www.cnnindonesia.com/internasional/20221014145402-113-860627/apa-yang-terjadi-jika-china-kalahkan-as-jadi-negara-adidaya,CNN Indonesia,Internasional
Awas RI Mulai Terseret Kegelapan China Ini Buktinya ,https://www.cnbcindonesia.com/market/20221018054003-17-380434/awas-ri-mulai-terseret-kegelapan-china-ini-buktinya,CNBC Indonesia,Internasional
Titah Komunis China Terlalu Kuat Hingga Goyang Batu Bara ,https://www.cnbcindonesia.com/market/20221018061014-17-380439/titah-komunis-china-terlalu-kuat-hingga-goyang-batu-bara,CNBC Indonesia,Internasional
Perjalanan China Tak Akan Mudah ,https://www.kompas.id/baca/internasional/2022/10/17/perjalanan-china-tak-akan-mudah,kompas.id,Internasional
Ekonomi China Dalam Kegelapan Rupiah Malah Menguat ,https://www.cnbcindonesia.com/market/20221018084116-17-380472/ekonomi-china-dalam-kegelapan-rupiah-malah-menguat,CNBC Indonesia,Internasional
China Rekrut Puluhan Mantan Pilot Militer Inggris untuk Latih Tentaranya ,https://dunia.rmol.id/read/2022/10/18/551187/china-rekrut-puluhan-mantan-pilot-militer-inggris-untuk-latih-tentaranya,RMOL,Internasional
Xi Jinping Ngebut Perkuat Militer China Harus Menang Perang Kawasan ,https://www.cnnindonesia.com/internasional/20221017165052-113-861692/xi-jinping-ngebut-perkuat-militer-china-harus-menang-perang-kawasan,CNN Indonesia,Internasional
Demonstran Dipukuli di Halaman Konsulat China Inggris Selidiki ,https://news.detik.com/internasional/d-6354239/demonstran-dipukuli-di-halaman-konsulat-china-inggris-selidiki,detikNews,Internasional
Dibayangi Ancaman Resesi China Harga Minyak Dunia Flat ,https://money.kompas.com/read/2022/10/18/072800626/dibayangi-ancaman-resesi-china-harga-minyak-dunia-flat,Kompas.com - Kompas.com,Internasional
Setelah 46 Tahun China Balik ke Masa Kegelapan ,https://www.cnbcindonesia.com/market/20221017184714-20-380386/setelah-46-tahun-china-balik-ke-masa-kegelapan,CNBC Indonesia,Internasional
China Larang LNG Impor Dijual Lagi ke Eropa dan Asia ,https://www.cnnindonesia.com/ekonomi/20221017172332-85-861712/china-larang-lng-impor-dijual-lagi-ke-eropa-dan-asia,CNN Indonesia,Internasional
AS Ngambek Arab Saudi Diam,https://finance.detik.com/energi/d-6354321/as-ngambek-arab-saudi-diam-diam-makin-mesra-dengan-china,detikFinance,Internasional
China tunda rilis data ekonomi kuartal III karena ada kongres partai ,https://www.antaranews.com/berita/3185389/china-tunda-rilis-data-ekonomi-kuartal-iii-karena-ada-kongres-partai,ANTARA,Internasional
Perusahaan di Guangxi China perkuat rantai pasok industri dengan ASEAN ,https://www.antaranews.com/berita/3185493/perusahaan-di-guangxi-china-perkuat-rantai-pasok-industri-dengan-asean,ANTARA,Internasional
Media China Wawancarai Presiden Jokowi Ini Isinya ,https://dunia.tempo.co/read/1646309/media-china-wawancarai-presiden-jokowi-ini-isinya,Dunia Tempo,Internasional
Top 3 Dunia Taiwan Tolak Usulan China Drone Iran dan Badai di Filipina ,https://dunia.tempo.co/read/1646390/top-3-dunia-taiwan-tolak-usulan-china-drone-iran-dan-badai-di-filipina,Dunia Tempo,Internasional
Xi Jinping Kian Tak Tertandingi di China Ini Sebabnya  merdeka ,https://www.merdeka.com/dunia/xi-jinping-kian-tak-tertandingi-di-china-ini-sebabnya-hot-issue.html,Merdeka.com,Internasional
Bank,https://www.republika.co.id/berita/rjwu6y320/bankbank-bumn-china-dilibatkan-secara-intensif-untuk-stabilkan-yuan,Republika Online,Internasional
Kepala Intelijen Jerman Ungkap Ancaman Bermitra dengan China ,https://www.idntimes.com/news/world/pri-145/kepala-intelijen-jerman-beberkan-ancaman-bermitra-dengan-china-c1c2,IDN Times,Internasional
Ada 8 Parpol Lain di China Kenapa Hanya Partai Komunis yang Berkuasa ,https://www.cnnindonesia.com/internasional/20221014150836-113-860636/ada-8-parpol-lain-di-china-kenapa-hanya-partai-komunis-yang-berkuasa,CNN Indonesia,Internasional
Covid,https://www.cnbcindonesia.com/news/20221014095332-4-379685/covid-19-di-china-meledak-lagi-sejumlah-kota-lockdown,CNBC Indonesia,Internasional
Taiwan Ingatkan China Tak Ada Kompromi soal Kebebasan,https://news.detik.com/internasional/d-6339133/taiwan-ingatkan-china-tak-ada-kompromi-soal-kebebasan-demokrasi,detikNews,Internasional
Cegah Provokasi China Blokir Ratusan Media Sosial Jelang Kongres Partai Komunis ,https://www.pikiran-rakyat.com/internasional/amp/pr-015699103/cegah-provokasi-china-blokir-ratusan-media-sosial-jelang-kongres-partai-komunis,Pikiran-Rakyat.com - Pikiran Rakyat,Internasional
Dilema Proyek Kereta Cepat Pilih China yang Lebih Murah tapi Biayanya Malah Bengkak ,https://money.kompas.com/read/2022/10/16/110504126/dilema-proyek-kereta-cepat-pilih-china-yang-lebih-murah-tapi-biayanya-malah?page=all,Kompas.com - Kompas.com,Internasional
China berikan izin warganya berwisata ke luar negeri kecuali Taiwan ,https://sultra.antaranews.com/berita/430553/china-berikan-izin-warganya-berwisata-ke-luar-negeri-kecuali-taiwan,ANTARA Sulawesi Tenggara,Internasional
AFC China Mundur Qatar Tuan Rumah Piala Asia 2023 ,https://www.voaindonesia.com/a/afc-china-mundur-qatar-tuan-rumah-piala-asia-2023/6793631.html,Bahasa Indonesia - VOA Indonesia,Internasional
Kapal Induk Terbaru China Diklaim Pakai Tenaga Nuklir ,https://www.cnnindonesia.com/internasional/20221009150804-113-858231/kapal-induk-terbaru-china-diklaim-pakai-tenaga-nuklir,CNN Indonesia,Internasional
China Makin Digdaya Saingi AS ke Mana RI Lebih Merapat ,https://www.cnnindonesia.com/internasional/20221013114350-113-860012/china-makin-digdaya-saingi-as-ke-mana-ri-lebih-merapat,CNN Indonesia,Internasional
Emas Bergerak di Sekitar 1650 Tembaga Tertekan Ketidakpastian China Oleh Investing ,https://id.investing.com/news/commodities-news/emas-bergerak-di-sekitar-1650-tembaga-tertekan-ketidakpastian-china-2230853,Investing.com Indonesia,Internasional
Isu Kudeta China Palsu Xi Jinping Tiba,https://www.cnbcindonesia.com/news/20220929085755-4-375813/isu-kudeta-china-palsu-xi-jinping-tiba-tiba-nongol-di-sini,CNBC Indonesia,Internasional
Avanza Dkk Enggak Masuk Daftar Ini Mobil MPV yang Laris di China ,https://oto.detik.com/mobil/d-6353062/avanza-dkk-enggak-masuk-daftar-ini-mobil-mpv-yang-laris-di-china,detikOto,Internasional
Singapura Mungkin Akan Terseret Seandainya Perang antara China dan Taiwan Pecah ,https://dunia.rmol.id/read/2022/10/01/549320/singapura-mungkin-akan-terseret-seandainya-perang-antara-china-dan-taiwan-pecah,RMOL,Internasional
Pesan Tegas China ke Taiwan Tanah Air Harus Dipersatukan Kembali ,https://news.detik.com/internasional/d-6303750/pesan-tegas-china-ke-taiwan-tanah-air-harus-dipersatukan-kembali,detikNews,Internasional
Sebut China Kekuatan Besar Australia Ingin Perbaiki Hubungan dengan Beijing ,https://www.kompas.com/global/read/2022/09/23/153100070/sebut-china-kekuatan-besar-australia-ingin-perbaiki-hubungan-dengan,Kompas.com - KOMPAS.com,Internasional
Alasan Beijing Larang Agama di Partai Komunis China ,https://www.cnnindonesia.com/internasional/20221006101539-113-857000/alasan-beijing-larang-agama-di-partai-komunis-china,CNN Indonesia,Internasional
Bukan Taiwan Wilayah Ini Jadi Arena Pertarungan China  AS ,https://www.cnbcindonesia.com/news/20220920160958-4-373612/bukan-taiwan-wilayah-ini-jadi-arena-pertarungan-china-as,CNBC Indonesia,Internasional
China Dinilai Tidak Mudah Terapkan Soft Power ke Indonesia ,https://news.detik.com/berita/d-6303637/china-dinilai-tidak-mudah-terapkan-soft-power-ke-indonesia,detikNews,Internasional
China Ultimatum Dunia Soal Taiwan ,https://www.republika.co.id/berita/rirce2383/china-ultimatum-dunia-soal-taiwan,Republika Online,Internasional
Ramai,https://www.cnbcindonesia.com/news/20220919134843-4-373219/ramai-ramai-anak-muda-china-kini-berhemat-ada-kiamat-apa,CNBC Indonesia,Internasional
Jangan Kaget Ada Kiamat Baru Hantam China ,https://www.cnbcindonesia.com/news/20220920063625-4-373400/jangan-kaget-ada-kiamat-baru-hantam-china,CNBC Indonesia,Internasional
Awas AS,https://www.cnbcindonesia.com/news/20220919071431-4-373082/awas-as-china-panas-lagi-biden-warning-xi-jinping,CNBC Indonesia,Internasional
China Longgarkan Pintu Masuk Negara Pandemi Berakhir ,https://www.cnbcindonesia.com/news/20220920135050-4-373571/china-longgarkan-pintu-masuk-negara-pandemi-berakhir,CNBC Indonesia,Internasional
Tiba,https://www.cnbcindonesia.com/news/20220921085939-4-373757/tiba-tiba-bisnis-eropa-warning-china-ada-apa,CNBC Indonesia,Internasional
China AS Langgar Komitmen untuk tidak Dukung Kemerdekaan Taiwan ,https://www.republika.co.id/berita/rigczp335/china-as-langgar-komitmen-untuk-tidak-dukung-kemerdekaan-taiwan,Republika Online,Internasional
