title,link,source,topic
Apa yang Terjadi jika AS dan Arab Saudi Putus Hubungan ,https://www.cnnindonesia.com/internasional/20221018095941-120-861969/apa-yang-terjadi-jika-as-dan-arab-saudi-putus-hubungan,CNN Indonesia,Internasional
Pangeran Arab Saudi Bikin Heboh Ancam Amerika dengan Jihad dan Syahid ,https://dunia.tempo.co/read/1646272/pangeran-arab-saudi-bikin-heboh-ancam-amerika-dengan-jihad-dan-syahid,Dunia Tempo,Internasional
Panas Dingin AS,https://finance.detik.com/energi/d-6353870/panas-dingin-as-arab-saudi-gara-gara-urusan-minyak,detikFinance,Internasional
Amazon Buka Kantor di Arab Saudi ,https://dunia.tempo.co/read/1646526/amazon-buka-kantor-di-arab-saudi,Dunia Tempo,Internasional
Waspada Ada Perang Baru Libatkan AS  Arab Saudi Minyak ,https://www.cnbcindonesia.com/news/20221007131342-4-378026/waspada-ada-perang-baru-libatkan-as-arab-saudi-minyak,CNBC Indonesia,Internasional
Untung Rugi Cekcok AS,https://finance.detik.com/energi/d-6353216/untung-rugi-cekcok-as-arab-gegara-minyak-buat-ri,detikFinance,Internasional
Saudi Dukung Stabilitas dan Keseimbangan Pasar Minyak Global ,https://www.republika.co.id/berita/rjvrwu370/saudi-dukung-stabilitas-dan-keseimbangan-pasar-minyak-global,Republika Online,Internasional
Arab Saudi Kaget Dituding Bela Rusia ,https://m.liputan6.com/global/read/5099809/arab-saudi-kaget-dituding-bela-rusia,Liputan6.com,Internasional
Zelensky Girang Saudi Akan Bantu Ukraina Rp61 Triliun ,https://www.cnnindonesia.com/internasional/20221017135912-134-861580/zelensky-girang-saudi-akan-bantu-ukraina-rp61-triliun,CNN Indonesia,Internasional
AS,https://lenteratoday.com/as-arab-saudi-tarung-soal-minyak-ri-bisa-mati-di-tengah-koran-selasa-18-10-2022/,Lenteratoday.com,Internasional
Jenazah WNI di Texas Novita Kurnia Putri Dipulangkan Pekan Ini ,https://dunia.tempo.co/read/1646104/jenazah-wni-di-texas-novita-kurnia-putri-dipulangkan-pekan-ini,Dunia Tempo,Internasional
Kanye West Bikin Keluarga George Floyd Marah ,https://dunia.tempo.co/read/1646378/kanye-west-bikin-keluarga-george-floyd-marah,Dunia Tempo,Internasional
Arab Saudi Kecewa Nyesel Percaya Amerika Serikat Ada Apa ,https://www.cnbcindonesia.com/news/20220505133722-4-336850/arab-saudi-kecewa-nyesel-percaya-amerika-serikat-ada-apa,CNBC Indonesia,Internasional
Harga Minyak Stabil di Tengah Prediksi Inflasi Tinggi dan Resesi ,https://investasi.kontan.co.id/news/harga-minyak-stabil-di-tengah-prediksi-inflasi-tinggi-dan-resesi,Investasi Kontan,Internasional
Pakistan Murka Disebut Biden Negara Paling Berbahaya di Dunia ,https://dunia.tempo.co/read/1645804/pakistan-murka-disebut-biden-negara-paling-berbahaya-di-dunia,Dunia Tempo,Internasional
199 Jasad Disimpan di Fasilitas Krionik Arizona Menunggu Waktu Dihidupkan Kembali ,https://dunia.tempo.co/read/1646253/199-jasad-disimpan-di-fasilitas-krionik-arizona-menunggu-waktu-dihidupkan-kembali,Dunia Tempo,Internasional
Arab Saudi Ngaku Nyesel Percaya Amerika Serikat Ada Apa ,https://www.cnbcindonesia.com/news/20220512103148-4-338400/arab-saudi-ngaku-nyesel-percaya-amerika-serikat-ada-apa,CNBC Indonesia,Internasional
Apa yang Terjadi Jika Raja Salman Meninggal Ini Jawabnya ,https://www.cnbcindonesia.com/news/20221006112159-4-377670/apa-yang-terjadi-jika-raja-salman-meninggal-ini-jawabnya,CNBC Indonesia,Internasional
AS,https://www.cnnindonesia.com/internasional/20220716005428-120-822272/as-saudi-selalu-mesra-walau-suka-berantem-bagaimana-sejarahnya,CNN Indonesia,Internasional
Indonesia ,https://bisnis.tempo.co/read/1640490/indonesia-arab-saudi-sepakati-4-penerbangan-umroh-dari-bandara-kertajati,Arab Saudi Sepakati 4 Penerbangan Umroh dari Bandara Kertajati - Bisnis Tempo.co,Internasional
Mike Pompeo Kasih Saran Amerika soal Cina ,https://dunia.tempo.co/read/1639125/mike-pompeo-kasih-saran-amerika-soal-cina,Dunia Tempo,Internasional
Raja dan Putra Mahkota Saudi Tak Hadiri Pemakaman Ratu Elizabeth ,https://dunia.tempo.co/read/1636143/raja-dan-putra-mahkota-saudi-tak-hadiri-pemakaman-ratu-elizabeth,Dunia Tempo,Internasional
Taiwan Tolak Gagasan Satu Negara Dua Sistem seperti di Hong Kong ,https://dunia.tempo.co/read/1645994/taiwan-tolak-gagasan-satu-negara-dua-sistem-seperti-di-hong-kong,Dunia Tempo,Internasional
Raja Salman Segera Lengser MBS Resmi Jadi PM Baru Arab Saudi ,https://www.cnbcindonesia.com/news/20220928071749-4-375488/raja-salman-segera-lengser-mbs-resmi-jadi-pm-baru-arab-saudi,CNBC Indonesia,Internasional
Transformasi Digital bagi UMKM  BALIPOST ,https://www.balipost.com/news/2022/10/18/298824/Transformasi-Digital-bagi-UMKM.html,BALIPOST.com,Internasional
Arab Saudi akan Kirim Astronot Perempuan Pertama ke Luar Angkasa  merdeka ,https://www.merdeka.com/dunia/arab-saudi-umumkan-astronot-perempuan-pertama-yang-akan-dikirim-ke-luar-angkasa.html,Merdeka.com,Internasional
Juara 2 MHQ di Arab Saudi Hafiz 13 Tahun dari Langkat Raih Rp 700 Juta ,https://tekno.tempo.co/read/1638466/juara-2-mhq-di-arab-saudi-hafiz-13-tahun-dari-langkat-raih-rp-700-juta,Tekno Tempo,Internasional
Rayakan Hari Nasional Arab Saudi di Kuba Dubes Al Falah Puji Hubungan Dua Negara ,https://dunia.rmol.id/read/2022/09/26/548720/rayakan-hari-nasional-arab-saudi-di-kuba-dubes-al-falah-puji-hubungan-dua-negara,RMOL,Internasional
Joe Biden Presiden AS Agendakan Kunjungan ke Arab Saudi untuk Merajut Hubungan Bilateral ,https://www.suarasurabaya.net/kelanakota/2022/joe-biden-presiden-as-agendakan-kunjungan-ke-arab-saudi-untuk-merajut-hubungan-bilateral/,Suara Surabaya,Internasional
Kerja Sama Indonesia dengan Arab Saudi untuk Melawan Terorisme ,https://www.kompasiana.com/natasya8555/633aca4e4d498a1fa73b2622/kerjasama-indonesia-dengan-arab-saudi-untuk-melawan-terorisme,Kompasiana.com - Kompasiana.com,Internasional
Biden Akan Ubah Hubungan AS dengan Arab Saudi ,https://www.cnnindonesia.com/internasional/20210217125314-134-607330/biden-akan-ubah-hubungan-as-dengan-arab-saudi,CNN Indonesia,Internasional
Xi Jinping Mau ke Arab Nikung AS Nih ,https://www.cnbcindonesia.com/news/20220814133050-4-363584/xi-jinping-mau-ke-arab-nikung-as-nih,CNBC Indonesia,Internasional
10 Warga Asing Termasuk dari AS Inggris Dibebaskan oleh Rusia ,https://www.medcom.id/internasional/eropa-amerika/aNrxv11k-10-warga-asing-termasuk-dari-as-inggris-dibebaskan-oleh-rusia,Medcom.Id,Internasional
Saling Ancam Hubungan Arab  AS Kian Memanas ,https://www.cnbcindonesia.com/news/20200504190239-4-156184/saling-ancam-hubungan-arab-as-kian-memanas,CNBC Indonesia,Internasional
Ukraina Klaim Tembak 4 Drone Iran Zelensky Turunkan Hubungan Diplomatik dengan Teheran ,https://dunia.tempo.co/read/1637847/ukraina-klaim-tembak-4-drone-iran-zelensky-turunkan-hubungan-diplomatik-dengan-teheran,Dunia Tempo,Internasional
Biden Bakal Kunjungi Arab Saudi Apa Agendanya ,https://ekonomi.bisnis.com/read/20220612/620/1542612/biden-bakal-kunjungi-arab-saudi-apa-agendanya,Bisnis.com,Internasional
Awas Lampu Merah Hubungan Arab Saudi  AS Ini Alasannya ,https://www.cnbcindonesia.com/news/20210218120400-4-224271/awas-lampu-merah-hubungan-arab-saudi-as-ini-alasannya,CNBC Indonesia,Internasional
Perbaiki Hubungan Biden dan Pangeran Arab Saudi Berencana Akan Bertemu Akhir Bulan Ini ,https://news.okezone.com/read/2022/06/03/18/2605054/perbaiki-hubungan-biden-dan-pangeran-arab-saudi-berencana-akan-bertemu-akhir-bulan-ini,Okezone,Internasional
Pemimpin Arab Saudi dan UEA Tolak Panggilan Telepon dari Joe Biden ,https://www.republika.co.id/berita/r8izav320/pemimpin-arab-saudi-dan-uea-tolak-panggilan-telepon-dari-joe-biden,Republika Online,Internasional
AS Kirim Rudal Patriot dalam Jumlah Besar ke Arab Saudi Bujuk Soal Minyak ,https://international.sindonews.com/read/720927/42/as-kirim-rudal-patriot-dalam-jumlah-besar-ke-arab-saudi-bujuk-soal-minyak-1647993816,SINDOnews Internasional,Internasional
Laporan Hubungan Arab Saudi,https://www.pikiran-rakyat.com/internasional/pr-014304538/laporan-hubungan-arab-saudi-as-semakin-renggang-sejak-invasi-rusia-ke-ukraina-diminta-banyak-produksi-minyak,Pikiran-Rakyat.com - Pikiran Rakyat,Internasional
Lima faktor mengapa Amerika Serikat dan Barat takut dengan Arab Saudi ,https://www.bbc.com/indonesia/dunia-45868909,BBC News Indonesia,Internasional
Perang Minggir Dulu Arab Saudi Sebut Israel Sekutu Potensial ,https://www.cnbcindonesia.com/news/20220304061829-4-319877/perang-minggir-dulu-arab-saudi-sebut-israel-sekutu-potensial,CNBC Indonesia,Internasional
Israel Bidik Normalisasi Hubungan dengan Arab Saudi ,https://www.republika.co.id/berita/rcowcc370/israel-bidik-normalisasi-hubungan-dengan-arab-saudi,Republika Online,Internasional
