title,link,source,topic
Sekjen PBB serukan tindakan global mendesak untuk entaskan kemiskinan ,https://www.antaranews.com/berita/3185421/sekjen-pbb-serukan-tindakan-global-mendesak-untuk-entaskan-kemiskinan,ANTARA,Internasional
Tiga personel penjaga perdamaian PBB tewas di Mali ,https://www.antaranews.com/berita/3185449/tiga-personel-penjaga-perdamaian-pbb-tewas-di-mali,ANTARA,Internasional
Kemenlu AS Pasokan drone Iran ke Rusia melanggar resolusi PBB ,https://makassar.antaranews.com/berita/434489/kemenlu-as-pasokan-drone-iran-ke-rusia-melanggar-resolusi-pbb,ANTARA Sulawesi Utara,Internasional
Pakar PBB Agar Tidak Miskin Upah Harus Naik Seiring Inflasi ,https://www.cnbcindonesia.com/news/20221017163633-4-380348/pakar-pbb-agar-tidak-miskin-upah-harus-naik-seiring-inflasi,CNBC Indonesia,Internasional
KPU Nyatakan Kepengurusan DPC PBB Kota Kediri Memenuhi Syarat ,https://jatimhariini.co.id/2022/10/18/kpu-nyatakan-kepengurusan-dpc-pbb-kota-kediri-memenuhi/,Jatim Hari Ini,Internasional
Tegang Ormas PBB Paksa Masuk PN Jaksel untuk Pantau Sidang Sambo ,https://news.detik.com/berita/d-6352217/tegang-ormas-pbb-paksa-masuk-pn-jaksel-untuk-pantau-sidang-sambo,detikNews,Internasional
PBB Kekerasan Seksual Jadi Siasat Militer Rusia di Ukraina ,https://www.cnnindonesia.com/internasional/20221017073249-134-861356/pbb-kekerasan-seksual-jadi-siasat-militer-rusia-di-ukraina,CNN Indonesia,Internasional
Bapenda Kota Semarang Gelar Pengundian Hadiah Wajib Pajak PBB 2022 ,https://semarangkota.go.id/p/4003/bapenda_kota_semarang_gelar_pengundian_hadiah_wajib_pajak_pbb_2022,Pemerintah Kota Semarang,Internasional
Sekjen PBB sampaikan dukacita kepada korban ledakan tambang di Turki ,https://www.antaranews.com/berita/3182673/sekjen-pbb-sampaikan-dukacita-kepada-korban-ledakan-tambang-di-turki,ANTARA,Internasional
Termasuk RI 143 Negara PBB Kutuk Rusia Caplok 4 Wilayah Ukraina ,https://news.detik.com/internasional/d-6345089/termasuk-ri-143-negara-pbb-kutuk-rusia-caplok-4-wilayah-ukraina,detikNews,Internasional
