title,link,source,topic
Putin Menggila Rusia Bombardir Kyiv Ukraina Gelap Gulita ,https://www.cnbcindonesia.com/news/20221018062937-4-380440/putin-menggila-rusia-bombardir-kyiv-ukraina-gelap-gulita,CNBC Indonesia,Internasional
Rudal Rusia Mengamuk Fasilitas Militer hingga Sistem Energi Ukraina Jadi Korban ,https://kabar24.bisnis.com/read/20221018/19/1588560/rudal-rusia-mengamuk-fasilitas-militer-hingga-sistem-energi-ukraina-jadi-korban,Bisnis.com,Internasional
Rusia,https://www.cnnindonesia.com/internasional/20221018045511-134-861859/rusia-belarus-gelar-simulasi-perang-siap-siap-serang-ukraina,CNN Indonesia,Internasional
Pejabat PBB Rusia Berikan Viagra ke Tentara untuk Perkosa Wanita dan Pria Ukraina ,https://www.kompas.com/global/read/2022/10/16/163000270/pejabat-pbb--rusia-berikan-viagra-ke-tentara-untuk-perkosa-wanita-dan,Kompas.com - KOMPAS.com,Internasional
Elon Musk Sebut Rusia Dapat Gunakan Nuklir untuk Pertahankan Crimea Waswas Perang Dunia III ,https://international.sindonews.com/read/915513/42/elon-musk-sebut-rusia-dapat-gunakan-nuklir-untuk-pertahankan-crimea-waswas-perang-dunia-iii-1666051802,SINDOnews Internasional,Internasional
Perang Nuklir Rusia,https://www.cnbcindonesia.com/news/20221017201930-4-380411/perang-nuklir-rusia-nato-kian-dekat-ini-kata-warren-buffett,CNBC Indonesia,Internasional
Rusia Ingatkan Israel Jangan Coba,https://news.detik.com/internasional/d-6353273/rusia-ingatkan-israel-jangan-coba-coba-kirim-senjata-ke-ukraina,detikNews,Internasional
Kisruh AS Vs Arab Saudi Kian Panas Rusia Bisa Diuntungkan ,https://www.cnbcindonesia.com/news/20221017193537-4-380403/kisruh-as-vs-arab-saudi-kian-panas-rusia-bisa-diuntungkan,CNBC Indonesia,Internasional
Ngeri Sukhoi Tabrak Apartemen di Rusia 6 Tewas ,https://www.cnbcindonesia.com/news/20221018083152-4-380469/ngeri-sukhoi-tabrak-apartemen-di-rusia-6-tewas,CNBC Indonesia,Internasional
Warga Rusia yang Kabur dari Wajib Militer dengan Perahu ke Korea Selatan Ditolak Masuk ,https://www.kompas.com/global/read/2022/10/17/150200470/warga-rusia-yang-kabur-dari-wajib-militer-dengan-perahu-ke-korea-selatan,Kompas.com - KOMPAS.com,Internasional
Awas PD 3 Rusia  NATO Mulai Unjuk Gigi Kekuatan Nuklir ,https://www.cnbcindonesia.com/news/20221017185445-4-380389/awas-pd-3-rusia-nato-mulai-unjuk-gigi-kekuatan-nuklir,CNBC Indonesia,Internasional
3 Negara Sahabat Rusia di Asia Tenggara Semua Tidak Mau Berikan Sanksi ,https://international.sindonews.com/read/915419/40/3-negara-sahabat-rusia-di-asia-tenggara-semua-tidak-mau-berikan-sanksi-1666030211,SINDOnews Internasional,Internasional
Ukraina Pasukan Chechen Pro,https://www.cnnindonesia.com/internasional/20221017094715-134-861424/ukraina-pasukan-chechen-pro-rusia-kuasai-pusat-nuklir-zaporizhzhia,CNN Indonesia,Internasional
Heboh Drone Rusia Misteri UFO di Langit Ukraina Terbongkar ,https://www.cnbcindonesia.com/tech/20221017151239-37-380310/heboh-drone-rusia-misteri-ufo-di-langit-ukraina-terbongkar,CNBC Indonesia,Internasional
Rusia dan Ukraina Kembali Lakukan Pertukaran Tahanan Kepala Donesk 220 Orang akan Dibebaskan ,https://dunia.rmol.id/read/2022/10/18/551177/rusia-dan-ukraina-kembali-lakukan-pertukaran-tahanan-kepala-donesk-220-orang-akan-dibebaskan,RMOL,Internasional
UPDATE Perang Rusia,https://www.tribunnews.com/internasional/2022/10/18/update-perang-rusia-ukraina-hari-ke-237-putin-tingkatkan-serangan-di-seluruh-ukraina,Tribunnews.com,Internasional
Tolak Pimpin Konser Rusia Konduktor Ukraina Ditembak Mati ,https://dunia.tempo.co/read/1646497/tolak-pimpin-konser-rusia-konduktor-ukraina-ditembak-mati,Dunia Tempo,Internasional
