title,link,source,topic
Taiwan tolak reunifikasi ,https://jogja.antaranews.com/berita/581933/taiwan-tolak-reunifikasi,ANTARA Jogja,Internasional
Top 3 Dunia Taiwan Tolak Usulan China Drone Iran dan Badai di Filipina ,https://dunia.tempo.co/read/1646390/top-3-dunia-taiwan-tolak-usulan-china-drone-iran-dan-badai-di-filipina,Dunia Tempo,Internasional
Alasan Kenapa Taiwan Tidak dianggap Sebagai Negara Ini Faktanya ,https://edukasi.okezone.com/read/2022/10/18/624/2689254/alasan-kenapa-taiwan-tidak-dianggap-sebagai-negara-ini-faktanya,Edukasi Okezone,Internasional
Semakin banyak warga Taiwan tidak merasa sebagai orang China ,https://www.bbc.com/indonesia/majalah-63197436,BBC News Indonesia,Internasional
Taiwan Siap Kerja Sama Berantas Sindikat Kriminal Global ,https://www.idntimes.com/news/world/andi-ir/taiwan-siap-bekerja-sama-berantas-sindikat-kriminal-internasional-c1c2,IDN Times,Internasional
Sedang Panas China,https://www.cnnindonesia.com/internasional/20220930170035-113-854850/sedang-panas-china-taiwan-ternyata-bisa-akur-demi-seekor-panda,CNN Indonesia,Internasional
Pesan Tegas China ke Taiwan Tanah Air Harus Dipersatukan Kembali ,https://news.detik.com/internasional/d-6303750/pesan-tegas-china-ke-taiwan-tanah-air-harus-dipersatukan-kembali,detikNews,Internasional
KDEI Taipei Kembali Gelar Pelatihan Memasak untuk PMI di Taiwan Menu Ayam Cipai dan Touhwa ,https://jateng.tribunnews.com/2022/10/17/kdei-taipei-kembali-gelar-pelatihan-memasak-untuk-pmi-di-taiwan-menu-ayam-cipai-dan-touhwa,Tribun Jateng,Internasional
China Dipastikan akan Menyerang Taiwan Jika Tanda,https://dunia.rmol.id/read/2022/10/05/549797/china-dipastikan-akan-menyerang-taiwan-jika-tanda-tanda-ini-sudah-muncul,RMOL,Internasional
China AS Langgar Komitmen untuk tidak Dukung Kemerdekaan Taiwan ,https://www.republika.co.id/berita/rigczp335/china-as-langgar-komitmen-untuk-tidak-dukung-kemerdekaan-taiwan,Republika Online,Internasional
Taiwan Luncurkan Kapal Perang Buatan Dalam Negeri ,https://www.republika.co.id/berita/rj0dt5335/taiwan-luncurkan-kapal-perang-buatan-dalam-negeri,Republika Online,Internasional
Taiwan Berencana Longgarkan Aturan Karantina Mulai Oktober 2022 ,https://travel.kompas.com/read/2022/09/19/143100927/taiwan-berencana-longgarkan-aturan-karantina-mulai-oktober-2022?page=all,Kompas.com - Kompas.com,Internasional
20 Stasiun Metro Tersibuk di Taiwan Sediakan Pembalut Gratis untuk Publik ,https://news.okezone.com/read/2022/10/17/18/2688371/20-stasiun-metro-tersibuk-di-taiwan-sediakan-pembalut-gratis-untuk-publik,Okezone,Internasional
