title,link,source,topic
Putin Menggila Rusia Bombardir Kyiv Ukraina Gelap Gulita ,https://www.cnbcindonesia.com/news/20221018062937-4-380440/putin-menggila-rusia-bombardir-kyiv-ukraina-gelap-gulita,CNBC Indonesia,Internasional
Rudal Rusia Mengamuk Fasilitas Militer hingga Sistem Energi Ukraina Jadi Korban ,https://kabar24.bisnis.com/read/20221018/19/1588560/rudal-rusia-mengamuk-fasilitas-militer-hingga-sistem-energi-ukraina-jadi-korban,Bisnis.com,Internasional
Vietnam Lewat Segini Jumlah Korban di Perang Ukraina ,https://www.cnbcindonesia.com/news/20221017133251-4-380270/vietnam-lewat-segini-jumlah-korban-di-perang-ukraina,CNBC Indonesia,Internasional
Israel Didesak Memihak Ukraina dan Kirim Senjata Ini Respons Rusia ,https://international.sindonews.com/read/915541/41/israel-didesak-memihak-ukraina-dan-kirim-senjata-ini-respons-rusia-1666055438,SINDOnews Internasional,Internasional
Rusia,https://www.cnnindonesia.com/internasional/20221018045511-134-861859/rusia-belarus-gelar-simulasi-perang-siap-siap-serang-ukraina,CNN Indonesia,Internasional
Heboh Drone Rusia Misteri UFO di Langit Ukraina Terbongkar ,https://www.cnbcindonesia.com/tech/20221017151239-37-380310/heboh-drone-rusia-misteri-ufo-di-langit-ukraina-terbongkar,CNBC Indonesia,Internasional
PBB Kekerasan Seksual Jadi Siasat Militer Rusia di Ukraina ,https://www.cnnindonesia.com/internasional/20221017073249-134-861356/pbb-kekerasan-seksual-jadi-siasat-militer-rusia-di-ukraina,CNN Indonesia,Internasional
Elon Musk Sebut Starlink Tak Butuh Bantuan Dana Pentagon di Ukraina ,https://www.cnnindonesia.com/teknologi/20221018063403-192-861872/elon-musk-sebut-starlink-tak-butuh-bantuan-dana-pentagon-di-ukraina,CNN Indonesia,Internasional
UPDATE Perang Rusia,https://www.tribunnews.com/internasional/2022/10/18/update-perang-rusia-ukraina-hari-ke-237-putin-tingkatkan-serangan-di-seluruh-ukraina,Tribunnews.com,Internasional
Rusia Ukraina Bertukar Tawanan Termasuk 108 Perempuan ,https://dunia.tempo.co/read/1646490/rusia-ukraina-bertukar-tawanan-termasuk-108-perempuan,Dunia Tempo,Internasional
Ukraina Pasukan Chechen Pro,https://www.cnnindonesia.com/internasional/20221017094715-134-861424/ukraina-pasukan-chechen-pro-rusia-kuasai-pusat-nuklir-zaporizhzhia,CNN Indonesia,Internasional
Fakta Kota Lyman Tempat Tentara Rusia Dipermalukan Ukraina ,https://international.sindonews.com/read/914805/45/fakta-kota-lyman-tempat-tentara-rusia-dipermalukan-ukraina-1665990641,SINDOnews Internasional,Internasional
Kelonggaran Jerman untuk Pengungsi Ukraina Mulai Dikritik ,https://dunia.tempo.co/read/1646304/kelonggaran-jerman-untuk-pengungsi-ukraina-mulai-dikritik,Dunia Tempo,Internasional
Momen Polisi Ukraina Coba Tembak Jatuh Drone Kamikaze di Kiev ,https://news.detik.com/detiktv/d-6354141/momen-polisi-ukraina-coba-tembak-jatuh-drone-kamikaze-di-kiev,detikNews,Internasional
Jet Sukhoi Rusia Malafungsi dan Jatuh di Perumahan Dekat Ukraina ,https://www.kompas.com/global/read/2022/10/18/070200970/jet-sukhoi-rusia-malafungsi-dan-jatuh-di-perumahan-dekat-ukraina,Kompas.com - KOMPAS.com,Internasional
Tolak Pimpin Konser Rusia Konduktor Ukraina Ditembak Mati ,https://dunia.tempo.co/read/1646497/tolak-pimpin-konser-rusia-konduktor-ukraina-ditembak-mati,Dunia Tempo,Internasional
Telepon Zelensky Sheikh Mohamed Tegaskan Dukungan Bantuan UEA untuk Ukraina ,https://dunia.rmol.id/read/2022/10/18/551178/telepon-zelensky-sheikh-mohamed-tegaskan-dukungan-bantuan-uea-untuk-ukraina,RMOL,Internasional
Prancis Bakal Latih 2 Ribu Tentara Ukraina untuk Lawan Rusia ,https://riaupos.jawapos.com/olahraga/18/10/2022/285197/prancis-bakal-latih-2-ribu-tentara-ukraina-untuk-lawan-rusia.html,RiauPos,Internasional
