title,link,source,topic
Kartu Tak Dipakai Gimana Nasib Dana BPJS Kesehatan ,https://www.cnbcindonesia.com/mymoney/20221017170327-72-380354/kartu-tak-dipakai-gimana-nasib-dana-bpjs-kesehatan,CNBC Indonesia,Kesehatan
Pemkab Kebumen Tanggung Biaya BPJS Kesehatan Bagi 35 Ribu Warganya ,https://www.kebumenkab.go.id/index.php/web/news_detail/2/7030,Website Resmi Pemerintah Kabupaten Kebumen - Pemkab Kebumen,Kesehatan
Cara Daftar BPJS Kesehatan Online Pakai Aplikasi Mobile JKN ,https://katadata.co.id/intan/berita/634dde0f286d0/cara-daftar-bpjs-kesehatan-online-pakai-aplikasi-mobile-jkn,Katadata.co.id,Kesehatan
BPJS Kesehatan tanggung biaya rawat inap peserta JKN ,https://mataram.antaranews.com/berita/226205/bpjs-kesehatan-tanggung-biaya-rawat-inap-peserta-jkn,ANTARA Nusa Tenggara Barat,Kesehatan
Begini Cara Menonaktifkan Peserta BPJS yang Sudah Meninggal secara Online dan Offline ,https://batam.tribunnews.com/2022/10/18/begini-cara-menonaktifkan-peserta-bpjs-yang-sudah-meninggal-secara-online-dan-offline,Tribun Batam,Kesehatan
BPJS Kesehatan pertimbangkan rawat pasien lukai diri sendiri ,https://www.antaranews.com/berita/3184869/bpjs-kesehatan-pertimbangkan-rawat-pasien-lukai-diri-sendiri,ANTARA,Kesehatan
Ini 19 Jenis Operasi yang Ditanggung BPJS Kesehatan ,https://lifestyle.bisnis.com/read/20221018/106/1588605/ini-19-jenis-operasi-yang-ditanggung-bpjs-kesehatan,Bisnis.com,Kesehatan
Kartu BPJS Kesehatan Tak Dipakai Dananya Bisa Dicairkan ,https://www.cnbcindonesia.com/news/20221010152628-4-378557/kartu-bpjs-kesehatan-tak-dipakai-dananya-bisa-dicairkan,CNBC Indonesia,Kesehatan
Cara Mendaftar BPJS Kesehatan PBI yang Iurannya Dibayarkan Pemerintah ,https://economy.okezone.com/read/2022/10/18/320/2689271/cara-mendaftar-bpjs-kesehatan-pbi-yang-iurannya-dibayarkan-pemerintah?page=1,Okezone Economy,Kesehatan
Cegah Risiko Sakit Jantung Begini Imbauan Bos BPJS Kesehatan ,https://www.cnbcindonesia.com/news/20221017005440-4-380128/cegah-risiko-sakit-jantung-begini-imbauan-bos-bpjs-kesehatan,CNBC Indonesia,Kesehatan
