title,link,source,topic
Mengenal Cacar Monyet dan Nasib Kesehatan Indonesia ke Depan ,https://www.kompasiana.com/damarsitompul/634cb070a65da871e0512d82/mengenal-cacar-monyet-dan-nasib-kesehatan-indonesia-kedepan,Kompasiana.com - Kompasiana.com,Kesehatan
Apa Gejala Cacar Monyet Kenali Tahapan Gejalanya ,https://ciputrahospital.com/apa-gejala-cacar-monyet-kenali-fasenya/,Ciputra Hospital,Kesehatan
Cara Mencegah Penyakit Cacar Monyet ,https://www.republika.co.id/berita/rik9fo430/cara-mencegah-penyakit-cacar-monyet,Republika Online,Kesehatan
Karantina Entikong perketat pengawasan antisipasi cacar monyet di PLBN RI,https://kalbar.antaranews.com/berita/525585/karantina-entikong-perketat-pengawasan-antisipasi-cacar-monyet-di-plbn-ri-malaysia,ANTARA Kalimantan Barat,Kesehatan
WHO Ada 70 Ribu Kasus Cacar Monyet di Dunia ,https://international.sindonews.com/read/912083/41/who-ada-70-ribu-kasus-cacar-monyet-di-dunia-1665691822,SINDOnews Internasional,Kesehatan
Satu Orang Warga Tanjungpinang Suspect Cacar Monyet ,https://www.hariankepri.com/satu-orang-warga-tanjungpinang-suspect-cacar-monyet/,Harian Kepri,Kesehatan
AS Melaporkan Hampir 24000 Kasus Cacar Monyet ,https://www.suarasurabaya.net/kelanakota/2022/as-melaporkan-hampir-24-000-kasus-cacar-monyet/,Suara Surabaya,Kesehatan
VIDEO Cacar Monyet Bisa Berujung Amputasi ,https://www.cnnindonesia.com/gaya-hidup/20220930110309-259-854600/video-cacar-monyet-bisa-berujung-amputasi,CNN Indonesia,Kesehatan
Kasihan Anabul Cacar Monyet Juga Bisa Menular ke Hewan ,https://www.cnnindonesia.com/gaya-hidup/20220830135118-255-840858/kasihan-anabul-cacar-monyet-juga-bisa-menular-ke-hewan,CNN Indonesia,Kesehatan
CEK FAKTA Salah Cacar Monyet karena Efek Vaksin ,https://www.timesindonesia.co.id/read/news/429748/cek-fakta-salah-cacar-monyet-karena-efek-vaksin,TIMES Indonesia,Kesehatan
Cegah Penyebaran Cacar Monyet Pejabat China Jangan Sentuh Orang Asing ,https://international.sindonews.com/read/889773/40/cegah-penyebaran-cacar-monyet-pejabat-china-jangan-sentuh-orang-asing-1663610966,SINDOnews Internasional,Kesehatan
Skrining COVID,https://www.viva.co.id/gaya-hidup/kesehatan-intim/1525871-skrining-covid-19-hingga-cacar-monyet-kemenkes-terima-bantuan-ini,VIVA - VIVA.co.id,Kesehatan
Cacar Monyet  Kenali dan Cegah Bersama ,"https://semarangkota.go.id/p/3592/Cacar_Monyet_,_Kenali_dan_Cegah_Bersama_",Pemerintah Kota Semarang,Kesehatan
Kementerian Kesehatan RI Umumkan MonkeypoxCacar monyet Telah terkonfirmasi di Indonesia  Dinas Kesehatan Provinsi Kalimantan Barat ,https://dinkes.kalbarprov.go.id/kementerian-kesehatan-ri-umumkan-monkeypox-cacar-monyet-telah-terkonfirmasi-di-indonesia/,Dinas Kesehatan Provinsi Kalimantan Barat,Kesehatan
Tolong Baru Ditinggal Ayah Lima Anak Yatim di Medan Diduga Terpapar Cacar Monyet ,https://www.indozone.id/health/ersj83L/tolong-baru-ditinggal-ayah-lima-anak-yatim-di-medan-diduga-terpapar-cacar-monyet,Indozone.id,Kesehatan
