title,link,source,topic
Remaja dan Kesehatan Mental ,https://www.kompasiana.com/devindaintanrahmadhani2547/634e2d01a1987563af073b73/remaja-dan-kesehatan-mental,Kompasiana.com - Kompasiana.com,Kesehatan
Pentingnya Mental HealthKesehatan Mental ,https://www.kompasiana.com/widyastutimajidah9562/634d64134addee42b00e10a2/pentingnya-mental-health-kesehatan-mental,Kompasiana.com - Kompasiana.com,Kesehatan
Mengenal Kesehatan Mental dan Hubungannya dengan Agama ,https://www.fimela.com/health/read/5098386/mengenal-kesehatan-mental-dan-hubungannya-dengan-agama,Fimela.com,Kesehatan
Bicarakan Kesehatan Mental Dianggap Tabu Penyebab Gangguan Jiwa Sering Dikaitkan dengan Mistis ,https://www.suara.com/health/2022/10/17/210313/bicarakan-kesehatan-mental-dianggap-tabu-penyebab-gangguan-jiwa-sering-dikaitkan-dengan-mistis,Suara.com,Kesehatan
Hari Kesehatan Mental Sedunia Jaga Mental Seperti Jaga Fisik ,https://www.cnnindonesia.com/gaya-hidup/20221010100946-255-858428/hari-kesehatan-mental-sedunia-jaga-mental-seperti-jaga-fisik,CNN Indonesia,Kesehatan
Menjalani Rutinitas sebagai Langkah Menjaga Kesehatan Mental ,https://swa.co.id/swa/my-article/menjalani-rutinitas-sebagai-langkah-menjaga-kesehatan-mental%EF%BF%BC,Swa,Kesehatan
Famestory Amel Carla Pentingnya Menjaga Kesehatan Mental ,https://www.fimela.com/entertainment/read/5100084/famestory-amel-carla-pentingnya-menjaga-kesehatan-mental,Fimela.com,Kesehatan
Mengenal Glimmers dan Manfaatnya bagi Kesehatan Mental Bantu Atasi Trigger  merdeka ,https://www.merdeka.com/jateng/mengenal-glimmers-dan-manfaatnya-bagi-kesehatan-mental-bantu-atasi-trigger-kln.html,Merdeka.com,Kesehatan
KESEHATAN MENTAL MASYARAKAT INDONESIA PENGETAHUANDAN KETERBUKAAN MASYARAKAT TERHADAP GANGGUANKESEHATANMENTAL ,https://www.kompasiana.com/junidwi4317/634d62831140712003399613/kesehatan-mental-masyarakat-indonesia-pengetahuan-dan-keterbukaan-masyarakat-terhadap-gangguankesehatanmental,Kompasiana.com - Kompasiana.com,Kesehatan
Dengar Musik sampai Berpetualang Cara Asik Jaga Kesehatan Mental ,https://gaya.tempo.co/read/1646360/dengar-musik-sampai-berpetualang-cara-asik-jaga-kesehatan-mental,Gaya Tempo.co,Kesehatan
WHO 60 Penduduk Dunia Bekerja dan Semua Berhak Punya Lingkungan Kerja Sehat ,https://www.liputan6.com/bisnis/read/5093201/who-60-penduduk-dunia-bekerja-dan-semua-berhak-punya-lingkungan-kerja-sehat,Liputan6.com,Kesehatan
Kaspersky Ungkap Tips Melindungi Kesehatan Mental di Era Media Sosial ,https://infokomputer.grid.id/read/123529552/kaspersky-ungkap-tips-melindungi-kesehatan-mental-di-era-media-sosial,Info Komputer,Kesehatan
Hari Menopause Sedunia Simak Tips Jaga Kesehatan Mental dalam Menghadapi Menopause ,https://www.liputan6.com/regional/read/5100165/hari-menopause-sedunia-simak-tips-jaga-kesehatan-mental-dalam-menghadapi-menopause,Liputan6.com,Kesehatan
Perokok Mentol Cenderung Lebih Banyak Terganggu Kesehatan Mental ,https://www.katalogika.com/referensi/pr-1445219288/perokok-mentol-cenderung-lebih-banyak-terganggu-kesehatan-mental,Kata Logika - Kata Logika,Kesehatan
Pahami Fase Penting Jaga Kesehatan Mental Anak ,https://gaya.tempo.co/read/1646144/pahami-fase-penting-jaga-kesehatan-mental-anak,Gaya Tempo.co,Kesehatan
Mengenal Mental Health Mahasiswa Wajib Tahu ,https://www.kompasiana.com/zahrahbela/634de11b44dac718a82e7c32/mengenal-mental-health-mahasiswa-wajib-tahu,Kompasiana.com - Kompasiana.com,Kesehatan
Hapus Stigma Negatif Kesehatan Mental ala Seeing The Unseen ,https://www.harianterbit.com/humaniora/pr-2745224025/hapus-stigma-negatif-kesehatan-mental-ala-seeing-the-unseen,Harian Terbit - Harian Terbit,Kesehatan
5 Drakor yang Angkat Isu Kesehatan Mental Mengajarkan Peduli dan Peka Terhadap Perasaan Orang Lain ,https://www.beautynesia.id/life/5-drakor-yang-angkat-isu-kesehatan-mental-mengajarkan-peduli-dan-peka-terhadap-perasaan-orang-lain/b-263638,beautynesia,Kesehatan
Mengenal Kalkulator Kesehatan Mental Alat Deteksi Dini Kondisi Mental ,https://katadata.co.id/agung/berita/6347a30fd42f9/mengenal-kalkulator-kesehatan-mental-alat-deteksi-dini-kondisi-mental,Katadata.co.id,Kesehatan
