title,link,source,topic
Gede Ganding Kejar Tiket Olimpiade ,https://www.nusabali.com/berita/127432/gede-ganding-kejar-tiket-olimpiade,NusaBali,Olahraga
Pemenang Olimpiade Sains Nasional OSN Tahun 2022 Jenjang SMAMA Bidang Astronomi Cek Sekolahmu ,https://kampus.republika.co.id/posts/183179/pemenang-olimpiade-sains-nasional-osn-tahun-2022-jenjang-smama-bidang-astronomi-cek-sekolahmu,Republika,Olahraga
120 Peserta Lolos Olimpiade Penelitian Siswa Nasional OPSI Jenjang SMP Cek Sekolahnya di Sini ,https://kampus.republika.co.id/posts/183323/120-peserta-lolos-olimpiade-penelitian-siswa-nasional-opsi-jenjang-smp-cek-sekolahnya-di-sini,Republika,Olahraga
PABSI sebut kejuaraan Asia jadi bekal menuju kualifikasi Olimpiade Paris ,https://mataram.antaranews.com/berita/225677/pabsi-sebut-kejuaraan-asia-jadi-bekal-menuju-kualifikasi-olimpiade-paris,ANTARA Nusa Tenggara Barat,Olahraga
5 Atlet Perempuan Indonesia yang Dikenal Cantik Nomor 1 Atlet Olimpiade ,https://sports.okezone.com/read/2022/10/15/43/2687816/5-atlet-perempuan-indonesia-yang-dikenal-cantik-nomor-1-atlet-olimpiade,Okezone Sports,Olahraga
MAN 1 Bulukumba Optimis Juara Olimpiade Galaxy Creative 2022  Menara Indonesia ,https://menaraindonesia.com/2022/10/18/man-1-bulukumba-optimis-juara-olimpiade-galaxy-creative-2022/,Menara Indonesia,Olahraga
Kento Momota Sudah Berhenti Memikirkan Olimpiade 2024 Paris ,https://sport.tempo.co/read/1644983/kento-momota-sudah-berhenti-memikirkan-olimpiade-2024-paris,Sport Tempo.co - Sport Tempo.co,Olahraga
900 Siswa Berkompetisi di Olimpiade Sains Nasional OSN Tahun 2022 Jenjang SMAMA ,https://kampus.republika.co.id/posts/181420/900-siswa-berkompetisi-di-olimpiade-sains-nasional-osn-tahun-2022-jenjang-smama,Republika,Olahraga
Bidding Olimpiade 2036 Indonesia Juga Harus Amat Waspadai Mesir ,https://sport.detik.com/sport-lain/d-6302494/bidding-olimpiade-2036-indonesia-juga-harus-amat-waspadai-mesir,detikSport,Olahraga
Panahan Indonesia Langsung Fokus ke Kualifikasi Olimpiade 2024 ,https://imsport.tv/berita/panahan-indonesia-langsung-fokus-ke-kualifikasi-olimpiade-2024/,iMSPORT.TV,Olahraga
Cabang Menembak Ingin Loloskan Lebih Banyak Atlet ke Olimpiade 2024 ,https://sport.detik.com/sport-lain/d-6301977/cabang-menembak-ingin-loloskan-lebih-banyak-atlet-ke-olimpiade-2024,detikSport,Olahraga
Pelatih Ganda Campuran Indonesia Puas Rinov RivaldyPitha Haningtyas Bersaing Menuju Olimpiade 2024 ,https://sports.okezone.com/read/2022/10/18/40/2689375/pelatih-ganda-campuran-indonesia-puas-rinov-rivaldy-pitha-haningtyas-bersaing-menuju-olimpiade-2024,Okezone Sports,Olahraga
Harapan Marciano Norman di HUT Ke,https://wartakota.tribunnews.com/2022/10/17/harapan-marciano-norman-di-hut-ke-84-koni-banyak-atlet-indonesia-raih-emas-olimpiade,Wartakota,Olahraga
Hasil Piala Dunia Panjat Tebing jadi modal Indonesia ke Olimpiade ,https://megapolitan.antaranews.com/berita/213853/hasil-piala-dunia-panjat-tebing-jadi-modal-indonesia-ke-olimpiade,ANTARA Megapolitan,Olahraga
Asian Games dan Kualifikasi Olimpiade Mepet PODSI Sama,https://sport.detik.com/sport-lain/d-6304099/asian-games-dan-kualifikasi-olimpiade-mepet-podsi-sama-sama-penting,detikSport,Olahraga
Jadwal Kualifikasi Road to Paris Olimpiade 2024 Bola Voli Jepang Jadi Tuan Rumah ,https://pontianak.tribunnews.com/2022/10/17/jadwal-kualifikasi-road-to-paris-olimpiade-2024-bola-voli-jepang-jadi-tuan-rumah,Tribun Pontianak,Olahraga
Ubah Mindset Atlet ke Olimpiade NOC Indonesia Gandeng IOA ,https://imsport.tv/berita/ubah-mindset-atlet-ke-olimpiade-noc-indonesia-gandeng-ioa/,iMSPORT.TV,Olahraga
260 Peserta Ikut Olimpiade Matematika dan Ilmu Pengetahuan Alam ONMIPA Tingkat Nasional di UB ,https://kampus.republika.co.id/posts/178486/260-peserta-ikut-olimpiade-matematika-dan-ilmu-pengetahuan-alam-onmipa-tingkat-nasional-di-ub,Republika,Olahraga
Olimpiade Diponegoro Olimdipo 2022 Bangkitkan Semangat dan Apresiasi Besar di Bidang Olahraga ,https://www.undip.ac.id/post/26638/olimpiade-diponegoro-olimdipo-2022-bangkitkan-semangat-dan-apresiasi-besar-di-bidang-olahraga.html,Universitas Diponegoro,Olahraga
