title,link,source,topic
Banyu Atlet Paralympic Asal Dukuhsalam Raih Emas di ASEAN Para Games 2022 ,http://setda.tegalkab.go.id/2022/08/07/banyu-atlet-paralympic-asal-dukuhsalam-raih-emas-di-asean-para-games-2022/,Sekretariat Daerah – Kabupaten Tegal,Olahraga
NPCI Dukung Atlet Paralympic Raih Juara Umum pada Paperda VI Jabar ,https://bogorkab.go.id/post/detail/npci-dukung-atlet-paralympic-raih-juara-umum-pada-paperda-vi-jabar,Kabupaten Bogor,Olahraga
BRI Serahkan Rp 4 Miliar untuk Atlet Paralympic Indonesia ,https://radarsolo.jawapos.com/sport/23/04/2022/serahkan-hadiah-apresiasi-kontingen-indonesia-di-ajang-paralympic-games/,Radar Solo,Olahraga
Awal Mula Diadakan Paralimpyc atau Paralimpiade Akar Paralympic Tokyo 2020 ,https://sport.tempo.co/read/1495187/awal-mula-diadakan-paralimpyc-atau-paralimpiade-akar-paralympic-tokyo-2020,Sport Tempo.co,Olahraga
Pelatnas Voli Duduk National Paralympic Committee NPC ,https://www.republika.co.id/berita/rcw2qn283/pelatnas-voli-duduk-national-paralympic-committee-npc,Republika Online,Olahraga
Apa Itu Paralympic Kapan Digelar dan Perbedaan dengan Olimpiade ,https://tirto.id/apa-itu-paralympic-kapan-digelar-dan-perbedaan-dengan-olimpiade-giTs,Tirto.id,Olahraga
Cetak Prestasi di Pekan Paralympic 2022 SLB Pertiwi DWP Kota Mojokerto Terpacu Gali Potensi Siswa ,https://kominfo.jatimprov.go.id/berita/cetak-prestasi-di-pekan-paralympic-2022-slb-pertiwi-dwp-kota-mojokerto-terpacu-gali-potensi-siswa,Dinas Komunikasi dan Informatika Provinsi jawa Timur,Olahraga
Atlet Paralympic Asal Klaten Kembali Sumbang Dua Medali Emas ,https://jatengprov.go.id/beritadaerah/atlet-paralympic-asal-klaten-kembali-sumbang-dua-medali-emas/,Pemerintah Provinsi Jawa Tengah,Olahraga
Oddie Atlet Paralympic Malang yang Sukses Berkarir di Kemenpora RI ,https://radarmalang.jawapos.com/olahraga/04/05/2022/oddie-atlet-paralympic-malang-yang-sukses-berkarir-di-kemenpora-ri/,Radar Malang,Olahraga
Menilik Sejarah Paralympic Games Olimpiade Khusus bagi Penyandang Disabilitas ,https://www.liputan6.com/disabilitas/read/4618615/menilik-sejarah-paralympic-games-olimpiade-khusus-bagi-penyandang-disabilitas,Liputan6.com,Olahraga
Atlet Paralympic Temanggung Maju Kejuaraan Dunia ,https://jatengprov.go.id/beritadaerah/atlet-paralympic-temanggung-maju-kejuaraan-dunia/,Pemerintah Provinsi Jawa Tengah,Olahraga
Hari Pertama Peparpeda Solo Atlit Pelajar Paralympic Klaten Raih 3 Perak dan 3 Perunggu  Klaten ,https://klatenkab.go.id/hari-pertama-peparpeda-solo-atlit-pelajar-paralympic-klaten-raih-3-perak-dan-3-perunggu/,Klaten Kab,Olahraga
Cabor Paralympic Tokyo  Klasifikasi Badminton hingga Powerlifting ,https://tirto.id/cabor-paralympic-tokyo-klasifikasi-badminton-hingga-powerlifting-giWs,Tirto.id,Olahraga
Sejarah Paralympic Berangkat dari Usulan Seorang Dokter Asal Inggris ,https://yoursay.suara.com/news/2021/08/28/105105/sejarah-paralympic-berangkat-dari-usulan-seorang-dokter-asal-inggris,Yoursay.ID,Olahraga
UNS Beri Beasiswa untuk Atlet RI Peraih Medali Paralympic Games Tokyo 2020 ,https://www.detik.com/edu/perguruan-tinggi/d-5684076/uns-beri-beasiswa-untuk-atlet-ri-peraih-medali-paralympic-games-tokyo-2020,detikcom,Olahraga
Ini Dia 23 Atlet Indonesia yang akan Bertarung di Paralympic Tokyo 2020 ,https://solo.suaramerdeka.com/olahraga/pr-05597609/ini-dia-23-atlet-indonesia-yang-akan-bertarung-di-paralympic-tokyo-2020,Suara Merdeka Solo - Suara Merdeka Solo,Olahraga
Wow Atlet KBB Pertama yang Ikut Paralympic Games Olimpiade di Tokyo Jepang Ini Dia Sosoknya ,https://www.bangbara.com/olahraga/pr-3692585679/wow-atlet-kbb-pertama-yang-ikut-paralympic-games-olimpiade-di-tokyo-jepang-ini-dia-sosoknya,Bangbara - Bangbara,Olahraga
Asal Mula Paralympic Games Olimpiade untuk Para Difabel ,https://kumparan.com/potongan-nostalgia/asal-mula-paralympic-games-olimpiade-untuk-para-difabel-1su7G9D1o3h,kumparan.com - kumparan.com,Olahraga
Jadi Tuan Rumah Peparpenas 2023 National Paralympic Committer Indonesia Sumsel Kumpulkan Pelatih ,https://palembang.tribunnews.com/2022/02/02/jadi-tuan-rumah-peparpenas-2023-national-paralympic-committer-indonesia-sumsel-kumpulkan-pelatih,Sripoku.com,Olahraga
Catat Tokyo Paralympic Games 2020 Akan Diselenggarakan Usai Olimpiade ,https://yoursay.suara.com/news/2021/08/08/182417/catat-tokyo-paralympic-games-2020-akan-diselenggarakan-usai-olimpiade,Yoursay.ID,Olahraga
Pemda KBB Gelontorkan Dana Hibah Akhirnya Jagoan Paralympic Games Olimpiade Ini Siap Bertanding di Tokyo ,https://www.bangbara.com/olahraga/pr-3692585684/pemda-kbb-gelontorkan-dana-hibah-akhirnya-jagoan-paralympic-games-olimpiade-ini-siap-bertanding-di-tokyo,Bangbara - Bangbara,Olahraga
Paralympic Tokyo 2020 Bulutangkis Berpeluang All Indonesia Final ,https://solo.suaramerdeka.com/olahraga/pr-05891436/paralympic-tokyo-2020-bulutangkis-berpeluang-all-indonesia-final,Suara Merdeka Solo - Suara Merdeka Solo,Olahraga
Atlet dari 7 Cabang Olahraga Indonesia Berlaga di Paralympic Games Tokyo ,https://www.harianhaluan.com/olahraga/pr-10948801/atlet-dari-7-cabang-olahraga-indonesia-berlaga-di-paralympic-games-tokyo,Harian Haluan - Harian Haluan Network,Olahraga
Siap Bertanding Berikut Daftar 23 Atlet Indonesia di Paralympic Tokyo 2020 ,https://yoursay.suara.com/news/2021/08/06/104236/siap-bertanding-berikut-daftar-23-atlet-indonesia-di-paralympic-tokyo-2020,Yoursay.ID,Olahraga
Paralympic Ajang Olahraga Internasional bagi Atlet Disabilitas ,https://www.popmama.com/life/health/rezki-apriliya/paralympic-ajang-olahraga-internasional-bagi-atlet-disabilitas,Popmama.com,Olahraga
Daftar Atlet Indonesia yang Ikut Paralympic Olimpiade Tokyo 2020 Lengkap dengan Cabang Olahraga Paralimpiade ,https://beritadiy.pikiran-rakyat.com/sport/pr-702458675/daftar-atlet-indonesia-yang-ikut-paralympic-olimpiade-tokyo-2020-lengkap-dengan-cabang-olahraga-paralimpiade,Berita DIY - Berita DIY,Olahraga
Ketua NPC Indonesia Tanpa Campur Tangan Menpora Amali Prestasi di Paralimpiade Tak Mungkin Tercapai ,https://www.kemenpora.go.id/detail/958/ketua-npc-indonesia-tanpa-campur-tangan-menpora-amali-prestasi-di-paralimpiade-tak-mungkin-tercapai,kemenpora.go.id,Olahraga
Wow 21 Atlet NPCI Pastikan Menuju Paralympic Games Tokyo 2021 ,https://solo.suaramerdeka.com/olahraga/pr-05424119/wow-21-atlet-npci-pastikan-menuju-paralympic-games-tokyo-2021,Suara Merdeka Solo - Suara Merdeka Solo,Olahraga
Sejarah Paralympic Olimpiade Para Difabel ,https://faktualnews.co/2019/10/29/sejarah-paralympic-olimpiade-para-difabel/172392/,FaktualNews.co,Olahraga
Keren Karanganyar Jadi Pusat Training Camp Atlet Difabel Dibawah National Paralympic Committee ,https://sukoharjo.pikiran-rakyat.com/olahraga/pr-2033541270/keren-karanganyar-jadi-pusat-training-camp-atlet-difabel-dibawah-national-paralympic-committee,Berita Sukoharjo - Berita Sukoharjo,Olahraga
Tambah Satu Slot Dua Perenang NPCI Pastikan Bakal Bersaing ke Paralympic Tokyo ,https://solo.suaramerdeka.com/olahraga/pr-05423909/tambah-satu-slot-dua-perenang-npci-pastikan-bakal-bersaing-ke-paralympic-tokyo,Suara Merdeka Solo - Suara Merdeka Solo,Olahraga
Inilah Wakil NPCI Jawa Tengah yang Berangkat ke Paralympic Tokyo 2020 ,https://solo.suaramerdeka.com/olahraga/pr-05927677/inilah-wakil-npci-jawa-tengah-yang-berangkat-ke-paralympic-tokyo-2020,Suara Merdeka Solo - Suara Merdeka Solo,Olahraga
Tim Bulutangkis NPC Indonesia Bakal TC ke Machida Jelang Paralympic Games Tokyo 2020 ,https://solo.suaramerdeka.com/olahraga/pr-05487006/tim-bulutangkis-npc-indonesia-bakal-tc-ke-machida-jelang-paralympic-games-tokyo-2020,Suara Merdeka Solo - Suara Merdeka Solo,Olahraga
Perjuangan Tim Para,https://www.kompasiana.com/raidersmarpaung/614854ce53f9cd15993d0914/perjuangan-tim-para-renang-indonesia-dalam-paralympic-games-tokyo-2020,Kompasiana.com - Kompasiana.com,Olahraga
Bonus yang tak sepadan di ajang Paralympic Asian Games ,https://www.bbc.com/indonesia/olahraga-46701015,BBC News Indonesia,Olahraga
Wabah Corona 35 Atlet Paralympic Dipulangkan ,https://difabel.tempo.co/read/1328868/wabah-corona-35-atlet-paralympic-dipulangkan,Difabel Tempo.co,Olahraga
Hasil Drawing Para Badminton Paralympic Games Tokyo 2020 7 Atlet Indonesia Siap Tanding ,https://jurnalsoreang.pikiran-rakyat.com/olahraga/pr-1012488140/hasil-drawing-para-badminton-paralympic-games-tokyo-2020-7-atlet-indonesia-siap-tanding,Jurnal Soreang - Jurnal Soreang,Olahraga
Atlet Paralympic Tokyo 2020 dari Jawa Tengah Segera Pamitan ke Gubernur ,https://solo.suaramerdeka.com/olahraga/pr-05924130/atlet-paralympic-tokyo-2020-dari-jawa-tengah-segera-pamitan-ke-gubernur,Suara Merdeka Solo - Suara Merdeka Solo,Olahraga
Hadapi Paralympic Tokyo Fadli Lebih Difokuskan ke Arena Track ,https://solo.suaramerdeka.com/olahraga/pr-05267429/hadapi-paralympic-tokyo-fadli-lebih-difokuskan-ke-arena-track,Suara Merdeka Solo - Suara Merdeka Solo,Olahraga
Loloskan Tujuh Atlet Pelatnas Atletik NPCI Terbanyak Menuju Paralympic Tokyo ,https://solo.suaramerdeka.com/olahraga/pr-05424174/loloskan-tujuh-atlet-pelatnas-atletik-npci-terbanyak-menuju-paralympic-tokyo,Suara Merdeka Solo - Suara Merdeka Solo,Olahraga
