title,link,source,topic
Menjaga Persatuan Bangsa lewat Pencak Silat ,https://www.radarsampit.com/berita/menjaga-persatuan-bangsa-lewat-pencak-silat.html,radarsampit.com,Olahraga
7 Pencak Silat Tertua di Indonesia Nomor 1 PSHT ,https://www.sportstars.id/read/7-pencak-silat-tertua-di-indonesia-nomor-1-psht-87IB8f,sportstars.id,Olahraga
Kejuaraan Pencak Silat JKTC Kembali Digelar Offline Ribuan Peserta Membeludak Padati GOR POPKI Cibubur ,https://sport.tempo.co/read/1645834/kejuaraan-pencak-silat-jktc-kembali-digelar-offline-ribuan-peserta-membeludak-padati-gor-popki-cibubur,Sport Tempo.co,Olahraga
Ponorogo Gudangnya Puluhan Wasit dan Juri Pencak Silat ,https://ponorogo.go.id/2022/10/11/ponorogo-gudangnya-puluhan-wasit-dan-juri-pencak-silat/,Pemerintah Kabupaten Ponorogo,Olahraga
Tim Kontingen Atlet Bela Diri Pencak Silat Yonif Mekanis 201JY Berhasil Menjadi Juara Dan Meraih Medali Dalam Championsip Porda Bekasi ,https://mediacyberbhayangkara.com/tim-kontingen-atlet-bela-diri-pencak-silat-yonif-mekanis-201-jy-berhasil-menjadi-juara-dan-meraih-medali-dalam-championsip-porda-bekasi/,mediacyberbhayangkara,Olahraga
Fungsi Tangkisan Bawah dalam Pencak Silat yang Penting Dikuasai Agar Tidak Cedera Fatal ,https://www.sportstars.id/read/fungsi-tangkisan-bawah-dalam-pencak-silat-yang-penting-dikuasai-agar-tidak-cedera-fatal-1NoY55,sportstars.id,Olahraga
Pesilat Makassar Rangga Andika Juara di Asian Pencak Silat Championship di India ,https://www.ujungjari.com/2022/10/18/pesilat-makassar-rangga-andika-juara-di-asian-pencak-silat-championship-di-india/,Ujung Jari,Olahraga
MAN 4 Pekanbaru Gelar Ujian Kenaikan Tingkat Pencak Silat NU Pagar Nusa ,https://riaupos.jawapos.com/pekanbaru/17/10/2022/285155/man-4-pekanbaru-gelar-ujian-kenaikan-tingkat-pencak-silat-nu-pagar-nusa.html,RiauPos,Olahraga
Ribuan Pendekar Pencak Silat Hadiri Festival di GBK ,https://sport.detik.com/sport-lain/d-6337356/ribuan-pendekar-pencak-silat-hadiri-festival-di-gbk,detikSport,Olahraga
IPSI SBB Gelar Kejurkab Pencak Silat Budiono Gali Potensi Atlet ,https://www.kompastimur.com/2022/10/ipsi-sbb-gelar-kejurkab-pencat-sikat.html,Kompas Timur,Olahraga
GRAND FINAL FESTIVAL LOMBA PENCAK SILAT SE,https://dindikbud.bantenprov.go.id/index.php/artikel/402-grand-final-festival-lomba-pencak-silat-se-provinsi-banten.html,Dinas Pendidikan Dan Kebudayaan Provinsi Banten - Dinas Pendidikan Dan Kebudayaan Provinsi Banten,Olahraga
