title,link,source,topic
TC di Amerika Timnas Basket Indonesia Jajal 2 Pemain Keturunan ,https://www.liputan6.com/bola/read/5099396/tc-di-amerika-timnas-basket-indonesia-jajal-2-pemain-keturunan,Liputan6.com,Olahraga
Milos Pejic Beberkan Target Jangka Panjang di Timnas Basket Indonesia Memajukan Basket Indonesia ,https://www.tribunnews.com/sport/2022/09/22/milos-pejic-beberkan-target-jangka-panjang-di-timnas-basket-indonesia-memajukan-basket-indonesia,Tribunnews.com,Olahraga
Timnas basket Indonesia manfaatkan Liga Putri ASEAN untuk tingkatkan level permainan ,https://makassar.antaranews.com/berita/432157/timnas-basket-indonesia-manfaatkan-liga-putri-asean-untuk-tingkatkan-level-permainan,ANTARA Sulawesi Utara,Olahraga
Resmi Pebasket Indonesia Marques Bolden Dilepas Klub NBA Milwaukee Bucks ,https://www.indosport.com/basket/20221018/resmi-pebasket-indonesia-marques-bolden-dilepas-klub-nba-milwaukee-bucks,INDOSPORT.COM,Olahraga
Dilatih Guru Pemain NBA Timnas Basket Asah Skill Individu di Las Vegas ,https://akurat.co/dilatih-guru-pemain-nba-timnas-basket-asah-skill-individu-di-las-vegas,Akurat.co,Olahraga
Berita NBA Pemain Timnas Basket Indonesia Marques Bolden Merapat ke Milwaukee Bucks ,https://sport.tempo.co/read/1638550/berita-nba-pemain-timnas-basket-indonesia-marques-bolden-merapat-ke-milwaukee-bucks,Sport Tempo.co,Olahraga
Wow Pemain Timnas Basket Indonesia Gabung Jawara NBA ,https://akurat.co/wow-pemain-timnas-basket-indonesia-gabung-jawara-nba,Akurat.co,Olahraga
Perbasi Siapkan Stok Pemain Muda untuk Regenerasi Timnas Basket Indonesia ,https://www.suara.com/sport/2022/09/27/040500/perbasi-siapkan-stok-pemain-muda-untuk-regenerasi-timnas-basket-indonesia,Suara.com,Olahraga
20 Pemain Muda Timnas Basket Indonesia Menempa Diri di Amerika Targetnya Mempertahankan Medali Emas SEA Games ,https://voi.id/olahraga/216452/20-pemain-muda-timnas-basket-indonesia-menempa-diri-di-amerika-targetnya-mempertahankan-medali-emas-sea-games,VOI.ID,Olahraga
Perbasi Umumkan Roster Timnas Basket Indonesia di FIBA Asia Cup 2022 ,https://sport.detik.com/basket/d-6173403/perbasi-umumkan-roster-timnas-basket-indonesia-di-fiba-asia-cup-2022,detikSport,Olahraga
Timnas Basket Indonesia Perkasa dan Sabet Emas SEA Games 2021 Apa Selanjutnya ,https://www.kompas.com/sports/read/2022/05/23/21200088/timnas-basket-indonesia-perkasa-dan-sabet-emas-sea-games-2021-apa?page=all,Kompas.com - KOMPAS.com,Olahraga
Asa Timnas Basket Indonesia Main di Piala Dunia ,https://sport.detik.com/basket/d-6186888/asa-timnas-basket-indonesia-main-di-piala-dunia,detikSport,Olahraga
Daftar Pemain Timnas Basket Indonesia yang Dipanggil Perbasi untuk TC Persiapan SEA Games 2023 ,https://www.tribunnews.com/sport/2022/09/12/daftar-pemain-timnas-basket-indonesia-yang-dipanggil-perbasi-untuk-tc-persiapan-sea-games-2023,Tribunnews.com,Olahraga
Menpora Amali Apresiasi Timnas Basket Indonesia yang Masuk 10 Besar Rangking FIBA Asia ,https://www.kemenpora.go.id/detail/2300/menpora-amali-apresiasi-timnas-basket-indonesia-yang-masuk-10-besar-rangking-fiba-asia,kemenpora.go.id,Olahraga
Jadwal Timnas Basket Indonesia Vs 10 Tim NBL1 Australia ,https://www.kompas.com/sports/read/2022/06/06/13291068/jadwal-timnas-basket-indonesia-vs-10-tim-nbl1-australia?page=all,Kompas.com - KOMPAS.com,Olahraga
Tim Basket Indonesia TC di Australia demi FIBA Asia Cup ,https://www.cnnindonesia.com/olahraga/20220524161215-178-800632/tim-basket-indonesia-tc-di-australia-demi-fiba-asia-cup,CNN Indonesia,Olahraga
Timnas Basket Indonesia Pede Hadapi Kualifikasi Piala Dunia 2023 ,https://www.cnnindonesia.com/olahraga/20220626154451-178-813691/timnas-basket-indonesia-pede-hadapi-kualifikasi-piala-dunia-2023,CNN Indonesia,Olahraga
Bonus Rp 5 Miliar untuk Timnas Bola Basket Indonesia yang Ukir Sejarah di SEA Games 2021 ,https://www.kompas.com/sports/read/2022/06/03/14200008/bonus-rp-5-miliar-untuk-timnas-bola-basket-indonesia-yang-ukir-sejarah-di?page=all,Kompas.com - KOMPAS.com,Olahraga
Tak Lolos FIBA World Cup 2023 Timnas Basket Indonesia Tatap Turnamen Lain ,https://www.bolasport.com/read/313401369/tak-lolos-fiba-world-cup-2023-timnas-basket-indonesia-tatap-turnamen-lain,Bolasport,Olahraga
Perbasi Akan Buka Seleksi Timnas Basket Indonesia di Daerah ,https://sport.tempo.co/read/1613648/perbasi-akan-buka-seleksi-timnas-basket-indonesia-di-daerah,Sport Tempo.co,Olahraga
FIBA Asia Cup 2022 Perbasi Harap Timnas Basket Indonesia Ikuti Prestasi Tim Putri 3x3 ,https://www.kompas.com/sports/read/2022/07/12/05000008/fiba-asia-cup-2022-perbasi-harap-timnas-basket-indonesia-ikuti-prestasi?page=all,Kompas.com - KOMPAS.com,Olahraga
Daftar Pemain Timnas Basket di Kualifikasi FIBA World Cup 2023 Derrick Xzavierro Tampil ,https://www.tribunnews.com/sport/2022/07/01/daftar-pemain-timnas-basket-di-kualifikasi-fiba-world-cup-2023-derrick-xzavierro-tampil,Tribunnews.com,Olahraga
Timnas Basket Indonesia Vs Yordania Prastawa Istirahat Abraham Kembali ,https://www.kompas.com/sports/read/2022/07/03/17200008/timnas-basket-indonesia-vs-yordania--prastawa-istirahat-abraham-kembali?page=all,Kompas.com - KOMPAS.com,Olahraga
Ronaldo Minta Timnas Basket Indonesia Didukung ke Piala Dunia ,https://www.cnnindonesia.com/olahraga/20220610190259-178-807544/ronaldo-minta-timnas-basket-indonesia-didukung-ke-piala-dunia,CNN Indonesia,Olahraga
Uji Coba di Australia Usai Timnas Basket Indonesia Siap Tempur di Piala FIBA Asia 2022 ,https://www.liputan6.com/bola/read/4994728/uji-coba-di-australia-usai-timnas-basket-indonesia-siap-tempur-di-piala-fiba-asia-2022,Liputan6.com,Olahraga
VIDEO Highlights Timnas Basket Indonesia Menang Tipis atas Thailand di SEA Games 2021 ,https://www.bola.com/ragam/read/4965461/video-highlights-timnas-basket-indonesia-menang-tipis-atas-thailand-di-sea-games-2021,Bola.com,Olahraga
Timnas Basket Indonesia Meretas Jalan ke Pentas Dunia ,https://www.bengkuluinteraktif.com/timnas-basket-indonesia-meretas-jalan-ke-pentas-dunia,Bengkulu Interaktif,Olahraga
Timnas Basket Indonesia Bawa 16 Pemain untuk TC di Australia ,https://www.suara.com/sport/2022/06/09/040500/timnas-basket-indonesia-bawa-16-pemain-untuk-tc-di-australia,Suara.com,Olahraga
Timnas basket Indonesia latih tanding ke Australia demi FIBA Asia Cup ,https://www.antaranews.com/berita/2796721/timnas-basket-indonesia-latih-tanding-ke-australia-demi-fiba-asia-cup,ANTARA,Olahraga
Jokowi Diharapkan Jadi Suporter Timnas Basket Indonesia ,https://www.cnnindonesia.com/olahraga/20220623174407-178-812787/jokowi-diharapkan-jadi-suporter-timnas-basket-indonesia,CNN Indonesia,Olahraga
Roster Timnas Basket Indonesia di Piala Asia FIBA 2022 Satu Pemain Naturalisasi Tergantikan ,https://www.skor.id/basket/roster-timnas-basket-indonesia-piala-asia-fiba-2022-satu-pemain-naturalisasi-tergantikan-01425135,Skor.id,Olahraga
Daftar 12 Pemain Timnas Basket Indonesia di SEA Games 2021 Ada Bintang NBA ,https://m.jpnn.com/news/daftar-12-pemain-timnas-basket-indonesia-di-sea-games-2021-ada-bintang-nba,JPNN.com Sport,Olahraga
Timnas Basket Indonesia Raih Perunggu di ASEAN Para Games 2022 ,https://www.pilar.id/timnas-basket-indonesia-raih-perunggu-di-asean-para-games-2022/,Pilar.ID,Olahraga
Alasan Timnas Basket Indonesia Cuma Bawa Satu Pemain Naturalisasi ke SEA Games 2021 ,https://www.suara.com/sport/2022/04/15/164759/alasan-timnas-basket-indonesia-cuma-bawa-satu-pemain-naturalisasi-ke-sea-games-2021,Suara.com,Olahraga
Perbasi Rilis 14 Pemain Timnas Basket Indonesia di Kualifikasi Piala Dunia FIBA 2023 ,https://www.liputan6.com/bola/read/4892116/perbasi-rilis-14-pemain-timnas-basket-indonesia-di-kualifikasi-piala-dunia-fiba-2023,Liputan6.com,Olahraga
Kabar Gembira Timnas Basket Indonesia Bakal Punya Markas Baru ,https://www.indosport.com/basket/20220711/kabar-gembira-timnas-basket-indonesia-bakal-punya-markas-baru,INDOSPORT.COM,Olahraga
Jadwal Timnas Basket Indonesia di FIBA Asia Cup 2022 Arab Saudi Lawan Pertama ,https://www.kompas.com/sports/read/2022/07/09/14200088/jadwal-timnas-basket-indonesia-di-fiba-asia-cup-2022--arab-saudi-lawan?page=all,Kompas.com - KOMPAS.com,Olahraga
10 Fakta Derrick Michael Pemain Timnas Basket Indonesia di FIBA Asia Cup 2022 Nomor 1 Berdarah Campuran ,https://sports.okezone.com/read/2022/07/16/36/2630519/10-fakta-derrick-michael-pemain-timnas-basket-indonesia-di-fiba-asia-cup-2022-nomor-1-berdarah-campuran,Okezone Sports,Olahraga
Foto Indonesia Angkat Kaki dari FIBA Asia Cup 2022 usai Ditaklukkan China Harapan ke Piala Dunia Basket 2023 Pupus ,https://www.bola.com/ragam/read/5017500/foto-indonesia-angkat-kaki-dari-fiba-asia-cup-2022-usai-ditaklukkan-china-harapan-ke-piala-dunia-basket-2023-pupus,Bola.com,Olahraga
Tim Basket Indonesia Fokus ke FIBA Asia Cup 2022 Demi Tiket Piala Dunia ,https://www.republika.co.id/berita/r822y8438/tim-basket-indonesia-fokus-ke-fiba-asia-cup-2022-demi-tiket-piala-dunia,Republika Online,Olahraga
FIBA Asia Cup  Tim Basket Indonesia Ditundukkan Yordania ,https://www.republika.co.id/berita/rf1f6v375/fiba-asia-cup-tim-basket-indonesia-ditundukkan-yordania,Republika Online,Olahraga
Timnas Basket Indonesia Simulasi Jelang SEA Games Tunggu Kedatangan Pemain Akademi NBA ,https://www.indosport.com/basket/20220425/timnas-basket-indonesia-simulasi-jelang-sea-games-tunggu-kedatangan-pemain-akademi-nba,INDOSPORT.COM,Olahraga
Gagal ke FIBA World Cup 2023 Timnas Basket Langsung Fokus ke SEA Games dan Asian Games ,https://www.kompas.com/sports/read/2022/07/31/08400088/gagal-ke-fiba-world-cup-2023-timnas-basket-langsung-fokus-ke-sea-games-dan,Kompas.com - KOMPAS.com,Olahraga
Timnas Basket Indonesia Optimis Capai Target di SEA Games 2022 ,https://m.tribunnews.com/sport/2022/05/07/timnas-basket-indonesia-optimis-capai-target-di-sea-games-2022,Tribunnews.com,Olahraga
Milos Pejic Jadi Pelatih Timnas Basket Indonesia di SEA Games 2021 ,https://www.skor.id/basket/milos-pejic-jadi-pelatih-timnas-basket-indonesia-sea-games-2021-01411445,Skor.id,Olahraga
Timnas Basket Indonesia Dipastikan Diperkuat Brandon Jawato Marques Bolden dan Derrick Michael di SEA Games 2023 ,https://sports.okezone.com/read/2022/09/17/36/2669695/timnas-basket-indonesia-dipastikan-diperkuat-brandon-jawato-marques-bolden-dan-derrick-michael-di-sea-games-2023,Okezone Sports,Olahraga
Timnas Basket Indonesia Alami Perkembangan Pesat Setelah Try,https://www.liputan6.com/bola/read/4989246/timnas-basket-indonesia-alami-perkembangan-pesat-setelah-try-out-di-australia,Liputan6.com,Olahraga
Daftar 20 Pemain Timnas Basket Putri RI untuk SEA Games 2022 ,https://sport.detik.com/basket/d-5933255/daftar-20-pemain-timnas-basket-putri-ri-untuk-sea-games-2022,detikSport,Olahraga
SEA Games 2021 Marques Bolden Jadi Tumpuan Timnas Basket Indonesia ,https://www.liputan6.com/bola/read/4940435/sea-games-2021-marques-bolden-jadi-tumpuan-timnas-basket-indonesia,Liputan6.com,Olahraga
Mengenal Para Anggota Tim Nasional Basket Putra Indonesia yang Berkunjung ke Australia  BUSET Indonesian Magazine in Australia ,https://buset-online.com/anggota-tim-nasional-basket-putra-indonesia/,buset,Olahraga
Marques Bolden Tiba di Indonesia Timnas Basket Indonesia Semakin Siap Hadapi SEA Games 2021 ,https://www.liputan6.com/bola/read/4936590/marques-bolden-tiba-di-indonesia-timnas-basket-indonesia-semakin-siap-hadapi-sea-games-2021,Liputan6.com,Olahraga
