title,link,source,topic
Ranking FIFA Timnas Sepakbola Wanita Indonesia Naik ,https://padek.jawapos.com/olahraga/15/10/2022/ranking-fifa-timnas-sepakbola-wanita-indonesia-naik/,Padang Express,Olahraga
Hasil Piala Dunia Amputasi 2022 Takluk 2,https://bola.okezone.com/read/2022/10/09/51/2683588/hasil-piala-dunia-amputasi-2022-takluk-2-3-dari-uruguay-timnas-sepakbola-amputasi-indonesia-finis-di-peringkat-22,Bola Okezone,Olahraga
Jokowi Minta Timnas Sepak Bola Amputasi Main Lepas di Piala Dunia ,https://nasional.kompas.com/read/2022/09/21/15325411/jokowi-minta-timnas-sepak-bola-amputasi-main-lepas-di-piala-dunia,Kompas.com - Nasional Kompas.com,Olahraga
Vietnam Sebut Shin Tae,https://bola.okezone.com/read/2022/10/17/51/2688317/vietnam-sebut-shin-tae-yong-keras-kepala-hingga-bawa-bawa-tragedi-sepakbola-gajah-di-piala-aff,Bola Okezone,Olahraga
Timnas Indonesia U,https://bola.okezone.com/read/2022/10/18/51/2689151/timnas-indonesia-u-20-bakal-tantang-timnas-belanda-u-20-justin-hubner-bela-yang-mana,Bola Okezone,Olahraga
Timnas U,https://babel.antaranews.com/berita/302561/timnas-u-20-dan-bayangan-masa-depan-gemilang-sepak-bola-nasional,ANTARA Bangka Belitung,Olahraga
Media Vietnam Sebut Park Hang,https://bola.okezone.com/read/2022/10/18/51/2689202/media-vietnam-sebut-park-hang-seo-bakal-tangani-timnas-indonesia-efek-kedatangan-presiden-fifa,Bola Okezone,Olahraga
Menpora Amali Lepas Timnas Sepakbola Amputasi Indonesia ke World Cup Amputee Football 2022 Turkey ,https://www.kemenpora.go.id/detail/2615/menpora-amali-lepas-timnas-sepakbola-amputasi-indonesia-ke-world-cup-amputee-football-2022-turkey,kemenpora.go.id,Olahraga
Timnas Sepak Bola U,https://www.kompasiana.com/budi82570/633eff9f08a8b50756492d84/timnas-sepakbola-u-17-membuka-asa-ke-piala-asia,Kompasiana.com - Kompasiana.com,Olahraga
Timnas sepak bola amputasi Indonesia awali Piala Dunia lawan Argentina ,https://kalsel.antaranews.com/berita/344389/timnas-sepak-bola-amputasi-indonesia-awali-piala-dunia-lawan-argentina,ANTARA Kalimantan Selatan,Olahraga
Pakar Sepak Bola Malaysia Beberkan Alasan Mengapa Timnas Indonesia Tak Boleh Sepelekan Thailand di Piala AFF 2022 ,https://superball.bolasport.com/read/333493965/pakar-sepak-bola-malaysia-beberkan-alasan-mengapa-timnas-indonesia-tak-boleh-sepelekan-thailand-di-piala-aff-2022,Superball,Olahraga
5 Sosok Penting di Balik Kesuksesan Shin Tae,https://bola.okezone.com/read/2022/10/05/51/2681474/5-sosok-penting-di-balik-kesuksesan-shin-tae-yong-melatih-timnas-indonesia-nomor-1-legenda-sepakbola-tanah-air,Bola Okezone,Olahraga
Timnas U,https://sport.detik.com/sepakbola/liga-indonesia/d-6351140/timnas-u-20-akan-tc-ke-eropa-ketum-pssi-jangan-aneh-aneh,detikSport,Olahraga
Cerita Jokowi Kaget Timnas Sepakbola Amputasi RI Lolos ke Piala Dunia ,https://sport.detik.com/sepakbola/detiktv/d-6304389/cerita-jokowi-kaget-timnas-sepakbola-amputasi-ri-lolos-ke-piala-dunia,detikSport,Olahraga
Shin Tae,https://bola.okezone.com/read/2022/09/18/51/2670068/shin-tae-yong-bawa-2-kelompok-timnas-indonesia-lolos-ke-piala-asia-sty-bangkitkan-sepakbola-nasional,Bola Okezone,Olahraga
4 Eks Pemain Top yang Kini Jadi Pelatih Timnas Peserta Piala Dunia 2022 Nomor 1 Mantan Pemain PSG ,https://bola.okezone.com/read/2022/10/18/51/2689200/4-eks-pemain-top-yang-kini-jadi-pelatih-timnas-peserta-piala-dunia-2022-nomor-1-mantan-pemain-psg,Bola Okezone,Olahraga
Gagal Jadi Tuan Rumah Piala Asia 2023 PSSI Langsung Persiapkan Timnas Indonesia ,https://www.indosport.com/sepakbola/20221017/gagal-jadi-tuan-rumah-piala-asia-2023-pssi-langsung-persiapkan-timnas-indonesia,INDOSPORT.COM,Olahraga
Timnas Indonesia Terus Berkembang Sepak Bola Thailand Terima Tamparan dari Vietnam ,https://superball.bolasport.com/read/333521130/timnas-indonesia-terus-berkembang-sepak-bola-thailand-terima-tamparan-dari-vietnam,Superball,Olahraga
Timnas Indonesia Vs Curacao Jangan Salah Curacao Bukan Nama Klub Sepak Bola ,https://sport.tempo.co/read/1637703/timnas-indonesia-vs-curacao-jangan-salah-curacao-bukan-nama-klub-sepak-bola,Sport Tempo.co,Olahraga
Insiden Sepakbola Gajah Bikin Vietnam Ketakutan Bertemu Timnas Indonesia Asuhan Shin Tae,https://bola.okezone.com/read/2022/09/29/51/2677077/insiden-sepakbola-gajah-bikin-vietnam-ketakutan-bertemu-timnas-indonesia-asuhan-shin-tae-yong-di-piala-aff-2022,Bola Okezone,Olahraga
