title,link,source,topic
Maskapai Garuda Indonesia Kembali Operasikan Rute Jakarta,https://industri.kontan.co.id/news/maskapai-garuda-indonesia-kembali-operasikan-rute-jakarta-melbourne,Industri Kontan,Pariwisata
Garuda Tiba,https://www.cnbcindonesia.com/market/20221008101142-17-378174/garuda-tiba-tiba-untung-rp-57-t-ini-alasan-utamanya,CNBC Indonesia,Pariwisata
Garuda Hilang Ini 20 Maskapai Terbaik Dunia 2022 ,https://www.cnbcindonesia.com/news/20220926065109-4-374830/garuda-hilang-ini-20-maskapai-terbaik-dunia-2022,CNBC Indonesia,Pariwisata
Garuda Out dari 20 Besar Maskapai Terbaik Dunia What Next ,https://www.cnbcindonesia.com/opini/20221004102715-14-377005/garuda-out-dari-20-besar-maskapai-terbaik-dunia-what-next,CNBC Indonesia,Pariwisata
Babak Baru Perjalanan Garuda Indonesia Setelah PKPU ,https://www.cnbcindonesia.com/opini/20220919141043-14-373241/babak-baru-perjalanan-garuda-indonesia-setelah-pkpu,CNBC Indonesia,Pariwisata
Apa Kabar Garuda Indonesia ,https://publika.rmol.id/read/2022/09/19/547858/apa-kabar-garuda-indonesia,RMOL,Pariwisata
Kabar Gembira Garuda Indonesia Untung Rp 5728 Triliun ,https://travel.detik.com/travel-news/d-6313873/kabar-gembira-garuda-indonesia-untung-rp-5728-triliun,detikTravel,Pariwisata
Syarat Terbaru Naik Pesawat Garuda Indonesia Lion Air dan AirAsia ,https://traveling.bisnis.com/read/20221016/361/1587952/syarat-terbaru-naik-pesawat-garuda-indonesia-lion-air-dan-airasia,Bisnis.com,Pariwisata
Garuda Indonesia Tebar Diskon Tiket Pesawat Berikut Cara Klaimnya ,https://www.suara.com/bisnis/2022/10/11/125709/garuda-indonesia-tebar-diskon-tiket-pesawat-berikut-cara-klaimnya,Suara.com,Pariwisata
Garuda Indonesia Dapat Fasilitas Pembiayaan Rp 725 Miliar untuk Apa Saja ,https://money.kompas.com/read/2022/09/17/170000626/garuda-indonesia-dapat-fasilitas-pembiayaan-rp-725-miliar-untuk-apa-saja-,Kompas.com - Kompas.com,Pariwisata
Tok RUPS Setujui Garuda Indonesia Galang Dana Publik ,https://www.beritasatu.com/ekonomi/989165/tok-rups-setujui-garuda-indonesia-galang-dana-publik,BeritaSatu.com,Pariwisata
Kinerja Garuda Membaik Ekonom Kenapa Mesti Dapat Suntikan PMN Rp 75 T ,https://www.tribunnews.com/bisnis/2022/09/23/kinerja-garuda-membaik-ekonom-kenapa-mesti-dapat-suntikan-pmn-rp-75-t,Tribunnews.com,Pariwisata
Ada PMN Garuda Indonesia Bisa Cetak Laba USD 647 Juta di 2026 ,https://www.liputan6.com/bisnis/read/5077614/ada-pmn-garuda-indonesia-bisa-cetak-laba-usd-647-juta-di-2026,Liputan6.com,Pariwisata
