title,link,source,topic
BRIN dan Museum Trinil lakukan ekskavasi di Sungai Bengawan Solo ,https://jatim.antaranews.com/berita/646397/brin-dan-museum-trinil-lakukan-ekskavasi-di-sungai-bengawan-solo,ANTARA Jawa Timur,Pariwisata
Museum Kota Makassar Sejarah Arsitektur Bangunan dan Koleksi ,https://www.detik.com/sulsel/wisata/d-6353856/museum-kota-makassar-sejarah-arsitektur-bangunan-dan-koleksi,detikcom,Pariwisata
Museum di Ukraina Lestarikan Seni dan Budaya Melalui NFT ,https://www.liputan6.com/crypto/read/5099115/museum-di-ukraina-lestarikan-seni-dan-budaya-melalui-nft,Liputan6.com,Pariwisata
Dibangun Sejak 2018 Museum Kebudayaan Lamongan Belum Difungsikan Kini Penuh Tumpukan Sampah Daun ,https://jatim.tribunnews.com/2022/10/18/dibangun-sejak-2018-museum-kebudayaan-lamongan-belum-difungsikan-kini-penuh-tumpukan-sampah-daun,TribunJatim.com,Pariwisata
Penampakan Si Manis Jembatan Ancol dan Nyi Roro Kidul di Museum Bahari ,https://www.kompasiana.com/taufikuieks/634e187e4addee14d6664344/penampakan-si-manis-jembatan-ancol-dan-nyi-roro-kidul-di-museum-bahari,Kompasiana.com - Kompasiana.com,Pariwisata
Berkenalan dengan Wenno Edukator Museum Gedung Sate Bandung ,https://www.detik.com/jabar/berita/d-6350675/berkenalan-dengan-wenno-edukator-museum-gedung-sate-bandung,detikcom,Pariwisata
Museum of Islamic Art Gift Shop Kembali Dibuka dengan Koleksi Tambahan ,https://ihram.republika.co.id/berita/rjvx6p430/museum-of-islamic-art-gift-shop-kembali-dibuka-dengan-koleksi-tambahan,Ihram.co.id,Pariwisata
Telusuri Museum Bahari di Malam Hari Unik dan Menegangkan ,https://www.kompasiana.com/tantiamelia6690/634d214fa65da832e334e444/telusuri-museum-bahari-di-malam-hari-unik-dan-menegangkan,Kompasiana.com - Kompasiana.com,Pariwisata
Wali Kota Parepare temui Ilham Habibie bahas pembangunan Museum BJ Habibie ,https://makassar.antaranews.com/berita/434073/wali-kota-parepare-temui-ilham-habibie-bahas-pembangunan-museum-bj-habibie,ANTARA Sulawesi Utara,Pariwisata
Hari Museum Indonesia Berikut Tiga Museum yang Diluncurkan Kemendikbudristek ,https://www.suarasurabaya.net/senggang/2022/hari-museum-indonesia-berikut-tiga-museum-yang-diluncurkan-kemendikbudristek/,Suara Surabaya,Pariwisata
Hari Museum Nasional 2022 Sejarah dan Daftar Museum di Bandung ,https://www.detik.com/jabar/berita/d-6341354/hari-museum-nasional-2022-sejarah-dan-daftar-museum-di-bandung,detikcom,Pariwisata
10 Outfit Mewah Seleb di Academy Museum Gala 2022 Elegan ,https://www.idntimes.com/life/women/tyas-hanina-1/outfit-mewah-seleb-di-academy-museum-gala2022,IDN Times,Pariwisata
Pemprov Sulteng ajak warga jadikan museum tempat menimba ilmu ,https://sulteng.antaranews.com/berita/255997/pemprov-sulteng-ajak-warga-jadikan-museum-tempat-menimba-ilmu,ANTARA Sulawesi Tengah,Pariwisata
Bosan ke Mal Yuk Sesekali Menikmati Karya Seni di Museum ,https://www.cnnindonesia.com/gaya-hidup/20221014155226-269-860692/bosan-ke-mal-yuk-sesekali-menikmati-karya-seni-di-museum,CNN Indonesia,Pariwisata
Kunjungi Museum Pedir Ketua Dekranasda Aceh Nyatakan Minat Replikasi Beberapa Kerajinan Asli Aceh ,http://humas.acehprov.go.id/kunjungi-museum-pedir-ketua-dekranasda-aceh-nyatakan-minat-replikasi-beberapa-kerajinan-asli-aceh/,Humas Aceh,Pariwisata
Museum Batam tambah Kendi Jenever sebagai koleksi baru ,https://kepri.antaranews.com/berita/135777/museum-batam-tambah-kendi-jenever-sebagai-koleksi-baru,ANTARA Kepulauan Riau,Pariwisata
Wisata Edukasi Sejarah TNI di Museum Satriamandala ,https://ditsmp.kemdikbud.go.id/wisata-edukasi-sejarah-tni-di-museum-satriamandala/,Kementerian Pendidikan dan Kebudayaan,Pariwisata
Hari Museum Nasional 12 Oktober Ini Awal Mula Peringatannya ,https://news.detik.com/berita/d-6335559/hari-museum-nasional-12-oktober-ini-awal-mula-peringatannya,detikNews,Pariwisata
Pameran Bersama Enam Museum Abdul Rahmat  Perlu Pengoptimalan Museum Sebagai Kemajuan Budaya  Situs Resmi Pemerintah Kabupaten Tuban ,https://tubankab.go.id/entry/pameran-bersama-enam-museum-abdul-rahmat-perlu-pengoptimalan-museum-sebagai-kemajuan-budaya,Tubankab,Pariwisata
Belajar Sejarah Melalui Museum Balanga ,https://mmc.kalteng.go.id/berita/read/39148/belajar-sejarah-melalui-museum-balanga,MULTIMEDIA CENTER PROVINSI KALIMANTAN TENGAH - MMC Kalteng,Pariwisata
Museum Ahmad Yani Jakarta Lokasi dan Sejarah Tempatnya ,https://news.detik.com/berita/d-6322019/museum-ahmad-yani-jakarta-lokasi-dan-sejarah-tempatnya,detikNews,Pariwisata
FOTO Kapal Selam Raksasa Era Uni Soviet Diubah Jadi Museum ,https://www.cnnindonesia.com/teknologi/20221013082331-201-859896/foto-kapal-selam-raksasa-era-uni-soviet-diubah-jadi-museum,CNN Indonesia,Pariwisata
VIDEO Museum Taman Prasasti  TPU Modern Pertama di Dunia ,https://wartakota.tribunnews.com/2022/10/17/video-museum-taman-prasasti-tpu-modern-pertama-di-dunia,Wartakota,Pariwisata
6 Museum di Jakarta Gratis Dikunjungi Koleksi Unik Menambah Wawasan ,https://www.intipseleb.com/gaya-hidup/46296-6-museum-di-jakarta-gratis-dikunjungi-koleksi-unik-menambah-wawasan,IntipSeleb.com,Pariwisata
Daftar Museum di Kota Bandung Tidak Hanya Gedung Sate atau Museum Konferensi Asia Afrika ,https://bandung.kompas.com/read/2022/09/18/224014778/daftar-museum-di-kota-bandung-tidak-hanya-gedung-sate-atau-museum-konferensi?page=all,Kompas.com - Kompas.com,Pariwisata
Harga Tiket Museum Masuk Lubang Buaya dan Fasilitasnya ,https://www.cnnindonesia.com/gaya-hidup/20220927152316-275-853272/harga-tiket-museum-masuk-lubang-buaya-dan-fasilitasnya,CNN Indonesia,Pariwisata
Keakraban Hailey Bieber dan Selena Gomez di Acara Academy Museum Gala ,https://harpersbazaar.co.id/articles/read/10/2022/18040/keakraban-hailey-bieber-dan-selena-gomez-di-acara-academy-museum-gala,Harper's Bazaar Indonesia,Pariwisata
10 Rekomendasi Museum di Yogyakarta Cocok untuk Wisata Edukasi ,https://yogyakarta.kompas.com/read/2022/09/19/153749678/10-rekomendasi-museum-di-yogyakarta-cocok-untuk-wisata-edukasi?page=all,Kompas.com - Kompas.com,Pariwisata
Kemendikbudristek Jajaki Kerja Sama dengan Museum AS ,https://www.suarasurabaya.net/kelanakota/2022/kemendikbudristek-jajaki-kerja-sama-dengan-museum-as/,Suara Surabaya,Pariwisata
Museum Karbol Mengedukasi Peserta Tour De Campus AAU ,https://tni-au.mil.id/museum-karbol-mengedukasi-peserta-tour-de-campus-aau/,TNI AU,Pariwisata
