title,link,source,topic
Jalan,https://www.kompasiana.com/neni45578/632c2b0808a8b543d718d672/jalan-jalan-ke-kawasan-wisata-kota-tua-dengan-wajah-barunya-yang-semakin-cantik,Kompasiana.com - Kompasiana.com,Pariwisata
Berencana Jalan,https://travel.kompas.com/read/2022/10/05/092100127/berencana-jalan-jalan-di-jakarta-ini-5-tempat-wisata-terkini-yang-wajib,Kompas.com - Kompas.com,Pariwisata
7 Tempat Wisata yang Instagrammable di Jakarta ,https://travel.tempo.co/read/1646477/7-tempat-wisata-yang-instagrammable-di-jakarta,Travel Tempo.co,Pariwisata
Tempat Wisata Gratis di Jakarta untuk Liburan Keluarga Berikut Ini 5 Destinasinya ,https://kabarpriangan.pikiran-rakyat.com/pariwisata/pr-1485547941/tempat-wisata-gratis-di-jakarta-untuk-liburan-keluarga-berikut-ini-5-destinasinya,Kabar Priangan - Kabar-Priangan,Pariwisata
FOTO Kawasan Wisata Kota Tua Jakarta Selesai di Revitalisasi ,https://terkenal.co.id/read/news/13228/foto-kawasan-wisata-kota-tua-jakarta-selesai-di-revitalisasi/,Terkenal.co.id,Pariwisata
Kota Tua Destinasi 3 Daya Tarik Wisata Sejarah Bernuansa Eropa Klasik di Surabaya ,https://intrik.id/2022/09/kota-tua-destinasi-3-daya-tarik-wisata-sejarah-bernuansa-eropa-klasik-di-surabaya/,intrik.id,Pariwisata
Pecah Abis 3 Momen Seru Jazz Goes To Kota Tua 2022 ,https://hypeabis.id/read/17470/pecah-abis-3-momen-seru-jazz-goes-to-kota-tua-2022,Hypeabis.id,Pariwisata
15 Rekomendasi Wisata yang Ada di Kota Tua Jakarta ,https://www.cnnindonesia.com/gaya-hidup/20220812133110-275-833853/15-rekomendasi-wisata-yang-ada-di-kota-tua-jakarta,CNN Indonesia,Pariwisata
Cerita Perjalanan Wisata Kota Tua Festival Inijakarta ,https://www.kompasiana.com/shotaroyaki0686/63283d54165bcf137a3c9373/cerita-perjalanan-wisata-kota-tua-festival-inijakarta,Kompasiana.com - Kompasiana.com,Pariwisata
Wisata Kota Tua yang Menarik dan Penuh Sejarah Jangan Sampai Terlewat  merdeka ,https://www.merdeka.com/jabar/wisata-kota-tua-yang-menarik-penuh-sejarah-jangan-sampai-terlewat-kln.html,Merdeka.com,Pariwisata
6 Aktivitas Akhir Pekan di Kota Tua Jakarta Bersepeda hingga Foto ,https://travel.kompas.com/read/2022/08/27/132953927/6-aktivitas-akhir-pekan-di-kota-tua-jakarta-bersepeda-hingga-foto?page=all,Kompas.com - Kompas.com,Pariwisata
Sejarah dan Nama Lain Museum Fatahillah yang Terletak di Kota Tua Jakarta ,https://kumparan.com/berita-terkini/sejarah-dan-nama-lain-museum-fatahillah-yang-terletak-di-kota-tua-jakarta-1yvASUwTFZc,kumparan.com - kumparan.com,Pariwisata
Rencana Relokasi PKL Kota Tua Tuai Penolakan Strategi Ramaikan Pengunjung Diterapkan ,https://megapolitan.kompas.com/read/2022/09/29/11234101/rencana-relokasi-pkl-kota-tua-tuai-penolakan-strategi-ramaikan-pengunjung?page=all,Kompas.com - Megapolitan Kompas.com,Pariwisata
5 Destinasi Wisata di Indonesia Ini Bikin Paru,https://www.cnnindonesia.com/gaya-hidup/20220919094115-269-849592/5-destinasi-wisata-di-indonesia-ini-bikin-paru-paru-tidak-cepat-tua,CNN Indonesia,Pariwisata
Metamorfosis Strategi Wisata Sejarah di Kota Palembang ,https://beritapagi.co.id/2022/10/18/metamorfosis-strategi-wisata-sejarah-di-kota-palembang.html,BERITAPAGI,Pariwisata
Bakal Jadi Pusat Ekonomi Budaya Ini 10 Objek Wisata di Kota Tua ,https://www.viva.co.id/gaya-hidup/travel/1490764-bakal-jadi-pusat-ekonomi-budaya-ini-10-objek-wisata-di-kota-tua,VIVA - VIVA.co.id,Pariwisata
10 Pesona Kota Tua Jakarta Tidak Boleh Dilewatkan Wisatawan ,https://www.viva.co.id/gaya-hidup/travel/1478571-kota-tua-jakarta,VIVA - VIVA.co.id,Pariwisata
Cetak Petinju Berprestasi di Kota Tua Sekaligus Promosikan Destinasi Wisata Jakarta ,https://www.obsessionnews.com/cetak-petinju-berprestasi-di-kota-tua-sekaligus-promosikan-destinasi-wisata-jakarta/,Obsession News,Pariwisata
Jelajah Jejak 0 Kilometer Batavia di Night at Museum Bahari ,https://www.kompasiana.com/hiquds/634b860c08a8b552e4702012/jelajah-jejak-0-kilometer-jakarta-di-night-at-museum,Kompasiana.com - Kompasiana.com,Pariwisata
Buka Festival Dalang Anak di Kota Tua Anies Pergelaran Wayang itu Tontonan Sekaligus Tuntunan ,https://megapolitan.kompas.com/read/2022/09/22/16345761/buka-festival-dalang-anak-di-kota-tua-anies-pergelaran-wayang-itu?page=all,Kompas.com - Megapolitan Kompas.com,Pariwisata
Itinerary Seharian di Kota Tua Jakarta dari Sunda Kelapa ke Museum Fatahillah ,https://travel.kompas.com/read/2022/06/10/160400027/itinerary-seharian-di-kota-tua-jakarta-dari-sunda-kelapa-ke-museum-fatahillah?page=all,Kompas.com - Kompas.com,Pariwisata
Aktivitas Seru di Kota Tua Jakarta untuk Refreshing Weekend ,https://www.idntimes.com/travel/destination/dhiya-azzahra/aktivitas-seru-di-kota-tua-jakarta,IDN Times,Pariwisata
Kota Intan Jadi Pintu Masuk Destinasi Wisata Kota Tua Jakarta ,https://megapolitan.kompas.com/read/2022/07/11/21330491/kota-intan-jadi-pintu-masuk-destinasi-wisata-kota-tua-jakarta?page=all,Kompas.com - Megapolitan Kompas.com,Pariwisata
Akhir Pekan Kawasan Kota Tua Ramai Dikunjungi Warga dari Berwisata hingga Nikmati Festival Musik ,https://megapolitan.kompas.com/read/2022/09/11/19564441/akhir-pekan-kawasan-kota-tua-ramai-dikunjungi-warga-dari-berwisata-hingga?page=all,Kompas.com - Megapolitan Kompas.com,Pariwisata
PKL Kota Tua Siap Gelar Aksi Damai di Balaikota DKI Jakarta ,https://wartalika.id/2022/09/19/pkl-kota-tua-siap-gelar-aksi-damai-di/,Wartalika,Pariwisata
Ingin Wisata ke Kota Tua Saat Libur Tahun Baru Simak Ketentuannya ,https://megapolitan.kompas.com/read/2021/12/31/10463241/ingin-wisata-ke-kota-tua-saat-libur-tahun-baru-simak-ketentuannya,Kompas.com - Megapolitan Kompas.com,Pariwisata
10 Wisata Kota Tua Jakarta yang Instagramable Penuh Spot Menarik ,https://hot.liputan6.com/read/4914031/10-wisata-kota-tua-jakarta-yang-instagramable-penuh-spot-menarik,hot liputan6.com,Pariwisata
5 Tips Wisata ke Kota Tua agar Libur Lebaran Semakin Seru ,https://nasional.kompas.com/read/2022/05/03/12364761/5-tips-wisata-ke-kota-tua-agar-libur-lebaran-semakin-seru,Kompas.com - Nasional Kompas.com,Pariwisata
VIDEO Geliat Kawasan Kota Tua Batavia Usai Revitalisasi ,https://www.cnnindonesia.com/gaya-hidup/20220911125833-274-846233/video-geliat-kawasan-kota-tua-batavia-usai-revitalisasi,CNN Indonesia,Pariwisata
Kawasan Wisata Kota Tua Tetap Buka Saat Ramadhan Tutup Menjelang Maghrib ,https://megapolitan.kompas.com/read/2022/04/05/19365151/kawasan-wisata-kota-tua-tetap-buka-saat-ramadhan-tutup-menjelang-maghrib,Kompas.com - Megapolitan Kompas.com,Pariwisata
4 Rekomendasi Tempat Wisata di Jakarta Barat Selain Mall ,https://kumparan.com/jendela-dunia/4-rekomendasi-tempat-wisata-di-jakarta-barat-selain-mall-1yuTTN8oCqD,kumparan.com - kumparan.com,Pariwisata
Nama Kota Tua Diganti Jadi Batavia Ini Pintu Kecil Menuju Benteng Batavia Zaman Belanda ,https://kurusetra.republika.co.id/posts/179345/nama-kota-tua-diganti-jadi-batavia-ini-pintu-kecil-menuju-benteng-batavia-zaman-belanda,Republika,Pariwisata
Kota Tua Jakarta Bersiap Mendunia ,https://www.kompas.id/baca/riset/2022/08/01/kota-tua-jakarta-bersiap-mendunia,kompas.id,Pariwisata
Menilik Potensi Wisata Bersejarah Kota Tua ,https://www.kompas.com/properti/read/2022/06/17/090000921/menilik-potensi-wisata-bersejarah-kota-tua?page=all,Kompas.com - KOMPAS.com,Pariwisata
BERITA FOTO Wajah Baru Kota Tua Jakarta yang Hampir Rampung ,https://megapolitan.kompas.com/read/2022/08/22/20015901/berita-foto-wajah-baru-kota-tua-jakarta-yang-hampir-rampung?page=all,Kompas.com - Megapolitan Kompas.com,Pariwisata
Yuk Wisata Sejarah dengan Mengunjungi Museum di Jakarta Hemat Kantong  Kaya Informasi ,https://hypeabis.id/read/17355/yuk-wisata-sejarah-dengan-mengunjungi-museum-di-jakarta-hemat-kantong-kaya-informasi,Hypeabis.id,Pariwisata
10 Wisata Urban Jakarta ada di Kawasan Kota Tua dan Glodok ,https://www.idntimes.com/travel/destination/dhiya-azzahra/wisata-urban-jakarta-ada-di-kota-tua-dan-glodok,IDN Times,Pariwisata
Kawasan Kota Tua Jakarta Buka Lagi Kapasitas Hanya 25 Persen ,https://travel.kompas.com/read/2021/11/10/141500627/kawasan-kota-tua-jakarta-buka-lagi-kapasitas-hanya-25-persen,Kompas.com - Kompas.com,Pariwisata
