title,link,source,topic
Perguruan Tinggi Diminta Sediakan Program Kampus Merdeka Mandiri ,https://www.kompas.id/baca/humaniora/2022/10/10/perguruan-tinggi-diminta-sediakan-program-kampus-merdeka-mandiri,kompas.id,Pendidikan
Program Kampus Merdeka akan Masuk ke Kampus di Bawah Kemenag ,https://www.republika.co.id/berita/riea65430/program-kampus-merdeka-akan-masuk-ke-kampus-di-bawah-kemenag,Republika Online,Pendidikan
Kampus Merdeka Fair 2022 Digelar di 6 Kota Ini Tujuan dan Agenda Acaranya ,https://jurnalsoreang.pikiran-rakyat.com/pendidikan/pr-1015693036/kampus-merdeka-fair-2022-digelar-di-6-kota-ini-tujuan-dan-agenda-acaranya,Jurnal Soreang - Jurnal Soreang,Pendidikan
Gelorakan Semangat Kolaborasi Penerapan MBKM Melalui Kampus Merdeka Fair 2022 ,https://radioedukasi.kemdikbud.go.id/read/3434/gelorakan-semangat-kolaborasi-penerapan-mbkm-melalui-kampus-merdeka-fair-2022-.html,Radio Edukasi,Pendidikan
Belajar Budaya Lombok Lewat Pertukaran Mahasiswa ,https://www.unila.ac.id/belajar-budaya-lombok-lewat-pertukaran-mahasiswa/,Universitas Lampung,Pendidikan
Terapkan Kampus Merdeka LP3I Tingkatkan Pendidikan Vokasi ,https://www.tribunnews.com/pendidikan/2022/10/12/terapkan-kampus-merdeka-lp3i-tingkatkan-pendidikan-vokasi,Tribunnews.com,Pendidikan
Mahasiswa Pilih Kotim Jalankan Program Merdeka Belajar Kampus Merdeka ,https://www.radarsampit.com/berita/mahasiswa-pilih-kotim-jalankan-program-merdeka-belajar-kampus-merdeka.html,radarsampit.com,Pendidikan
SV UGM dan FISIP Unpad Sepakati Kerja Sama Merdeka Belajar,https://sv.ugm.ac.id/2022/09/19/sv-ugm-dan-fisip-unpad-sepakati-kerja-sama-merdeka-belajar-kampus-merdeka/?utm_source=rss&utm_medium=rss&utm_campaign=sv-ugm-dan-fisip-unpad-sepakati-kerja-sama-merdeka-belajar-kampus-merdeka,Sekolah Vokasi UGM,Pendidikan
Dukung Kampus Merdeka dengan Inovasi ,https://www.republika.co.id/berita/rinrt8430/dukung-kampus-merdeka-dengan-inovasi,Republika Online,Pendidikan
Kolaborasi Merdeka Belajar Kampus Merdeka UMM dan Forkom Pokdawris Kota Malang ,https://www.kliktimes.com/sastra-budaya/pr-7294914999/kolaborasi-merdeka-belajar-kampus-merdeka-umm-dan-forkom-pokdawris-kota-malang,Klik Times - Kliktimes,Pendidikan
