title,link,source,topic
Siswa SMP Mendominasi Pemenang OSN Tingkat Nasional 2022 Jenjang SMAMA Bidang Fisika ,https://kampus.republika.co.id/posts/182836/siswa-smp-mendominasi-pemenang-osn-tingkat-nasional-2022-jenjang-smama-bidang-fisika,Republika,Pendidikan
Contoh Surat Rekomendasi Beasiswa Bahasa Indonesia  Inggris Pelajar Harus Tahu  merdeka ,https://www.merdeka.com/trending/contoh-surat-rekomendasi-beasiswa-bahasa-indonesia-amp-inggris-pelajar-harus-tahu-kln.html,Merdeka.com,Pendidikan
900 Siswa Berkompetisi di Olimpiade Sains Nasional OSN Tahun 2022 Jenjang SMAMA ,https://kampus.republika.co.id/posts/181420/900-siswa-berkompetisi-di-olimpiade-sains-nasional-osn-tahun-2022-jenjang-smama,Republika,Pendidikan
Ini Juara OSN Tingkat Nasional 2022 Jenjang SMAMA Bidang Ekonomi Cek dari Sekolahmu ,https://kampus.republika.co.id/posts/182028/ini-juara-osn-tingkat-nasional-2022-jenjang-sma-ma-bidang-ekonomi-cek-dari-sekolahmu,Republika,Pendidikan
Halim Siswa Pendiam Mandabara Yang Sabet Berbagai Medali Bidang Fisika ,https://banjarnegara.kemenag.go.id/halim-siswa-pendiam-mandabara-yang-sabet-berbagai-medali-bidang-fisika/,Kementerian Agama Kabupaten Banjarnegara - Kemenag Banjarnegara,Pendidikan
Fiqri Raih Medali Perak ,https://lombokpost.jawapos.com/pendidikan/17/10/2022/siswa-man-2-mataram-juara-kompetisi-sains-madrasah-nasional-2022/,Lombok Post,Pendidikan
Hebat Siswa MAN 2 Mataram Raih Perunggu di OSN 2022 ,https://lombokpost.jawapos.com/nasional/11/10/2022/hebat-siswa-man-2-mataram-raih-perunggu-di-osn-2022/,Lombok Post,Pendidikan
260 Peserta Ikut Olimpiade Matematika dan Ilmu Pengetahuan Alam ONMIPA Tingkat Nasional di UB ,https://kampus.republika.co.id/posts/178486/260-peserta-ikut-olimpiade-matematika-dan-ilmu-pengetahuan-alam-onmipa-tingkat-nasional-di-ub,Republika,Pendidikan
Tim Indonesia Raih Medali Emas di Ajang Olimpiade Fisika Internasional ,https://www.kompas.com/edu/read/2022/07/19/092032871/tim-indonesia-raih-medali-emas-di-ajang-olimpiade-fisika-internasional?page=all,Kompas.com - KOMPAS.com,Pendidikan
Juara Umum ITB Borong 14 Penghargaan Olimpiade Nasional MIPA 2022 ,https://tekno.tempo.co/read/1640241/juara-umum-itb-borong-14-penghargaan-olimpiade-nasional-mipa-2022,Tekno Tempo,Pendidikan
