title,link,source,topic
Mahasiswa UNDIP Raih Juara Ketiga Pilmapres 2022 Kategori Diploma ,https://www.undip.ac.id/post/26687/mahasiswa-undip-raih-juara-ketiga-pilmapres-2022-kategori-diploma.html,Universitas Diponegoro,Pendidikan
Humas Undip Adakan Pelatihan Jurnalistik Untuk Tingkatkan Skill Menulis ,https://www.undip.ac.id/post/26697/humas-undip-adakan-pelatihan-jurnalistik-untuk-tingkatkan-skill-menulis.html,Universitas Diponegoro,Pendidikan
Menko Polhukam RI Hadiri Dies Natalis Ke,https://www.undip.ac.id/post/26645/menko-polhukam-ri-hadiri-dies-natalis-ke-65-undip.html,Universitas Diponegoro,Pendidikan
UNDIP Fasilitasi Mahasiswa dengan Bus Kampus ,https://www.undip.ac.id/post/26625/undip-fasilitasi-mahasiswa-dengan-bus-kampus.html,Universitas Diponegoro,Pendidikan
Rektor UNDIP Resmikan Pilar Cendekia ,https://www.undip.ac.id/post/26641/rektor-undip-resmikan-pilar-cendekia.html,Universitas Diponegoro,Pendidikan
UNDIP Dorong Minat Baca Anak di Kabupaten Batang ,https://www.undip.ac.id/post/26633/undip-dorong-minat-baca-anak-di-kabupaten-batang.html,Universitas Diponegoro,Pendidikan
Seleksi Terbuka Penerimaan Tenaga Kependidikan Kontrak TKK Universitas Diponegoro Tahun 2022 ,https://www.undip.ac.id/post/26565/seleksi-terbuka-penerimaan-tenaga-kependidikan-kontrak-tkk-universitas-diponegoro-tahun-2022.html,Universitas Diponegoro,Pendidikan
Rayakan Dies Natalis Ke,https://www.undip.ac.id/post/26603/rayakan-dies-natalis-ke-61fk-undip-makin-maju-dan-modern.html,Universitas Diponegoro,Pendidikan
UNDIP Sukses Gelar FP2TPKI 2022 dan Seminar Nasional ,https://www.undip.ac.id/post/26314/undip-sukses-gelar-fp2tpki-2022-dan-seminar-nasional.html,Universitas Diponegoro,Pendidikan
Komitmen UNDIP Tingkatkan Kesejahteraan Mahasiswa Dengan Memberikan Makanan Bergizi ,https://www.undip.ac.id/post/26553/komitmen-undip-tingkatkan-kesejahteraan-mahasiswa-dengan-memberikan-makanan-bergizi.html,Universitas Diponegoro,Pendidikan
Mahasiswa UNDIP Raih Juara 1 dan Best Speaker pada Ajang Himakua Paper Competition 2022 ,https://www.undip.ac.id/post/26690/mahasiswa-undip-raih-juara-1-dan-best-speaker-pada-ajang-himakua-paper-competition-2022.html,Universitas Diponegoro,Pendidikan
UNDIP Terima Kunjungan Kerja dari Tim Universitas Terbuka ,https://www.undip.ac.id/post/26384/undip-terima-kunjungan-kerja-dari-tim-universitas-terbuka.html,Universitas Diponegoro,Pendidikan
Olimpiade Diponegoro Olimdipo 2022 Bangkitkan Semangat dan Apresiasi Besar di Bidang Olahraga ,https://www.undip.ac.id/post/26638/olimpiade-diponegoro-olimdipo-2022-bangkitkan-semangat-dan-apresiasi-besar-di-bidang-olahraga.html,Universitas Diponegoro,Pendidikan
