title,link,source,topic
Universitas Pelita Harapan Juarai Puan Maharani Cup ,https://www.jawapos.com/sports/19/09/2022/universitas-pelita-harapan-juarai-puan-maharani-cup/,JawaPos,Pendidikan
UPH Awards 2022 Wujud Rasa Bangga Universitas Pelita Harapan  ,https://mancode.id/berita/uph-awards-2022-wujud-rasa-bangga-universitas-pelita-harapan-pada-mahasiswa-berprestasi/,Mancode Indonesia,Pendidikan
Bank SulutGo Minta Bantuan UPH Buat Tingkatkan Kualitas SDM ,https://www.liputan6.com/bisnis/read/5093758/bank-sulutgo-minta-bantuan-uph-buat-tingkatkan-kualitas-sdm,Liputan6.com,Pendidikan
Universitas Pelita Harapan Buka Lowongan Kerja Besar,https://magetan.pikiran-rakyat.com/ekonomi/pr-2245599297/universitas-pelita-harapan-buka-lowongan-kerja-besar-besaran-untuk-lulusan-s1-s2-ada-70-formasicek-syaratnya,Portal Magetan - Portal Magetan,Pendidikan
Kalahkan Perbanas UPH Juara Basket Puan Maharani Cup ,https://www.liputan6.com/bola/read/5074436/kalahkan-perbanas-uph-juara-basket-puan-maharani-cup,Liputan6.com,Pendidikan
UPH Tingkatkan Kompetensi Praktisi Melalui Pendidikan Lanjut Majukan Pariwisata ,https://www.republika.co.id/berita/rjby7c459/uph-tingkatkan-kompetensi-praktisi-melalui-pendidikan-lanjut-majukan-pariwisata,Republika Online,Pendidikan
beyond reputation ,https://www.prindonesia.co/detail/2832/Pertama-di-Indonesia-Mahasiswa-UPH-Kampus-Medan-Buat-Aplikasi-Kampanye-Lingkungan-Berinsentif,PR INDONESIA - beyond reputation,Pendidikan
Akademisi minta mahasiswa gali nilai budaya melalui film pendek ,https://www.antaranews.com/berita/3182689/akademisi-minta-mahasiswa-gali-nilai-budaya-melalui-film-pendek,ANTARA,Pendidikan
LKBH FH UPH Kembali Dipercaya oleh Pemerintah Kota Tangerang Memberikan Konsultasi Hukum ,https://www.kompasiana.com/rizkykarokaro/632806be165bcf2da36d0493/lkbh-fh-uph-kembali-dipercaya-oleh-pemerintah-kota-tangerang-memberikan-konsultasi-hukum,Kompasiana.com - Kompasiana.com,Pendidikan
Pertahankan Disertasi di Depan Sidang Promosi Ida Sumarsih Raih Gelar Doktor UPH ,https://metro.sindonews.com/read/891155/170/pertahankan-disertasi-di-depan-sidang-promosi-ida-sumarsih-raih-gelar-doktor-uph-1663744184,SINDOnews Metro,Pendidikan
Peluncuran Sekolah Dian Harapan di Ambon siswa diajak berpikir kritis ,https://ambon.antaranews.com/berita/139725/peluncuran-sekolah-dian-harapan-di-ambon-siswa-diajak-berpikir-kritis,"ANTARA News Ambon, Maluku",Pendidikan
Implementasi Program Kemendikbudristek Mahasiswa UPH Lakukan Pemberdayaan Masyarakat Desa Cikande ,https://edukasi.okezone.com/read/2022/09/21/65/2671980/implementasi-program-kemendikbudristek-mahasiswa-uph-lakukan-pemberdayaan-masyarakat-desa-cikande,Edukasi Okezone,Pendidikan
Wakil Menkumham di UPH RKUHP Perlu Jalan Tengah ,https://mediabanten.com/wakil-menkumham-di-uph-rkuhp-perlu-jalan-tengah/,MediaBanten.Com,Pendidikan
Ternyata Segini Biaya Kuliah Universitas Pelita Harapan ,https://www.kompas.com/edu/read/2022/06/04/135918771/ternyata-segini-biaya-kuliah-universitas-pelita-harapan?page=all,Kompas.com - KOMPAS.com,Pendidikan
Dies Natalis ke,https://www.kompasiana.com/rizkykarokaro/633b779308a8b5686f4df352/dies-natalis-ke-25-magister-hukum-uph-pada-11-13-oktober-2022,Kompasiana.com - Kompasiana.com,Pendidikan
Hari Ini LIMA Basketball 2022 Suguhkan Babak 8 Besar ,https://www.republika.co.id/berita/rjo8q8257/hari-ini-lima-basketball-2022-suguhkan-babak-8-besar,Republika Online,Pendidikan
10 Universitas Swasta dengan Fakultas Kedokteran Terbaik di Indonesia ,https://edukasi.sindonews.com/read/911809/211/10-universitas-swasta-dengan-fakultas-kedokteran-terbaik-di-indonesia-1665663040?showpage=all,SINDOnews Edukasi,Pendidikan
Rangkaian Dies MH UPH Ke 25 Seminar Bertemakan Manfaat Energi Baru Terbarukan ,https://www.kompasiana.com/rizkykarokaro/63490d1c08a8b53d62139b92/rangkaian-dies-mh-uph-ke-25-seminar-bertemakan-manfaat-energi-baru-terbarukan,Kompasiana.com - Kompasiana.com,Pendidikan
Punya Rencana Kuliah di UPH Ini Daftar Fakultas dan Keunggulannya ,https://biz.kompas.com/read/2022/08/11/150247828/punya-rencana-kuliah-di-uph-ini-daftar-fakultas-dan-keunggulannya,Kompas.com - Kompas.com,Pendidikan
Daftar Biaya Kuliah di 27 Program Studi UPH ,https://www.kompas.com/tren/read/2022/06/26/150000065/daftar-biaya-kuliah-di-27-program-studi-uph?page=all,Kompas.com - KOMPAS.com,Pendidikan
Pindah Lokasi UPH Kampus Surabaya Hadirkan Fasilitas Modern ,https://biz.kompas.com/read/2022/08/27/193434328/pindah-lokasi-uph-kampus-surabaya-hadirkan-fasilitas-modern,Kompas.com - Kompas.com,Pendidikan
Cetak Lulusan Unggulan UPH Ingin Masyarakat Kenal Karena Kualitasnya ,https://www.jawapos.com/nasional/pendidikan/29/07/2022/cetak-lulusan-unggulan-uph-ingin-masyarakat-kenal-karena-kualitasnya/,JawaPos,Pendidikan
Kuliah Kelas Karyawan di UPH Ini Pilihan Prodinya ,https://www.kompas.com/edu/read/2022/09/05/133745071/kuliah-kelas-karyawan-di-uph-ini-pilihan-prodinya?page=all,Kompas.com - KOMPAS.com,Pendidikan
Delapan Kampus Termahal di Indonesia Ada Incaranmu ,https://edukasi.sindonews.com/read/896489/211/delapan-kampus-termahal-di-indonesia-ada-incaranmu-1664255365?showpage=all,SINDOnews Edukasi,Pendidikan
Lulusan Teachers College UPH Siap Melayani Bangsa di Pelosok Nusantara ,https://investor.id/national/297197/lulusan-teachers-college-uph-siap-melayani-bangsa-di-pelosok-nusantara,Investor.ID,Pendidikan
Lolos Beasiswa IISMA 2022 21 Mahasiswa UPH Berkesempatan Studi ke Luar Negeri ,https://biz.kompas.com/read/2022/07/16/170432028/lolos-beasiswa-iisma-2022-21-mahasiswa-uph-berkesempatan-studi-ke-luar-negeri,Kompas.com - Kompas.com,Pendidikan
Pakar usulkan pembentukan lembaga negara khusus pengentasan kemiskinan ,https://www.antaranews.com/berita/3184201/pakar-usulkan-pembentukan-lembaga-negara-khusus-pengentasan-kemiskinan,ANTARA,Pendidikan
UNIVERSITAS Pelita Harapan Festival 2022 Membangun Silaturahmi melalui Alumni Homeing ,https://medan.tribunnews.com/2022/08/28/universitas-pelita-harapan-festival-2022-membangun-silaturahmi-melalui-alumni-homecoming,Tribun Medan,Pendidikan
Universitas Pelita Harapan Buka Lowongan Kerja untuk 55 Posisi Cek di Sini ,https://www.medcom.id/pendidikan/news-pendidikan/PNg7GjoN-universitas-pelita-harapan-buka-lowongan-kerja-untuk-55-posisi-cek-di-sini,Medcom.Id,Pendidikan
Terobosan Inovatif Erick Thohir Dibutuhkan untuk Kemajuan Bangsa ,https://nasional.sindonews.com/read/914865/12/terobosan-inovatif-erick-thohir-dibutuhkan-untuk-kemajuan-bangsa-1665990610,SINDOnews Nasional,Pendidikan
FIK UPH Kampus Medan Dukung Ketahanan Pangan Lewat Implementasi Teknologi IoT ,https://edukasi.okezone.com/read/2022/09/30/65/2677893/fik-uph-kampus-medan-dukung-ketahanan-pangan-lewat-implementasi-teknologi-iot,Edukasi Okezone,Pendidikan
Kemenparekraf dan Universitas Pelita Harapan Siap Bersinergi untuk Mendorong Pariwisata Berkelanjutan ,https://www.suara.com/news/2022/06/07/201103/kemenparekraf-dan-universitas-pelita-harapan-siap-bersinergi-untuk-mendorong-pariwisata-berkelanjutan,Suara.com,Pendidikan
Kampanye Lingkungan Berinsentif Kepoin EcoSense Karya Mahasiswa UPH ,https://cewekbanget.grid.id/read/063511996/kampanye-lingkungan-berinsentif-kepoin-ecosense-karya-mahasiswa-uph?page=all,Semua Halaman - CewekBanget - CewekBanget,Pendidikan
Dukung Presidensi G20 UPH Hadirkan B20 Goes to Campus ,https://www.liputan6.com/bisnis/read/5063444/dukung-presidensi-g20-uph-hadirkan-b20-goes-to-campus,Liputan6.com,Pendidikan
Profil dan Biodata Mischa Chandrawinata Agama Umur Pacar Karier ,https://hits.zigi.id/profil-dan-biodata-mischa-chandrawinata-agama-umur-pacar-karier-12435,Hits,Pendidikan
Pemkot Tomohon Jalin Kerjasama dengan Universitas Pelita Harapan Jakarta Tingkatkan Kualitas SDM ,https://manado.tribunnews.com/2022/06/23/pemkot-tomohon-jalin-kerjasama-dengan-universitas-pelita-harapan-jakarta-tingkatkan-kualitas-sdm,Tribun Manado,Pendidikan
UPH Learning Hub Cikarang Berupaya Cetak Pemimpin Kompeten dan Profesional ,https://investor.id/national/277237/uph-learning-hub-cikarang-berupaya-cetak-pemimpin-kompeten-dan-profesional,Investor.ID,Pendidikan
UPH dan Hadi Poernomo Bersamaan Dianugerahi Piagam MURI ,https://www.liputan6.com/bisnis/read/4986960/uph-dan-hadi-poernomo-bersamaan-dianugerahi-piagam-muri,Liputan6.com,Pendidikan
Keseruan Academic Showcase Universitas Pelita Harapan ,https://www.kompasiana.com/yustisia.kristiana/6304eaa708a8b505d225ebd3/keseruan-academic-showcase-universitas-pelita-harapan,Kompasiana.com - Kompasiana.com,Pendidikan
