title,link,source,topic
Anies Makin Moncer Hasto PDIP Dinilai Pengamat Mulai Tertekan Hadapi Pemilu 2024 Sampai Brutal ,https://www.suara.com/news/2022/10/18/124718/anies-makin-moncer-hasto-pdip-dinilai-pengamat-mulai-tertekan-hadapi-pemilu-2024-sampai-brutal,Suara.com,Politik
PDIP Gelar FGD Siapkan Peta Jalan Pembangunan Nasional ,https://news.detik.com/berita/d-6353619/pdip-gelar-fgd-siapkan-peta-jalan-pembangunan-nasional,detikNews,Politik
Sekjen Tegaskan Hubungan NasDem dan PDIP Tak Memanas Itu Seni Politik ,https://news.detik.com/pemilu/d-6353937/sekjen-tegaskan-hubungan-nasdem-dan-pdip-tak-memanas-itu-seni-politik,detikNews,Politik
PDIP Kota Tebing Tinggi gelar Rakercab ,https://sumut.antaranews.com/berita/503989/pdip-kota-tebing-tinggi-gelar-rakercab,Antara Sumut,Politik
Muncul Banner PDIP Bertuliskan Aku Dudu Wongmu di Solo Apa Maknanya ,https://www.detik.com/jateng/berita/d-6353091/muncul-banner-pdip-bertuliskan-aku-dudu-wongmu-di-solo-apa-maknanya,detikcom,Politik
PDIP Kritik Anies hanya Realisasikan Lima Janji Kampanye Ini Kata NasDem  merdeka ,https://www.merdeka.com/politik/pdip-kritik-anies-hanya-realisasikan-lima-janji-kampanye-ini-kata-nasdem.html,Merdeka.com,Politik
Puan Ganjar dan Taktik PDIP ,https://news.detik.com/kolom/d-6352206/puan-ganjar-dan-taktik-pdip,detikNews,Politik
Kariyasa Psikotes PDIP Uji Kualitas Kandidat Caleg ,https://www.nusabali.com/berita/127508/kariyasa-psikotes-pdip-uji-kualitas-kandidat-caleg,NusaBali,Politik
Emil Dardak Ajak Hasto PDIP Duduk Bareng untuk Bedah Pesan WhatsApp ,https://www.cnnindonesia.com/nasional/20221017122835-32-861531/emil-dardak-ajak-hasto-pdip-duduk-bareng-untuk-bedah-pesan-whatsapp,CNN Indonesia,Politik
Inkonsistensi PDIP Soal Capres dan Peluang Ganjar ,https://www.kompasiana.com/zabidi1234/634dfb728bcc8f21a77f88b4/inkonsistensi-pdip-soal-capres-dan-peluang-ganjar,Kompasiana.com - Kompasiana.com,Politik
Survei LSP PDIP Tertinggi NasDem di Bawah Ambang Batas Parlemen ,https://www.cnnindonesia.com/nasional/20221015223656-32-861071/survei-lsp-pdip-tertinggi-nasdem-di-bawah-ambang-batas-parlemen,CNN Indonesia,Politik
Kata PDIP Soal Wacana Reshuffle ,https://www.republika.co.id/berita/rjv9w5430/kata-pdip-soal-wacana-reshuffle,Republika Online,Politik
Anies Sudah Lengser Tapi Audit Formula E Belum Dibuka PDIP Sangat Memalukan ,https://voi.id/berita/219389/anies-sudah-lengser-tapi-audit-formula-e-belum-dibuka-pdip-sangat-memalukan,VOI.ID,Politik
Profil Olly Dondokambey Bendahara Umum DPP PDIP Periode 2019,https://www.tribunnews.com/mata-lokal-memilih/2022/10/18/profil-olly-dondokambey-bendahara-umum-dpp-pdip-periode-2019-2024,Tribunnews.com,Politik
PDIP Sumut Minta Kader Turun ke Bawah Bukan Bicara Capres ,https://www.detik.com/sumut/berita/d-6351626/pdip-sumut-minta-kader-turun-ke-bawah-bukan-bicara-capres,detikcom,Politik
Mahfud Md Berharap Dukungan PDIP untuk Penguatan Kembali KY ,https://news.detik.com/berita/d-6345252/mahfud-md-berharap-dukungan-pdip-untuk-penguatan-kembali-ky,detikNews,Politik
PDIP targetkan menang Pileg 2024 di Gunung Mas ,https://kalteng.antaranews.com/berita/598169/pdip-targetkan-menang-pileg-2024-di-gunung-mas,ANTARA Kalimantan Tengah,Politik
Pantas Tak Ngegas Usung Capres 2024 PDIP Ternyata Satu,https://www.suara.com/news/2022/10/13/160821/pantas-tak-ngegas-usung-capres-2024-pdip-ternyata-satu-satunya-partai-dengan-empat-kekuatan-super-ini,Suara.com,Politik
Legislator PDIP Minta Pj Pengganti Anies Netral dari Polarisasi Politik ,https://news.detik.com/berita/d-6353037/legislator-pdip-minta-pj-pengganti-anies-netral-dari-polarisasi-politik,detikNews,Politik
Siapa Siap Mati untuk PDIP ,https://www.pinterpolitik.com/celoteh/siapa-siap-mati-untuk-pdip/,PinterPolitik,Politik
Eks Kepala BNPB Letjen Purn Ganip Warsito Gabung PDIP ,https://news.detik.com/berita/d-6337787/eks-kepala-bnpb-letjen-purn-ganip-warsito-gabung-pdip,detikNews,Politik
