title,link,source,topic
Partai Demokrat Klaim Punya Tempat Tersendiri di Hati Anies Baswedan Tanda AHY Punya Golden Card Jadi Cawapres ,https://wartaekonomi.co.id/read452352/partai-demokrat-klaim-punya-tempat-tersendiri-di-hati-anies-baswedan-tanda-ahy-punya-golden-card-jadi-cawapres,Warta Ekonomi,Politik
Partai Demokrat Beri Pelatihan Keuangan Ibas Bedakan Kebutuhan dan Keinginan ,https://nasional.kontan.co.id/news/partai-demokrat-beri-pelatihan-keuangan-ibas-bedakan-kebutuhan-dan-keinginan,Internasional Kontan,Politik
Jajaran Elit Partai Demokrat Nasdem dan PKS Duduk Semeja Chemistry Makin Terbangun ,https://jateng.tribunnews.com/2022/10/17/jajaran-elit-partai-demokrat-nasdem-dan-pks-duduk-semeja-chemistry-makin-terbangun,Tribun Jateng,Politik
Kepedulian Sosial Partai Demokrat Tanjabbar Salurkan Bantuan Bagi Korban Kebakaran ,https://lintastungkal.com/kepedulian-sosial-partai-demokrat-tanjabbar-salurkan-bantuan-bagi-korban-kebakaran/,LINTASTUNGKAL.COM,Politik
Lantik Pengurus Demokrat se,https://megapolitan.kompas.com/read/2022/10/10/22115331/lantik-pengurus-demokrat-se-banten-ahy-siapkan-mesin-partai-mulai?page=all,Kompas.com - Megapolitan Kompas.com,Politik
Partai Demokrat deklarasi relawan Anies,https://ambon.antaranews.com/berita/139613/partai-demokrat-deklarasi-relawan-anies-ahy-yang-pertama-di-maluku,"ANTARA News Ambon, Maluku",Politik
Demokrat Dukung Pertemuan Anies dengan Andika Contohkan AHY ,https://news.detik.com/pemilu/d-6351789/demokrat-dukung-pertemuan-anies-dengan-andika-contohkan-ahy,detikNews,Politik
Kader Dan Simpatisan Partai Demokrat Dukung Tarmina Sebagai Calon Bupati Aceh Tengah ,https://www.acehinfo.id/kader-dan-simpatisan-partai-demokrat-dukung-tarmina-sebagai-calon-bupati-aceh-tengah/,ACEH INFO,Politik
Anies Baswedan Belum Dideklarasikan Sebagai Capres Ini Penjelasan Partai Demokrat ,https://nasional.tempo.co/read/1642739/anies-baswedan-belum-dideklarasikan-sebagai-capres-ini-penjelasan-partai-demokrat,Nasional Tempo,Politik
Sikap Partai Demokrat Saat Kader Terlibat Korupsi antara Lukas Enembe dan Anas Urbaningrum ,https://nasional.kompas.com/read/2022/09/30/06000081/sikap-partai-demokrat-saat-kader-terlibat-korupsi-antara-lukas-enembe-dan,Kompas.com - Nasional Kompas.com,Politik
Ditanya Kenapa Pindah Ke Partai Demokrat Tokoh Senior Golkar Kota Bekasi Ini Bilang Begini ,https://www.inijabar.com/2022/10/ditanya-kenapa-pindah-ke-partai.html,inijabar.com,Politik
Jawa Timur Lumbung Suara Terbesar Partai Demokrat pada Pemilu 2019 ,https://databoks.katadata.co.id/datapublish/2022/10/12/jawa-timur-lumbung-suara-terbesar-partai-demokrat-pada-pemilu-2019,Databoks,Politik
Mengapa PDI,https://www.kompas.com/tren/read/2022/09/18/150500965/mengapa-pdi-p-dan-partai-demokrat-tak-pernah-akur-ini-kata-pengamat?page=all,Kompas.com - KOMPAS.com,Politik
Hasto Rasa Kemanusiaan dan Idealisme Andi Arief Mulai Luntur Saat Masuk Partai Demokrat ,https://politik.rmol.id/read/2022/10/15/550938/hasto-rasa-kemanusiaan-dan-idealisme-andi-arief-mulai-luntur-saat-masuk-partai-demokrat,RMOL,Politik
Susunan Pengurus Partai Demokrat 2020,https://www.tribunnews.com/mata-lokal-memilih/2022/10/10/susunan-pengurus-partai-demokrat-2020-2025-ahy-punya-6-wakil-ketua-umum-ibas-termasuk,Tribunnews.com,Politik
Demokrat Puji Setinggi Langit Anies Baswedan Santun Tanpa Masuk Gorong,https://kabar24.bisnis.com/read/20221017/15/1588051/demokrat-puji-setinggi-langit-anies-baswedan-santun-tanpa-masuk-gorong-gorong,Bisnis.com,Politik
Demokrat Lolos Verifikasi KPU Mujiyono Semangat Wujudkan Perubahan ,https://www.rmoldkijakarta.id/demokrat-lolos-verifikasi-kpu-mujiyono-semangat-wujudkan-perubahan,RMOL Jakarta,Politik
Wakil Ketua DPD Partai Demokrat Jabar buka suara dikabarkan pindah partai ,https://megapolitan.antaranews.com/berita/215437/wakil-ketua-dpd-partai-demokrat-jabar-buka-suara-dikabarkan-pindah-partai,ANTARA Megapolitan,Politik
Partai Demokrat Kick Off Perjuangan Menangi Pemilu 2024 dari Jateng ,https://regional.kompas.com/read/2022/10/04/095305378/partai-demokrat-kick-off-perjuangan-menangi-pemilu-2024-dari-jateng,Kompas.com - Kompas.com,Politik
Partai Demokrat dan Partai NasDem Ungkap Alasan Belum Umumkan Koalisi ,https://nasional.tempo.co/read/1637836/partai-demokrat-dan-partai-nasdem-ungkap-alasan-belum-umumkan-koalisi,Nasional Tempo,Politik
Sambangi Graha Pena Demokrat Lampung Dukung Anies,https://www.radartvnews.com/2022/10/17/sambangi-graha-pena-demokrat-lampung-dukung-anies-ahy/,radartvnews,Politik
Terima Kunjungan Partai Demokrat Musa Rajekshah Golkar Konsisten Dukung Airlangga Jadi Presiden ,https://medan.tribunnews.com/2022/10/17/terima-kunjungan-partai-demokrat-musa-rajekshah-golkar-konsisten-dukung-airlangga-jadi-presiden,Tribun Medan,Politik
Kader Demokrat Mulai Lompat Pagar ,https://cenderawasihpos.jawapos.com/berita-utama/16/10/2022/kader-demokrat-mulai-lompat-pagar/,Cenderawasih Pos,Politik
Partai Demokrat Ungkap Terima Intimidasi setelah Pidato AHY ,https://nasional.tempo.co/read/1635864/partai-demokrat-ungkap-terima-intimidasi-setelah-pidato-ahy,Nasional Tempo,Politik
Terjun ke Dunia Politik Maksi Ngkeros Resmi Gabung Partai Demokrat ,https://koranntt.com/2022/10/14/terjun-ke-dunia-politik-maksi-ngkeros-resmi-gabung-partai-demokrat/,Koran NTT,Politik
Profil Yansen Tipa Padan Wakil Ketua Umum Partai Demokrat yang Menjabat Wagub Kaltara ,https://www.tribunnews.com/mata-lokal-memilih/2022/10/16/profil-yansen-tipa-padan-wakil-ketua-umum-partai-demokrat-yang-menjabat-wagub-kaltara,Tribunnews.com,Politik
MA Tolak Kasasi Moeldoko soal KLB Partai Demokrat ,https://www.cnnindonesia.com/nasional/20221003141126-12-855716/ma-tolak-kasasi-moeldoko-soal-klb-partai-demokrat,CNN Indonesia,Politik
NasDem Sebut Koalisi dengan PKS dan Demokrat Tak Semudah Membalikkan Telapak Tangan ,https://nasional.tempo.co/read/1638952/nasdem-sebut-koalisi-dengan-pks-dan-demokrat-tak-semudah-membalikkan-telapak-tangan,Nasional Tempo,Politik
16 DPAC Partai Demokrat Kota Bandung Gugat DPP ke PN Bandung ,https://kapol.id/16-dpac-partai-demokrat-kota-bandung-gugat-dpp-ke-pn-bandung/,KAPOL.ID,Politik
Hasil Poling Terus Meningkat Andi Malarangeng Optimistis Partai Demokrat Kembali Berjaya ,https://politik.rmol.id/read/2022/09/19/547835/hasil-poling-terus-meningkat-andi-malarangeng-optimistis-partai-demokrat-kembali-berjaya,RMOL,Politik
Fraksi Partai Demokrat DPRP Sikapi Gagalnya Sidang APBD,https://papua.tribunnews.com/2022/10/15/fraksi-partai-demokrat-dprp-sikapi-gagalnya-sidang-apbd-p-provinsi-papua-2022,Tribun Papua,Politik
Andi Arief Sebut Partai Demokrat dan Lukas Enembe Diancam Orang Mengaku Utusan Jokowi ,https://nasional.kompas.com/read/2022/09/24/20242021/andi-arief-sebut-partai-demokrat-dan-lukas-enembe-diancam-orang-mengaku,Kompas.com - Nasional Kompas.com,Politik
Demokrat Janji Kampanye Jokowi Tak Terealisasi Anies Terlunasi ,https://news.detik.com/pemilu/d-6345194/demokrat-janji-kampanye-jokowi-tak-terealisasi-anies-terlunasi,detikNews,Politik
Demokrat Balas Hasto dan Adian PDIP Kebusukan Telah Terbuka Menganga ,https://www.cnnindonesia.com/nasional/20220920120918-32-850229/demokrat-balas-hasto-dan-adian-pdip-kebusukan-telah-terbuka-menganga,CNN Indonesia,Politik
Demokrat Belum Pasti Usung AHY Herzaky Keputusan Ada di Majelis Tinggi Partai ,https://politik.rmol.id/read/2022/09/19/547831/demokrat-belum-pasti-usung-ahy-herzaky-keputusan-ada-di-majelis-tinggi-partai,RMOL,Politik
Alasan Hasto Serang Emil Pengamat PDIP dan Demokrat Sedang Panas ,https://www.detik.com/jatim/berita/d-6350091/alasan-hasto-serang-emil-pengamat-pdip-dan-demokrat-sedang-panas,detikcom,Politik
Menerka Manuver Demokrat Lewat Pernyataan SBY ,https://koran.tempo.co/read/nasional/476724/partai-demokrat-bermanuver-lewat-pernyataan-sby,Koran Tempo,Politik
Sekretaris DPC Partai Demokrat Kota Medan IrHBesri NazirMM Narasumber Dialog Publik LHKP PD Muhammadiyah Kota Medan ,https://liputan4.com/sekretaris-dpc-partai-demokrat-kota-medan-ir-h-besri-nazir-mm-narasumber-dialog-publik-lhkp-pd-muhammadiyah-kota-medan/,Liputan4 Online,Politik
Demokrat Vs PDIP Kian Runcing Giliran Andi Arief Sentil Puan ,https://www.cnnindonesia.com/nasional/20220926073200-32-852527/demokrat-vs-pdip-kian-runcing-giliran-andi-arief-sentil-puan,CNN Indonesia,Politik
