title,link,source,topic
PSI Sergai Dinyatakan MS Verifikasi Kantor dan Keanggotaan Siap Menuju 1 Fraksi ,https://indahsuaranews.co/psi-sergai-dinyatakan-ms-verifikasi-kantor-dan-keanggotaan-siap-menuju-1-fraksi/,Indah Suara News,Politik
KPU Sebut PSI Lolos Verifikasi Faktual Parpol Peserta Pemilu 2024 ,https://nasional.tempo.co/read/1645662/kpu-sebut-psi-lolos-verifikasi-faktual-parpol-peserta-pemilu-2024,Nasional Tempo,Politik
PSI Akui Suprapti Penjual Dawet Kanjuruhan Pernah Jadi Pengurus ,https://www.cnnindonesia.com/nasional/20221012180908-20-859732/psi-akui-suprapti-penjual-dawet-kanjuruhan-pernah-jadi-pengurus,CNN Indonesia,Politik
PSI Minta Nadiem Makarim Akomodir Aspirasi Guru dan Dosen ,https://www.liputan6.com/news/read/5080063/psi-minta-nadiem-makarim-akomodir-aspirasi-guru-dan-dosen,Liputan6.com,Politik
Partai Solidaritas Indonesia Usung Ganjar Pranowo Jadi Capres 2024 ,https://chatnews.id/read/partai-solidaritas-indonesia-usung-ganjar-pranowo-jadi-capres-2024,Chatnews,Politik
Kami Partai Solidaritas Indonesia Tidak Akan Pernah Mendukung Pak Anies Baswedan Suara Giring Lantang ,https://wartaekonomi.co.id/read446485/kami-partai-solidaritas-indonesia-tidak-akan-pernah-mendukung-pak-anies-baswedan-suara-giring-lantang,Warta Ekonomi,Politik
Partai Solidaritas Indonesia Sindir Lukas Enembe Kalau Bersih Kenapa Risih ,https://papua.tribunnews.com/2022/10/13/partai-solidaritas-indonesia-sindir-lukas-enembe-kalau-bersih-kenapa-risih,Tribun Papua,Politik
PSI Banten Menggelar Bimtek Persiapan Verifikasi Parpol ,https://psi.id/psi-banten-menggelar-bimtek-persiapan-verifikasi-parpol/,Partai Solidaritas Indonesia,Politik
Grace Natalie Tak Mungkin PSI Dukung Anies Jadi Capres 2024 ,https://news.detik.com/pemilu/d-6298054/grace-natalie-tak-mungkin-psi-dukung-anies-jadi-capres-2024,detikNews,Politik
PSI Optimis Dapat Dukungan Masyarakat Kepri di Pemilu 2024 ,https://psi.id/psi-optimis-dapat-dukungan-masyarakat-kepri-di-pemilu-2024/,Partai Solidaritas Indonesia,Politik
Giring dan Pengurus PSI ke DPP PAN Zulhas Tidak Ada ,https://www.cnnindonesia.com/nasional/20221013181735-32-860266/giring-dan-pengurus-psi-ke-dpp-pan-zulhas-tidak-ada,CNN Indonesia,Politik
Survei NSN PSI Bakal Menang Besar di Jakarta ,https://psi.id/survei-nsn-psi-bakal-menang-besar-di-jakarta/,Partai Solidaritas Indonesia,Politik
DPC PSI Tambora Gelar Pasar Murah Minyak Goreng ,https://psi.id/dpc-psi-tambora-gelar-pasar-murah-minyak-goreng/,Partai Solidaritas Indonesia,Politik
