title,link,source,topic
Di Hari Parlemen Puan Maharani Ajak Anggota Menyatu dengan Rakyat ,https://politik.rmol.id/read/2022/10/18/551166/di-hari-parlemen-puan-maharani-ajak-anggota-menyatu-dengan-rakyat,RMOL,Politik
Untuk Hentikan Manuver Ganjar Megawati Diminta Segera Tetapkan Puan Maharani sebagai Capres ,https://politik.rmol.id/read/2022/10/17/551115/untuk-hentikan-manuver-ganjar-megawati-diminta-segera-tetapkan-puan-maharani-sebagai-capres,RMOL,Politik
Emiten Besutan Suami Puan Maharani RAJA Bentuk Anak Usaha Anyar Ini Bidang Garapannya ,https://www.emitennews.com/news/emiten-besutan-suami-puan-maharani-raja-bentuk-anak-usaha-anyar-ini-bidang-garapannya,Emitennews.com,Politik
Aksi Kontroversial Puan Maharani dari Lempar,https://nasional.kompas.com/read/2022/09/28/10182441/aksi-kontroversial-puan-maharani-dari-lempar-lempar-kaus-sambil-cemberut,Kompas.com - Nasional Kompas.com,Politik
Puan Maharani Tidak Ada yang Ujug,https://news.detik.com/berita/d-6308840/puan-maharani-tidak-ada-yang-ujug-ujug,detikNews,Politik
Pengamat Puan Maharani Dipasangkan dengan Siapapun Tak Berpotensi Menang Nyapres ,https://indeksnews.com/pengamat-puan-maharani-dipasangkan-dengan-siapapun/,Indeks News,Politik
Disebut Sering ke Jateng Begini Tanggapan Puan Maharani ,https://regional.kompas.com/read/2022/09/19/213558578/disebut-sering-ke-jateng-begini-tanggapan-puan-maharani,Kompas.com - Kompas.com,Politik
Butet Kartaredjasa Bicara Soal Puan Maharani dan Anies Baswedan Usai Kunjungan Ganjar Pranowo ,https://seleb.tempo.co/read/1645953/butet-kartaredjasa-bicara-soal-puan-maharani-dan-anies-baswedan-usai-kunjungan-ganjar-pranowo,Seleb Tempo,Politik
Pendukung Puan Maharani Bagi Sembako Gratis untuk Masyarakat Gianyar ,https://www.jpnn.com/news/pendukung-puan-maharani-bagi-sembako-gratis-untuk-masyarakat-gianyar,JPNN.com,Politik
PDI,https://www.kompas.com/tren/read/2022/09/24/060000465/pdi-p-mulai-gerilya-untuk-puan-maharani-apakah-ganjar-legowo-?page=all,Kompas.com - KOMPAS.com,Politik
Parlementaria Terkini ,https://www.dpr.go.id/berita/detail/id/41190/t/Hadiri+Sidang+IPU+Ke-145%2C+Puan+Maharani%3A+Perempuan+Harus+Bisa+Memimpin+Jalan,Dewan Perwakilan Rakyat - Dewan Perwakilan Rakyat,Politik
Puan Maharani Minta Kasus Narkoba di Petinggi Polri Diusut Tuntas ,https://www.jawapos.com/nasional/16/10/2022/puan-maharani-minta-kasus-narkoba-di-petinggi-polri-diusut-tuntas/,JawaPos,Politik
Survei Sebut Puan Maharani Berpotensi Gerus Suara PDI,https://nasional.kompas.com/read/2022/09/30/10381501/survei-sebut-puan-maharani-berpotensi-gerus-suara-pdi-p-kader-pendukung,Kompas.com - Nasional Kompas.com,Politik
Seknas kenalkan Puan Maharani di 13 provinsi dalam tiga bulan ,https://www.antaranews.com/berita/3135909/seknas-kenalkan-puan-maharani-di-13-provinsi-dalam-tiga-bulan,ANTARA,Politik
Serahkan 1000 Paket Sembako di Solo Puan Maharani Diteriaki Warga Mbak Puan Jadi Presiden ,https://regional.kompas.com/read/2022/10/02/124727778/serahkan-1000-paket-sembako-di-solo-puan-maharani-diteriaki-warga-mbak-puan?page=all,Kompas.com - Kompas.com,Politik
Puan Maharani Gelagapan saat Pidato Pakai Bahasa Inggris Warganet Minta Matikan Mic Daripada Malu Bu ,https://www.suara.com/news/2022/10/09/191107/puan-maharani-gelagapan-saat-pidato-pakai-bahasa-inggris-warganet-minta-matikan-mic-daripada-malu-bu,Suara.com,Politik
Puan Maharani dan Airlangga Jalan Sehat Bersama di Monas ,https://nasional.tempo.co/read/1642975/puan-maharani-dan-airlangga-jalan-sehat-bersama-di-monas,Nasional Tempo,Politik
Jokowi Sebut PDI,https://nasional.kompas.com/read/2022/10/10/13203361/jokowi-sebut-pdi-p-belum-putuskan-kandidat-capres-termasuk-untuk-puan,Kompas.com - Nasional Kompas.com,Politik
Cak Imin Ungkap Akan Bertemu Puan Maharani Besok ,https://www.cnnindonesia.com/nasional/20220924210504-32-852202/cak-imin-ungkap-akan-bertemu-puan-maharani-besok,CNN Indonesia,Politik
Viral Baliho Puan Maharani di Tangerang Cantumkan Status Anak dan Cucu Presiden ,https://www.suara.com/news/2022/10/14/144452/viral-baliho-puan-maharani-di-tangerang-cantumkan-status-anak-dan-cucu-presiden,Suara.com,Politik
Pasrah Puan Maharani Serahkan Keputusan Capres ke Megawati  merdeka ,https://www.merdeka.com/politik/pasrah-puan-maharani-serahkan-keputusan-capres-ke-megawati.html,Merdeka.com,Politik
Saat Puan Maharani Turun ke Sawah dan Tandur Padi Maju ,https://nasional.kompas.com/read/2022/09/30/10163011/saat-puan-maharani-turun-ke-sawah-dan-tandur-padi-maju,Kompas.com - Nasional Kompas.com,Politik
