title,link,source,topic
Ini Drone Kamikaze Iran yang Dipakai Rusia Gempung Ukraina ,https://www.cnbcindonesia.com/tech/20221018102634-37-380504/ini-drone-kamikaze-iran-yang-dipakai-rusia-gempung-ukraina,CNBC Indonesia,Teknologi
Kemenperin boyong industri drone ke Singapura unjuk teknologi canggih ,https://www.antaranews.com/berita/3185841/kemenperin-boyong-industri-drone-ke-singapura-unjuk-teknologi-canggih,ANTARA,Teknologi
Momen Polisi Ukraina Coba Tembak Jatuh Drone Kamikaze di Kiev ,https://news.detik.com/detiktv/d-6354141/momen-polisi-ukraina-coba-tembak-jatuh-drone-kamikaze-di-kiev,detikNews,Teknologi
AS sebut pasokan drone Iran ke Rusia melanggar resolusi PBB ,https://kupang.antaranews.com/berita/98789/as-sebut-pasokan-drone-iran-ke-rusia-melanggar-resolusi-pbb,antaranews.com,Teknologi
Heboh Drone Rusia Misteri UFO di Langit Ukraina Terbongkar ,https://www.cnbcindonesia.com/tech/20221017151239-37-380310/heboh-drone-rusia-misteri-ufo-di-langit-ukraina-terbongkar,CNBC Indonesia,Teknologi
Polisi Uji Coba Tilang Pakai Drone Hari Ini ,https://www.cnnindonesia.com/teknologi/20221010152351-384-858625/polisi-uji-coba-tilang-pakai-drone-hari-ini,CNN Indonesia,Teknologi
Produsen Drone China Dua Kali Masuk Blacklist AS Apa Salah DJI Sekarang ,https://tekno.kompas.com/read/2022/10/11/11010007/produsen-drone-china-dua-kali-masuk-blacklist-as-apa-salah-dji-sekarang-?page=all,Kompas.com - Tekno Kompas.com,Teknologi
Ambil Foto Pacar Pakai Drone di Wilayah Kampus Mahasiswa Ini Didenda Rp53 Juta ,https://news.okezone.com/read/2022/10/10/18/2684167/ambil-foto-pacar-pakai-drone-di-wilayah-kampus-mahasiswa-ini-didenda-rp53-juta,Okezone,Teknologi
Jepang Ingin Kerahkan Drone Kamikaze untuk Cegah Invasi ,https://international.sindonews.com/read/914821/40/jepang-ingin-kerahkan-drone-kamikaze-untuk-cegah-invasi-1665990638,SINDOnews Internasional,Teknologi
Rentetan Drone Kamikaze Buatan Iran Hantam Ukraina ,https://news.detik.com/internasional/d-6332543/rentetan-drone-kamikaze-buatan-iran-hantam-ukraina,detikNews,Teknologi
Teknologi Kontra,https://www.voaindonesia.com/a/teknologi-kontra-drone-untuk-melawan-ancaman-drone-berbahaya-/6782615.html,Bahasa Indonesia - VOA Indonesia,Teknologi
Proyek Drone Elang Hitam Disebut Salah Langkah sejak Awal ,https://nasional.kompas.com/read/2022/09/20/12225691/proyek-drone-elang-hitam-disebut-salah-langkah-sejak-awal,Kompas.com - Nasional Kompas.com,Teknologi
Hampir Deal RI Bakal Punya Drone Bersenjata Made,https://www.cnbcindonesia.com/news/20220926195844-4-375134/hampir-deal-ri-bakal-punya-drone-bersenjata-made-in-turki,CNBC Indonesia,Teknologi
Industri Migas Dorong Pertumbuhan Pasar Drone  Petrominer ,https://petrominer.com/industri-migas-dorong-pertumbuhan-pasar-drone/,PETROMINER,Teknologi
PKS Sentil Proyek Drone Elang Hitam Dihentikan BRIN Buka Suara ,https://www.cnnindonesia.com/nasional/20220923132457-32-851734/pks-sentil-proyek-drone-elang-hitam-dihentikan-brin-buka-suara,CNN Indonesia,Teknologi
Ngeri Rusia Gunakan 6 Drone Serang Ukraina ,https://www.cnbcindonesia.com/news/20221005165659-8-377485/ngeri-rusia-gunakan-6-drone-serang-ukraina,CNBC Indonesia,Teknologi
RK Usul Pakai Drone Cari Mahasiswi IPB Terseret Banjir Eril Dulu Begitu ,https://news.detik.com/berita/d-6347482/rk-usul-pakai-drone-cari-mahasiswi-ipb-terseret-banjir-eril-dulu-begitu,detikNews,Teknologi
Ini 12 Drone Militer Termahal di Dunia Ada yang Harganya Rp599 Triliun ,https://databoks.katadata.co.id/datapublish/2022/09/20/ini-12-drone-militer-termahal-di-dunia-ada-yang-harganya-rp599-triliun,Databoks,Teknologi
Drone AS Berada di Balik Ledakan Jembatan Crimea ,https://international.sindonews.com/read/911609/42/drone-as-berada-di-balik-ledakan-jembatan-crimea-1665652225,SINDOnews Internasional,Teknologi
Kehebatan Drone Buatan Iran Terbukti di Kharkiv Hancurkan Artileri dan Kendaraan Lapis Baja Ukraina ,https://www.tribunnews.com/internasional/2022/09/19/kehebatan-drone-buatan-iran-terbukti-di-kharkiv-hancurkan-artileri-dan-kendaraan-lapis-baja-ukraina,Tribunnews.com,Teknologi
