title,link,source,topic
Bukan iPhone 15 Apple Dikabarkan Mau Bikin iPad Lipat ,https://www.cnbcindonesia.com/tech/20221018112527-37-380537/bukan-iphone-15-apple-dikabarkan-mau-bikin-ipad-lipat,CNBC Indonesia,Teknologi
Cara Mengatasi Instagram Tidak Bisa dibuka atau Crash di iPhone dan iPad ,https://tekno.kompas.com/read/2022/10/17/18150047/cara-mengatasi-instagram-tidak-bisa-dibuka-atau-crash-di-iphone-dan-ipad,Kompas.com - Tekno Kompas.com,Teknologi
Apple Bakal Rilis iPad Pro dengan Chipset M2 Dalam Waktu Dekat ,https://www.liputan6.com/tekno/read/5099611/apple-bakal-rilis-ipad-pro-dengan-chipset-m2-dalam-waktu-dekat,Liputan6.com,Teknologi
Jadi Layar Pintar Apple Akan Siapkan Dock Baru buat iPad ,https://tekno.sindonews.com/read/915247/207/jadi-layar-pintar-apple-akan-siapkan-dock-baru-buat-ipad-1666012210,SINDOnews Tekno,Teknologi
Apple Mau Rilis iPad dan MacBook Baru Oktober Nanti ,https://kumparan.com/kumparantech/apple-mau-rilis-ipad-dan-macbook-baru-oktober-nanti-1yvH9c5Q28T,kumparan.com - kumparan.com,Teknologi
7 Alasan Mengapa iPad Sempurna untuk Para Pelajar ,https://www.idntimes.com/tech/gadget/arifgunawan/alasan-ipad-sempurna-untuk-para-pelajar,IDN Times,Teknologi
Apple Luncurkan iPadOS 16 Ini Daftar iPad yang Kebagian Update ,https://tekno.kompas.com/read/2022/06/07/17300017/apple-luncurkan-ipados-16-ini-daftar-ipad-yang-kebagian-update?page=all,Kompas.com - Tekno Kompas.com,Teknologi
Apple Bikin iPad Pro dengan Layar Seukuran Laptop ,https://tekno.kompas.com/read/2022/06/13/16040077/apple-bikin-ipad-pro-dengan-layar-seukuran-laptop-?page=all,Kompas.com - Tekno Kompas.com,Teknologi
Apple Bakal Luncurkan iPad dan Mac Baru Oktober ,https://www.republika.co.id/berita/ri9c4w366/apple-bakal-luncurkan-ipad-dan-mac-baruoktober,Republika Online,Teknologi
Tahun Spesial untuk iPad Apple Rilis iPadOS Lebih Dahulu ,https://www.cnnindonesia.com/teknologi/20220824120019-185-838488/tahun-spesial-untuk-ipad-apple-rilis-ipados-lebih-dahulu,CNN Indonesia,Teknologi
iPad Air 5 Resmi Masuk Indonesia Ini Harganya ,https://tekno.kompas.com/read/2022/05/13/09062757/ipad-air-5-resmi-masuk-indonesia-ini-harganya?page=all,Kompas.com - Tekno Kompas.com,Teknologi
Daftar Harga iPad Pro iPad 8 dan Seri Lain di iBox Per Akhir Mei 2022 ,https://lifestyle.kontan.co.id/news/daftar-harga-ipad-pro-ipad-8-dan-seri-lain-di-ibox-per-akhir-mei-2022,Lifestyle Kontan,Teknologi
iPad Murah dengan USB,https://tekno.kompas.com/read/2022/06/28/17000037/ipad-murah-dengan-usb-c-meluncur-tahun-ini-?page=all,Kompas.com - Tekno Kompas.com,Teknologi
Cek Daftar Harga iPad Pro iPad 8 dan Seri Lain di iBox Awal Mei 2022 ,https://lifestyle.kontan.co.id/news/cek-daftar-harga-ipad-pro-ipad-8-dan-seri-lain-di-ibox-awal-mei-2022?page=all,Lifestyle Kontan,Teknologi
Daftar Harga iPad Berbagai Seri Terbaru di iBox per Juli 2022 Ayo Cek ,https://lifestyle.kontan.co.id/news/daftar-harga-ipad-berbagai-seri-terbaru-di-ibox-per-juli-2022-ayo-cek,Lifestyle Kontan,Teknologi
iPad Air 2022 Resmi Meluncur dengan Chip M1 Ini Harganya ,https://tekno.kompas.com/read/2022/03/09/08000047/ipad-air-2022-resmi-meluncur-dengan-chip-m1-ini-harganya?page=all,Kompas.com - Tekno Kompas.com,Teknologi
Pemilik iPhone iPad Mac Hati,https://www.cnbcindonesia.com/tech/20220819194451-37-365192/pemilik-iphone-ipad-mac-hati-hati-ada-warning-dari-apple,CNBC Indonesia,Teknologi
iPad Pro 2022 pakai chip M2 ,https://www.antaranews.com/berita/3016733/ipad-pro-2022-pakai-chip-m2,ANTARA,Teknologi
Rumor Fitur Baru iPad 10 Touch ID Tombol Power Hingga Landscape FaceTime ,https://makemac.grid.id/read/213441390/rumor-fitur-baru-ipad-10-touch-id-tombol-power-hingga-landscape-facetime?page=all,Makemac,Teknologi
Apple Mulai Produksi Massal iPad 10 Intip Bocoran Spesifikasinya ,https://makemac.grid.id/read/213430171/apple-mulai-produksi-massal-ipad-10-intip-bocoran-spesifikasinya?page=all,Makemac,Teknologi
Spesifikasi Lengkap dan Harga iPad Air 2022 ,https://tekno.kompas.com/read/2022/03/09/19420097/spesifikasi-lengkap-dan-harga-ipad-air-2022,Kompas.com - Tekno Kompas.com,Teknologi
Rumor iPad Pro 2022 Bakal Punya 4 Pin Smart Connector untuk Aksesoris ,https://makemac.grid.id/read/213415793/rumor-ipad-pro-2022-bakal-punya-4-pin-smart-connector-untuk-aksesoris?page=all,Makemac,Teknologi
Cek Daftar Harga iPad Berbagai Seri di iBox per Juni 2022 ,https://lifestyle.kontan.co.id/news/cek-daftar-harga-ipad-berbagai-seri-di-ibox-per-juni-2022,Lifestyle Kontan,Teknologi
Spesifikasi dan Harga iPad Air 2022 Unggul Chipset M1 dan 5G ,https://teknologi.bisnis.com/read/20220310/280/1509102/spesifikasi-dan-harga-ipad-air-2022-unggul-chipset-m1-dan-5g,"Teknologi - Berita Terbaru Harga dan Spesifikasi Handphone, Info Fitur Smartphone, Komputer dan Laptop",Teknologi
iPad Pro M2 hadir tahun ini ,https://www.antaranews.com/berita/2788449/ipad-pro-m2-hadir-tahun-ini,ANTARA,Teknologi
Daftar Fitur Eksklusif iPadOS 16 untuk iPad M1 Mana Favoritmu ,https://makemac.grid.id/read/213379866/daftar-fitur-eksklusif-ipados-16-untuk-ipad-m1-mana-favoritmu?page=all,Makemac,Teknologi
Apple Bakal Hilangkan Audio Jack di Model iPad Baru ,https://www.liputan6.com/tekno/read/5035897/apple-bakal-hilangkan-audio-jack-di-model-ipad-baru,Liputan6.com,Teknologi
Deretan Bocoran iPad Pro 2022 Ini Bakal Bikin Apple Fanboy Tergoda ,https://inet.detik.com/consumer/d-5901083/deretan-bocoran-ipad-pro-2022-ini-bakal-bikin-apple-fanboy-tergoda,detikInet,Teknologi
Rumor Retailer Mulai Siapkan Peluncuran iPad Pro 2022 ,https://makemac.grid.id/read/213458392/rumor-retailer-mulai-siapkan-peluncuran-ipad-pro-2022?page=all,Makemac,Teknologi
Perbandingan Harga  Spek iPad Air 5 vs iPad Pro 2021 Pilih Mana ,https://makemac.grid.id/read/213180629/perbandingan-harga-spek-ipad-air-5-vs-ipad-pro-2021-pilih-mana?page=all,Makemac,Teknologi
Intip Harga dan Spesifikasi iPad Air Apple Bocorkan Tanggal Rilisnya ,https://selular.id/2022/02/intip-harga-dan-spesifikasi-ipad-air-apple-bocorkan-tanggal-rilisnya/,Selular.ID,Teknologi
Aplikasi WhatsApp untuk iPad Segera Hadir ,https://tekno.kompas.com/read/2022/02/07/12320097/aplikasi-whatsapp-untuk-ipad-segera-hadir-?page=all,Kompas.com - Tekno Kompas.com,Teknologi
iPhone vs iPad Lebih Baik Pilih yang Mana ,https://www.idntimes.com/tech/gadget/arifgunawan/iphone-vs-ipad-lebih-baik-pilih-yang-mana,IDN Times,Teknologi
Rekomendasi iPad yang Cocok untuk Mahasiswa ,https://www.inews.id/techno/gadget/rekomendasi-ipad-yang-cocok-untuk-mahasiswa,iNews,Teknologi
Apple iPad Air 5 Segera Masuk Indonesia Ini Prediksi Harganya ,https://tekno.kompas.com/read/2022/04/07/10300067/apple-ipad-air-5-segera-masuk-indonesia-ini-prediksi-harganya?page=all,Kompas.com - Tekno Kompas.com,Teknologi
Apple iPad Segera Bisa Pakai WhatsApp Ini Bocorannya ,https://www.cnbcindonesia.com/tech/20220131161857-37-311878/apple-ipad-segera-bisa-pakai-whatsapp-ini-bocorannya,CNBC Indonesia,Teknologi
Daftar Harga iPad Mini 6 di Indonesia ,https://tekno.kompas.com/read/2021/11/15/12020027/daftar-harga-ipad-mini-6-di-indonesia,Kompas.com - Tekno Kompas.com,Teknologi
Update iPadOS 155 Dirilis Pengguna Keluhkan iPad Mini 6 Tidak Bisa Isi Daya ,https://www.liputan6.com/tekno/read/5010719/update-ipados-155-dirilis-pengguna-keluhkan-ipad-mini-6-tidak-bisa-isi-daya,Liputan6.com,Teknologi
7 Tanda iPad Kamu Harus Segera Diganti dengan yang Baru ,https://www.idntimes.com/tech/gadget/arifgunawan/tanda-ipad-kamu-harus-segera-diganti,IDN Times,Teknologi
Daftar harga iPad 8 iPad Pro dan seri lain di iBox Maret 2022 ,https://lifestyle.kontan.co.id/news/daftar-harga-ipad-8-ipad-pro-dan-seri-lain-di-ibox-maret-2022?page=all,Lifestyle Kontan,Teknologi
Daftar Harga iPad Pro iPad 8 dan Seri Lainnya di iBox Pertengahan April 2022 ,https://lifestyle.kontan.co.id/news/daftar-harga-ipad-pro-ipad-8-dan-seri-lainnya-di-ibox-pertengahan-april-2022?page=all,Lifestyle Kontan,Teknologi
Kumpulan Video Hands,https://makemac.grid.id/read/213193557/kumpulan-video-hands-on-dan-review-dari-tablet-ipad-air-5?page=all,Makemac,Teknologi
Inilah 5 Bocoran iPad Air 5 Punya Chipset A15 Harga Rp 8 jutaan ,https://makemac.grid.id/read/213133662/inilah-5-bocoran-ipad-air-5-punya-chipset-a15-harga-rp-8-jutaan?page=all,Makemac,Teknologi
