title,link,source,topic
Pecah Rekor Mobil Listrik Ini Ternyata Terlaris di Indonesia ,https://www.cnbcindonesia.com/news/20221017120458-4-380236/pecah-rekor-mobil-listrik-ini-ternyata-terlaris-di-indonesia,CNBC Indonesia,Teknologi
Mobil Listrik Jeep Avenger Mampu Menempuh Jarak 400 Km ,https://otomotif.kompas.com/read/2022/10/18/102200415/mobil-listrik-jeep-avenger-mampu-menempuh-jarak-400-km,Kompas.com - Otomotif Kompas.com,Teknologi
Daftar Mobil Listrik di RI dari Harga Avanza Hingga Miliaran ,https://www.cnnindonesia.com/teknologi/20221014095510-384-860416/daftar-mobil-listrik-di-ri-dari-harga-avanza-hingga-miliaran,CNN Indonesia,Teknologi
Keren Siswa SMK Institut Indonesia Kutoarjo Rakit Mobil Listrik ,https://www.krjogja.com/berita-lokal/read/477242/keren-siswa-smk-institut-indonesia-kutoarjo-rakit-mobil-listrik,Kedaulatan Rakyat,Teknologi
Produsen Mobil Listrik Nio dari Cina Siap Menggempur Pasar Otomotif Australia ,https://www.liputan6.com/otomotif/read/5099949/produsen-mobil-listrik-nio-dari-cina-siap-menggempur-pasar-otomotif-australia,Liputan6.com,Teknologi
Audi kembangkan filter udara untuk mobil listrik ,https://babel.antaranews.com/berita/309393/audi-kembangkan-filter-udara-untuk-mobil-listrik,ANTARA Bangka Belitung,Teknologi
Mobil Listrik Lexus UX,https://www.cnnindonesia.com/teknologi/20221017160314-384-861669/mobil-listrik-lexus-ux-300e-untuk-g20-tiba-di-indonesia,CNN Indonesia,Teknologi
Erick Yakin Industri Mobil Listrik Bisa Buka Lapangan Kerja Baru ,https://www.cnnindonesia.com/ekonomi/20221017154851-92-861660/erick-yakin-industri-mobil-listrik-bisa-buka-lapangan-kerja-baru,CNN Indonesia,Teknologi
Renault Rilis 2 Mobil Listrik Baru Saingan Citroen Berapa Harganya ,https://otomotif.tempo.co/read/1646412/renault-rilis-2-mobil-listrik-baru-saingan-citroen-berapa-harganya,Otomotif Tempo,Teknologi
Orang Tajir di Indonesia Juga Masih Takut Beli Mobil Listrik ,https://oto.detik.com/mobil/d-6352948/orang-tajir-di-indonesia-juga-masih-takut-beli-mobil-listrik,detikOto,Teknologi
BMW Pindahkan Produksi Mobil Listrik MINI dari Inggris ke China ,https://www.liputan6.com/otomotif/read/5099462/bmw-pindahkan-produksi-mobil-listrik-mini-dari-inggris-ke-china,Liputan6.com,Teknologi
Pasar Mobil Hybrid dan Listrik September Nissan dan Wuling Berkibar ,https://www.cnnindonesia.com/teknologi/20221017161814-384-861674/pasar-mobil-hybrid-dan-listrik-september-nissan-dan-wuling-berkibar,CNN Indonesia,Teknologi
Mobil Listrik Kolaborasi Honda dan Sony Meluncur 2025 ,https://www.cnnindonesia.com/teknologi/20221017074045-384-861359/mobil-listrik-kolaborasi-honda-dan-sony-meluncur-2025,CNN Indonesia,Teknologi
Inpres Jokowi BEV Sebagai Kendaraan Dinas Ini Sejarah Mobil Listrik di Dunia  merdeka ,https://www.merdeka.com/otomotif/inpres-jokowi-bev-sebagai-kendaraan-dinas-ini-sejarah-mobil-listrik-di-dunia.html,Merdeka.com,Teknologi
