title,link,source,topic
Teknologi Face Recognition KAI Manfaat atau Mudarat ,https://inet.detik.com/security/d-6342819/teknologi-face-recognition-kai-manfaat-atau-mudarat,detikInet,Teknologi
PT KAI Pakai Face Recognition di Stasiun Pakar Beberkan Manfaatnya ,https://bisnis.tempo.co/read/1642668/pt-kai-pakai-face-recognition-di-stasiun-pakar-beberkan-manfaatnya,Bisnis Tempo.co,Teknologi
Naik KA Tanpa Repot Bakal Ada Fasilitas Pemindai Wajah di Pintu Keberangkatan ,https://www.kompas.com/properti/read/2022/09/30/160000721/naik-ka-tanpa-repot-bakal-ada-fasilitas-pemindai-wajah-di-pintu?page=all,Kompas.com - KOMPAS.com,Teknologi
Bayar Bus Transjakarta MRT dan LRT Bisa Menggunakan Pemindai Wajah Bagaimana Caranya ,https://www.liputan6.com/news/read/5095079/bayar-bus-transjakarta-mrt-dan-lrt-bisa-menggunakan-pemindai-wajah-bagaimana-caranya,Liputan6.com,Teknologi
Headset ARVR Apple Dikabarkan Bakal Hadir Pakai Pemindaian Iris Mata  merdeka ,https://www.merdeka.com/teknologi/headset-arvr-apple-dikabarkan-bakal-hadir-pakai-pemindaian-iris-mata.html,Merdeka.com,Teknologi
PT KAI Kebut Proyek LRT Agar Terhubung dengan Kereta Cepat di Kawasan Halim ,https://bisnis.tempo.co/read/1645206/pt-kai-kebut-proyek-lrt-agar-terhubung-dengan-kereta-cepat-di-kawasan-halim,Bisnis Tempo.co,Teknologi
Siap,https://www.cnbcindonesia.com/tech/20221014092112-37-379677/siap-siap-buang-password-anda-google-perkenalkan-gantinya,CNBC Indonesia,Teknologi
Fitur Face Recognition MRT ASEAN Belum Bisa Digunakan Ini Alasannya ,https://news.detik.com/berita/d-6338207/fitur-face-recognition-mrt-asean-belum-bisa-digunakan-ini-alasannya,detikNews,Teknologi
Cara Cepat Berbagi Pengaturan Wi,https://www.republika.co.id/berita/rj9om9366/cara-cepat-berbagi-pengaturan-wifi-di-android,Republika Online,Teknologi
Samsung Pasang Teknologi Pengenal Wajah Canggih di Galaxy S23 Ultra ,https://infokomputer.grid.id/read/123496529/samsung-pasang-teknologi-pengenal-wajah-canggih-di-galaxy-s23-ultra?page=all,Info Komputer,Teknologi
Fitur pemindaian wajah pada ponsel dapat memicu kejahatan yang berbahaya ,https://theconversation.com/fitur-pemindaian-wajah-pada-ponsel-dapat-memicu-kejahatan-yang-berbahaya-174155,The Conversation Indonesia,Teknologi
Terbongkar Cara Buka Face ID Tanpa Lepas Makser Yang Pakai Handphone Harus Banget Tahu ,https://sajiansedap.grid.id/read/103510908/terbongkar-cara-buka-face-id-tanpa-lepas-makser-yang-pakai-handphone-harus-banget-tahu?page=all,SajianSedap,Teknologi
Ratusan Ribu Data Konsumen Toyota T,https://otomotif.tempo.co/read/1642797/ratusan-ribu-data-konsumen-toyota-t-connect-berpotensi-bocor,Otomotif Tempo,Teknologi
Jalur Kereta Api Ambles di Cilacap Masih dalam Perbaikan ,https://travel.tempo.co/read/1643437/jalur-kereta-api-ambles-di-cilacap-masih-dalam-perbaikan,Travel Tempo.co,Teknologi
Marak Data Bocor di Indonesia Kaspersky Ungkap Pentingnya Talenta Digital ,https://bisnis.tempo.co/read/1636931/marak-data-bocor-di-indonesia-kaspersky-ungkap-pentingnya-talenta-digital,Bisnis Tempo.co,Teknologi
Janin di Perut Cemberut Ketika Ibu Makan Sayuran Hijau dan Senyum Saat Makan Wortel ,https://www.republika.co.id/berita/riwfoo425/janin-di-perut-cemberut-ketika-ibu-makan-sayuran-hijau-dan-senyum-saat-makan-wortel,Republika Online,Teknologi
